Ticker,Strategy Type,Short Window,Long Window,Signal Window,Signal Entry,Signal Exit,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Total Period
BTC-USD,SMA,11,36,0,false,false,1,54,1.579139446761383,52.83018867924528,3.068159758746415,19.290687236028802,2.257910969663049,1.6061449762076823,40 days 12:13:35.094339621,0.013673890608875128,0.4179566563467493,0.8281733746130032,8.062671135801512,0,3876,3877 days 00:00:00,1000.0,540493.6996596,53949.36996596,20700.8322478146,100.0,13277.628284654307,56.86020362672907,731 days 00:00:00,53,56707.68754054612,222.4912061437157,-18.251507913216162,43.10343527569783,-7.37959056840051,60 days 12:51:25.714285714,18 days 01:55:11.999999999,9109.170039982146,1.4515678797355842,1.4216150456041143,1.3556610376213598,0.49194607303072363,10.968291514308168,1.1693433739347834,0.440728353771832,-0.035020554971178036,None,None,0.001952437210209575,0.4920141769728129,539.4936996595964,0.5053166557914373,0.40793073607729713,3876.0
MSTR,SMA,84,90,0,false,false,0,70,1.5615717301117595,51.42857142857142,6.419488246121962,11.128225145339794,0.9723691620382474,0.054767295343938836,54 days 21:15:25.714285714,0.007148168484438348,0.21742345806833308,0.43484691613666615,2.4195371932627565,0,6761,6762 days 00:00:00,1000.0,36818.39945549604,3581.8399455496037,3395.857988165661,100.0,410.0428636636036,95.15850077792575,5260 days 00:00:00,70,0.0,255.81356172193478,-38.356249999999996,31.590634495431136,-10.537855342992211,70 days 03:20:00,38 days 17:38:49.411764706,511.6914207928005,0.6305600336535523,0.2258122680166713,1.1562365350399595,0.3520527320745075,34.37886819597066,1.180262229274558,0.3979739507959479,-0.04242952706681346,None,None,0.0010914528625469077,0.2750461213618208,35.81839945549587,0.14383311938761567,0.5249588312484508,9792.718253968254
BTC-USD,MACD,18,29,18,false,false,1,82,1.5592669803848678,53.086419753086425,1.5987422459691003,9.240073596164134,2.1115100470461443,0.2116438267599488,25 days 08:35:33.333333333,0.02089783281733746,0.6346749226006192,1.2616099071207432,5.8644429944694965,0,3876,3877 days 00:00:00,1000.0,251820.35601857834,25082.035601857835,20700.8322478146,100.0,13370.154784897155,70.85301534273518,1358 days 00:00:00,81,30815.443139224313,118.7975118615858,-21.627052513972878,24.738784456537058,-8.297941324784174,36 days 20:05:34.883720930,12 days 08:50:31.578947368,2716.110035547581,1.3398963042795309,0.963784105689865,1.3312851742081708,0.7035051560065282,11.377957771936748,1.2358525452326723,0.40420137631293007,-0.03234283642262538,None,None,0.0017275395308019395,0.4353399617620887,250.82035601857876,0.432411528193438,0.39102408403473804,3876.0
MSTR,MACD,13,31,11,false,false,1,219,1.5523616480279456,40.36697247706422,2.2146468078835335,5.549247395490593,1.449570794955648,27.590419044155134,16 days 08:55:02.752293577,0.02226143899439371,0.6802248188137849,1.3573435882265936,3.774735804150457,0,6761,6762 days 00:00:00,1000.0,971890.0289609785,97089.00289609785,3395.857988165661,100.0,25205.611582955575,85.08324312161011,1667 days 00:00:00,218,151313.57250824338,221.76438495185585,-54.00252659574467,23.905778361272578,-6.876712027500291,26 days 12:00:00,9 days 12:22:09.230769230,3759.5250295997057,0.8772498013198786,0.5284933273503584,1.2491496893523393,2.143151749620098,61.920449824061116,1.340483888738745,0.36799514464899863,-0.04092331087932197,None,None,0.001679625776843599,0.42326569576458695,970.8900289609803,0.2922298495221356,0.5806787792241389,9792.718253968254
MSTR,MACD,9,13,5,false,false,1,403,1.516908043440912,41.29353233830846,2.664692044824426,2.9403780829868214,1.6159061809772572,59.73338186748697,8 days 15:20:35.820895521,0.04105091043920308,1.2517379085934033,2.5003697677858305,3.680582712071804,0,6761,6762 days 00:00:00,1000.0,2063419.3996302113,206241.93996302114,3395.857988165661,100.0,60832.88728213241,82.05310804849529,3977 days 00:00:00,402,385413.8241538573,128.4712106704712,-35.71772540983606,14.554097251918785,-5.2285938748212555,12 days 19:39:45.542168674,5 days 16:46:46.779661016,4171.65566038894,0.9262112918513452,0.6212869509302182,1.2623245142339232,3.208858997612816,53.75399683490072,1.5089114721535672,0.35212957408518303,-0.0406998097632059,None,None,0.0017416212660160734,0.4388885590360505,2062.4193996302165,0.32900005938150745,0.570282901115309,9792.718253968254
MSTR,SMA,6,84,0,false,false,1,64,1.4966147719936453,44.44444444444444,2.202033597221742,33.59956450150893,1.42297950165766,20.629909324337625,58 days 03:48:34.285714284,0.006433351635994513,0.19878716166247595,0.3944682739239757,6.679162060350244,0,6761,6762 days 00:00:00,1000.0,735521.0036235085,73452.10036235084,3395.857988165661,100.0,16905.230871824457,88.73526736933606,2382 days 00:00:00,63,51545.174932663795,968.2606217616581,-43.82149374097277,89.33300825536105,-10.987190501572767,105 days 23:08:34.285714286,19 days 21:56:34.285714285,10840.886169695945,0.8981202503495207,0.4823528046586378,1.2372023232136662,0.414819824053122,39.88514390210681,1.245910298417662,0.3757884028484232,-0.038458319219862674,None,None,0.001488554955988938,0.37511584890921235,734.5210036235108,0.2788795130820829,0.5026631944540203,9792.718253968254
MSTR,MACD,7,8,12,false,false,1,379,1.4799151113394395,39.682539682539684,2.5336737793814796,3.0467490855285715,1.5623542491081972,42.82266379429693,9 days 05:16:11.428571428,0.03860010981596708,1.1771927229699748,2.3512793965389736,3.5866108521996596,0,6761,6762 days 00:00:00,1000.0,1489155.4290856135,148815.54290856133,3395.857988165661,100.0,42473.036216587185,85.64283662461251,3492 days 00:00:00,378,278150.47623678506,128.4712106704712,-36.94600409836066,16.03408793307227,-5.497552787855444,13 days 19:31:12,6 days 04:44:12.631578947,3201.0713038328786,0.9004178707404819,0.5644811998167428,1.2525585851055745,3.156374604281551,53.331751703287175,1.4848822704881863,0.35267053410682137,-0.04170998194617153,None,None,0.0016964007502803435,0.4274929890706466,1488.155429085615,0.31294402846028846,0.571387917438047,9792.718253968254
BTC-USD,SMA,8,44,0,false,false,1,48,1.4685450787135257,48.93617021276596,2.7899720615634376,25.15650890162877,2.369753415657576,2.927677744155608,45 days 07:39:34.468085105,0.012125902992776058,0.3715170278637771,0.7352941176470589,9.346071418561772,0,3876,3877 days 00:00:00,1000.0,814061.9810524011,81306.19810524011,20700.8322478146,100.0,16695.913127826054,53.60574920633759,755 days 00:00:00,47,90657.61332791531,357.662545496104,-19.792472298596227,59.50599606533389,-7.761749630255306,75 days 02:05:13.043478260,16 days 19:00:00,15370.305696265656,1.5127133770526442,1.640532018718744,1.3743387999125647,0.5371279835135403,10.693045637569048,1.1728467555186028,0.4375231738969225,-0.035334817066448504,None,None,0.002069109350233943,0.5214155562589536,813.0619810523968,0.5459269987617656,0.41483319220561543,3876.0
BTC-USD,EMA,5,68,0,false,false,1,43,1.4223097573786017,42.857142857142854,3.404302257045387,26.79514173734742,2.1550855710853005,1.1821031134054218,53 days 09:08:34.285714285,0.010835913312693499,0.3328173374613003,0.6578947368421053,8.91788772992213,0,3876,3877 days 00:00:00,1000.0,452713.50498039596,45171.350498039596,20700.8322478146,100.0,12392.349459716363,60.73733099174874,736 days 00:00:00,42,7585.489018902706,357.96391275742644,-13.451918910389582,70.41813507153536,-5.922103263293529,109 days 14:40:00,11 days 05:00:00,10574.476570511742,1.389789794974602,1.2816039328856992,1.3331122285134707,0.4749670370336423,10.570328446845242,1.1753733945726805,0.4575187969924812,-0.036438611003918715,None,None,0.0019274365163757501,0.485714002126689,451.71350498039857,0.48807595481064125,0.4206081338051311,3876.0
BTC-USD,SMA,3,47,0,false,false,1,64,1.4147176406221134,42.857142857142854,2.6169933408095485,18.61105197857252,2.310888481678594,2.2738107624203208,34 days 04:34:17.142857142,0.016253869969040248,0.49535603715170284,0.9829721362229104,9.219096955330041,0,3876,3877 days 00:00:00,1000.0,678706.0740395308,67770.60740395308,20700.8322478146,100.0,20293.514169513423,59.404739460533705,756 days 00:00:00,63,72406.10321612423,409.7899392895237,-21.15388110539338,51.40198660542248,-5.982148991564944,67 days 02:40:00,9 days 12:00:00,9607.936044815975,1.4816952576868516,1.426683273882098,1.3640368149602795,0.506687271247057,10.81507855307309,1.1812513121180315,0.44502422661200153,-0.03498510889986709,None,None,0.0020201561434724296,0.5090793481550523,677.7060740395276,0.5277618498226453,0.41349736875055043,3876.0
MSTR,SMA,82,114,0,false,false,0,35,1.2900461018630083,40.0,9.92541865404211,24.530157204862533,0.9480235570297435,-0.08416196762674312,108 days 05:29:08.571428572,0.003574084242219174,0.10871172903416654,0.21742345806833308,2.666715803220524,0,6761,6762 days 00:00:00,1000.0,32100.55898100646,3110.0558981006457,3395.857988165661,100.0,254.65070507348003,97.29808893418937,6019 days 00:00:00,35,0.0,383.3962734594354,-36.36817448537319,80.16542231516931,-12.56001953534199,158 days 08:34:17.142857144,74 days 19:25:42.857142857,888.5873994573275,0.6197682758526957,0.21163887490426037,1.15377342599331,0.18486454631135033,37.539292081415724,1.1411012283228825,0.39422680412371136,-0.04069980976320602,None,None,0.0010303964680775965,0.2596599099555543,31.100558981006465,0.13800278926241694,0.5042219199989919,9792.718253968254
BTC-USD,MACD,3,15,3,false,false,0,416,1.207090929161296,41.34615384615385,1.4172800185619023,1.7243638349065982,2.2551568621386093,0.3296606841143036,4 days 19:43:50.769230767,0.10732714138286893,3.2198142414860684,6.439628482972137,5.552131233135796,0,3876,3877 days 00:00:00,1000.0,276250.827683646,27525.0827683646,20700.8322478146,100.0,67729.45098146774,58.61329866193608,1174 days 00:00:00,416,0.0,72.38504286094206,-13.559872067489726,8.822589014563489,-3.2793030950154733,7 days 11:09:46.046511627,2 days 23:00:59.016393442,661.6606434703021,1.336544115198474,1.1901806296835364,1.3358489476604174,1.4367707968488643,13.150244065099105,1.766189548249009,0.36803105151729004,-0.03263785889032426,None,None,0.0017609589805345398,0.44376166309470405,275.25082768364535,0.44105841154956327,0.39958819026774434,3876.0
TLT,SMA,43,77,0,false,false,1,40,1.0166815508145748,53.84615384615385,1.6893905765657,1.6102341115330283,0.45071339120987597,5.751213321731298,78 days 11:04:36.923076922,0.004704879852745112,0.14677616634632187,0.2898829285339857,0.23634398981089358,0,5723,5724 days 00:00:00,1000.0,1656.7360881532595,65.67360881532596,9.727674965317856,100.0,105.02419084908173,22.084713845922582,1370 days 00:00:00,39,-24.831594679833415,25.87037135533279,-13.123641390911835,6.271795866598973,-3.8282546027105733,109 days 12:34:17.142857142,42 days 05:20:00,17.476094431617767,0.31189532260052716,0.14814009792658334,1.0621750743792395,0.2635956286866445,12.086664746468713,0.9863995572864274,0.392023346303502,-0.01093428888947979,None,None,0.00011149894438204283,0.028097733984274793,0.6567360881532598,0.022474916025957414,0.10841979867668942,8289.265873015873
EDV,SMA,49,67,0,false,false,1,35,0.8989503743555411,50.0,1.6915065611803966,3.1722899160065414,0.589255663482754,4.647312806390014,63 days 20:28:14.117647058,0.005409995990490834,0.16939386955519706,0.3339479142659599,0.5373664642232792,0,4339,4340 days 00:00:00,1000.0,2097.5467851104336,109.75467851104335,-30.091929137187112,100.0,127.0639233596667,36.412310613784896,1291 days 00:00:00,34,-100.2690139794895,61.117579984413176,-11.880017375131464,11.762148620964838,-5.417568788951756,93 days 14:07:03.529411765,34 days 02:49:24.705882353,35.22987644382125,0.4057712053188867,0.1765370277480109,1.0852867069950691,0.17176427096173222,9.909850370907755,0.9900205760884437,0.36563876651982385,-0.016512270959882953,None,None,0.00022852993187224595,0.05758954283180598,1.0975467851104281,0.04395080055263034,0.17080814167745026,6284.662698412698
