Metric Type,Short Window,Long Window,Signal Window,Ticker,Strategy Type,Signal Entry,Signal Exit,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period,Allocation [%],Stop Loss [%],Last Position Open Date,Last Position Close Date
Least Max Drawdown [%],4,7,14,TTD,MACD,true,false,1,152,1.121965613995558,52.317880794701985,1.4807870919868371,0.5688278506036247,1.5938570500025904,-0.9490885091243394,0 days 23:59:59.999999999,0.04738729763387298,1.450909090909091,2.8922727272727276,0.8253174996030773,0,2200,2201 days 00:00:00,1000.0,2164.198585420752,116.41985854207519,2286.7108493523233,100.0,492.28432373378297,13.270338403389001,531 days 00:00:00,151,-2.1641985854203085,12.283263647148049,-9.15260268157998,2.9218619381232878,-2.012973439869339,1 days 00:00:00,1 days 00:00:00,7.724256847722987,0.8328069553730415,1.0292827380172358,1.560595294755166,4.347531435697536,64.09005646089287,4.205994635864531,0.3710407239819004,-0.000999000999000922,,,0.00038986001933817463,0.09824472487322,1.1641985854207548,0.09241916353042456,0.14197473246904543,152,0,3186.5079365079364,,,,
Most Avg Winning Trade [%],8,9,10,TTD,MACD,true,false,1,126,1.090493750494654,52.0,1.3585971568965918,0.6673117866837679,1.3525570968432452,-0.9547818019781347,1 days 00:00:00,0.03922789539227896,1.2027272727272729,2.395909090909091,0.8025940852569319,0,2200,2201 days 00:00:00,1000.0,2034.0094400476105,103.40094400476106,2286.7108493523233,100.0,461.3925888631092,26.899354871281076,752 days 00:00:00,125,-2.0340094400473845,26.351506048059886,-11.665234543387534,3.4992428230660275,-2.400613502730347,1 days 00:00:00,1 days 00:00:00,8.288347595901271,0.6651699230887911,0.4645294707782944,1.5522209682965635,8.700120611033038,198.66385543715313,4.094264003332965,0.3791208791208791,-0.0009990009990008843,,,0.0003785850102138053,0.09540342257387893,1.0340094400476096,0.08468686972466988,0.17261459494093598,126,0,3186.5079365079364,,,,
Median Calmar Ratio,8,9,10,TTD,MACD,true,false,1,126,1.090493750494654,52.0,1.3585971568965918,0.6673117866837679,1.3525570968432452,-0.9547818019781347,1 days 00:00:00,0.03922789539227896,1.2027272727272729,2.395909090909091,0.8025940852569319,0,2200,2201 days 00:00:00,1000.0,2034.0094400476105,103.40094400476106,2286.7108493523233,100.0,461.3925888631092,26.899354871281076,752 days 00:00:00,125,-2.0340094400473845,26.351506048059886,-11.665234543387534,3.4992428230660275,-2.400613502730347,1 days 00:00:00,1 days 00:00:00,8.288347595901271,0.6651699230887911,0.4645294707782944,1.5522209682965635,8.700120611033038,198.66385543715313,4.094264003332965,0.3791208791208791,-0.0009990009990008843,,,0.0003785850102138053,0.09540342257387893,1.0340094400476096,0.08468686972466988,0.17261459494093598,126,0,3186.5079365079364,,,,
Mean Calmar Ratio,7,8,13,TTD,MACD,true,false,1,126,1.088456171689042,52.0,1.35797014827653,0.647223021031893,1.3412293478503226,-0.9567309474914052,1 days 00:00:00,0.03922789539227896,1.2027272727272729,2.395909090909091,0.778432778931995,0,2200,2201 days 00:00:00,1000.0,1989.438118125989,98.9438118125989,2286.7108493523233,100.0,448.47826882197404,25.032606685683266,752 days 00:00:00,125,-1.9894381181256904,26.351506048059886,-11.665234543387536,3.412001226028205,-2.347953367714112,1 days 00:00:00,1 days 00:00:00,7.9314204499529275,0.6525053852821501,0.48268869177933504,1.5470339811084735,9.022642598503884,207.33002784107788,4.080582384952787,0.3791208791208791,-0.0009990009990008932,,,0.00036717612467775546,0.09252838341879438,0.989438118125985,0.08193872834538496,0.17066208064162142,126,0,3186.5079365079364,,,,
Most Best Trade [%],4,9,16,TTD,MACD,true,false,1,144,1.0590637327224397,51.048951048951054,1.3612479538092936,0.5646713817747515,1.2821969740242234,-0.9574054839743312,0 days 23:59:59.999999999,0.044876712328767124,1.3745454545454545,2.7395454545454547,0.7761664811303857,0,2200,2201 days 00:00:00,1000.0,1974.0134191880823,97.40134191880823,2286.7108493523233,100.0,453.41685227931697,17.688164945030074,446 days 00:00:00,143,-1.9740134191879406,26.351506048059907,-11.665234543387529,3.2392249131777886,-2.224505872402702,1 days 00:00:00,1 days 00:00:00,6.825086941309586,0.6358534979643524,0.6749358375166145,1.493977581595065,8.392988335843354,189.86069784223002,4.147753548902085,0.36018957345971564,-0.0009990009990009084,,,0.00036648065973727943,0.09235312625379441,0.9740134191880807,0.08097497699743239,0.1747997062329932,144,0,3186.5079365079364,,,,
Most Max Drawdown [%],6,21,6,TTD,MACD,true,false,1,136,1.0465627036505336,50.37037037037037,1.30731006039092,0.5678346185332066,1.2641999640037211,-0.96044599983525,0 days 23:59:59.999999999,0.04236612702366127,1.2981818181818183,2.586818181818182,0.7371525775140174,0,2200,2201 days 00:00:00,1000.0,1904.4856131201748,90.44856131201747,2286.7108493523233,100.0,489.73226251331926,32.63106201487827,686 days 00:00:00,135,-1.9044856131199595,26.351506048059882,-11.665234543387543,3.30403259153884,-2.209202130188928,1 days 00:00:00,1 days 00:00:00,6.714000731357718,0.6152000104674912,0.3455215870198238,1.4934597687824047,8.943562524919557,203.30207700359026,4.127756860940259,0.36180904522613067,-0.0009990009990009216,,,0.00034789304823066577,0.08766904815412778,0.9044856131201717,0.076546276236513,0.17150473665571564,136,0,3186.5079365079364,,,,
Least Worst Trade [%],4,28,7,TTD,MACD,true,false,1,141,1.0454327334678102,51.42857142857142,1.303807756705711,0.5497990384503093,1.1647882368299063,-0.9610680727327143,0 days 23:59:59.999999999,0.04393524283935243,1.345909090909091,2.682272727272727,0.7399795240233481,0,2200,2201 days 00:00:00,1000.0,1890.2606046829749,89.02606046829749,2286.7108493523233,100.0,456.5590922866142,19.6804881519038,686 days 00:00:00,140,-1.8902606046826804,26.351506048059882,-11.665234543387557,3.3777770926283623,-2.444530665973511,1 days 00:00:00,1 days 00:00:00,6.372506180626111,0.5937948003082012,0.5658637501951397,1.4424243110746797,7.876916645474317,175.67099668908605,3.890749786451434,0.3707317073170732,-0.0009990009990009112,,,0.00034932281370799346,0.08802934905441435,0.890260604682974,0.07562258112670284,0.1784174228730993,141,0,3186.5079365079364,,,,
Median Win Rate [%],4,24,9,TTD,MACD,true,false,1,138,1.050632932684369,50.36496350364964,1.3620484444707404,0.5476297270293087,1.2418253562238155,-0.9615971142144203,0 days 23:59:59.999999999,0.04299377334993774,1.3172727272727274,2.625,0.7213777040595166,0,2200,2201 days 00:00:00,1000.0,1878.1629557232313,87.81629557232313,2286.7108493523233,100.0,425.6585355258579,18.90386175399804,672 days 00:00:00,137,-1.878162955722928,26.351506048059893,-11.665234543387534,3.24505258215205,-2.189461111257003,1 days 00:00:00,1 days 00:00:00,6.423657800576308,0.6080797113709704,0.5828547601448616,1.4799513713223367,9.07663394298229,210.7540298320749,4.095207904207014,0.3613861386138613,-0.0009990009990009099,,,0.00034047732311132036,0.08580028542405273,0.8781629557232309,0.07483216908653012,0.16981434762758557,138,0,3186.5079365079364,,,,
Most Win Rate [%],5,9,11,TTD,MACD,true,false,1,140,1.119152546990719,53.956834532374096,1.4099040839910901,0.5145243800081485,1.2098432037598559,-0.9616077223098798,0 days 23:59:59.999999999,0.0436214196762142,1.3363636363636364,2.663181818181818,0.6875916714654349,0,2200,2201 days 00:00:00,1000.0,1877.9203792534527,87.79203792534527,2286.7108493523233,100.0,415.4791752147877,19.232486164732325,570 days 00:00:00,139,-1.8779203792532826,12.283263647148072,-11.665234543387552,2.757690424286182,-2.114185828130172,1 days 00:00:00,1 days 00:00:00,6.3294841700194535,0.7044023698577215,0.5727719103543881,1.4993867073644056,2.7844156806937557,78.36746255798083,3.8638042074390433,0.38805970149253727,-0.0009990009990009092,,,0.00032454736408504576,0.08178593574943153,0.8779203792534462,0.07481627405507907,0.13973460783593353,140,0,3186.5079365079364,,,,
Median Profit Factor,3,12,17,TTD,MACD,true,false,1,148,1.0237662850574252,50.34013605442177,1.292341969190749,0.5169732138138663,1.1421207676355993,-0.9620185002702981,0 days 23:59:59.999999999,0.04613200498132005,1.4127272727272728,2.815909090909091,0.7303421584243166,0,2200,2201 days 00:00:00,1000.0,1868.5270750658194,86.85270750658194,2286.7108493523233,100.0,462.3566352109054,17.688164945030074,534 days 00:00:00,147,-1.8685270750656855,26.351506048059893,-11.665234543387522,3.3709955230935917,-2.37614529148339,1 days 00:00:00,1 days 00:00:00,5.921058517965196,0.5824354333285944,0.6175625363436849,1.4190802325647713,7.746577481305551,171.2449344695008,4.017655723365195,0.3532110091743119,-0.0009990009990009376,,,0.00034488799475430957,0.08691177467808602,0.868527075065813,0.07419936703335028,0.17958786679332436,148,0,3186.5079365079364,,,,
