Metric Type,Short Window,Long Window,Signal Window,Ticker,Strategy Type,Signal Entry,Signal Exit,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period,Allocation [%],Stop Loss [%]
Mean Best Trade [%],12,13,17,RJF,MACD,true,false,1,425,0.8382362121001723,47.16981132075472,1.2478571707596589,0.20980465243399005,0.5356304703645961,-0.9954911969129978,0 days 23:59:59.999999999,0.027679108034733592,0.843891830559758,1.6857980332829048,0.17705243220247366,0,10576,10577 days 00:00:00,1000.0,2139.3793606334493,113.9379360633449,25270.106914139167,100.0,1330.0870017359794,42.15432702972392,6203 days 00:00:00,424,-2.139379360633029,15.021292408115016,-19.657649051441858,1.897665698737797,-1.2972141389086946,1 days 00:00:00,1 days 00:00:00,2.692261179231318,0.32586070509008064,0.06308234234882788,1.2858693902580012,1.5539333182126096,424.9298950259543,3.8880790094057147,0.33072100313479624,-0.0009990009990008483,,,0.00008404994816532952,0.02118058693766304,1.1393793606334501,0.0182846562709984,0.07822618661023269,425,0,15318.412698412698,,
Mean Calmar Ratio,12,13,17,RJF,MACD,true,false,1,425,0.8382362121001723,47.16981132075472,1.2478571707596589,0.20980465243399005,0.5356304703645961,-0.9954911969129978,0 days 23:59:59.999999999,0.027679108034733592,0.843891830559758,1.6857980332829048,0.17705243220247366,0,10576,10577 days 00:00:00,1000.0,2139.3793606334493,113.9379360633449,25270.106914139167,100.0,1330.0870017359794,42.15432702972392,6203 days 00:00:00,424,-2.139379360633029,15.021292408115016,-19.657649051441858,1.897665698737797,-1.2972141389086946,1 days 00:00:00,1 days 00:00:00,2.692261179231318,0.32586070509008064,0.06308234234882788,1.2858693902580012,1.5539333182126096,424.9298950259543,3.8880790094057147,0.33072100313479624,-0.0009990009990008483,,,0.00008404994816532952,0.02118058693766304,1.1393793606334501,0.0182846562709984,0.07822618661023269,425,0,15318.412698412698,,
Median Sortino Ratio,12,13,17,RJF,MACD,true,false,1,425,0.8382362121001723,47.16981132075472,1.2478571707596589,0.20980465243399005,0.5356304703645961,-0.9954911969129978,0 days 23:59:59.999999999,0.027679108034733592,0.843891830559758,1.6857980332829048,0.17705243220247366,0,10576,10577 days 00:00:00,1000.0,2139.3793606334493,113.9379360633449,25270.106914139167,100.0,1330.0870017359794,42.15432702972392,6203 days 00:00:00,424,-2.139379360633029,15.021292408115016,-19.657649051441858,1.897665698737797,-1.2972141389086946,1 days 00:00:00,1 days 00:00:00,2.692261179231318,0.32586070509008064,0.06308234234882788,1.2858693902580012,1.5539333182126096,424.9298950259543,3.8880790094057147,0.33072100313479624,-0.0009990009990008483,,,0.00008404994816532952,0.02118058693766304,1.1393793606334501,0.0182846562709984,0.07822618661023269,425,0,15318.412698412698,,
Least Total Fees Paid,10,19,14,RJF,MACD,true,false,1,429,0.8496634132591969,47.89719626168225,1.2654047434699822,0.20411964545609373,0.5271478963220683,-0.9956098453367186,0 days 23:59:59.999999999,0.027940231695438626,0.8518343419062028,1.7016830559757943,0.17387612385721904,0,10576,10577 days 00:00:00,1000.0,2109.396777107295,110.9396777107295,25270.106914139167,100.0,1237.1341528174275,42.91590967128002,6203 days 00:00:00,428,-2.109396777107122,15.021292408115025,-19.657649051441854,1.8383217310352444,-1.2981737516009733,1 days 00:00:00,1 days 00:00:00,2.5969770417859834,0.32237812135768035,0.060798100586174984,1.2812406182146445,1.4604094359764703,436.2969581848313,3.7787741735362896,0.3390625,-0.000999000999000845,,,0.00008254331606132681,0.020800915647454357,1.1093967771072966,0.01794230130871921,0.07765386109761876,429,0,15318.412698412698,,
Most Max Drawdown [%],10,19,14,RJF,MACD,true,false,1,429,0.8496634132591969,47.89719626168225,1.2654047434699822,0.20411964545609373,0.5271478963220683,-0.9956098453367186,0 days 23:59:59.999999999,0.027940231695438626,0.8518343419062028,1.7016830559757943,0.17387612385721904,0,10576,10577 days 00:00:00,1000.0,2109.396777107295,110.9396777107295,25270.106914139167,100.0,1237.1341528174275,42.91590967128002,6203 days 00:00:00,428,-2.109396777107122,15.021292408115025,-19.657649051441854,1.8383217310352444,-1.2981737516009733,1 days 00:00:00,1 days 00:00:00,2.5969770417859834,0.32237812135768035,0.060798100586174984,1.2812406182146445,1.4604094359764703,436.2969581848313,3.7787741735362896,0.3390625,-0.000999000999000845,,,0.00008254331606132681,0.020800915647454357,1.1093967771072966,0.01794230130871921,0.07765386109761876,429,0,15318.412698412698,,
Most Total Trades,10,19,14,RJF,MACD,true,false,1,429,0.8496634132591969,47.89719626168225,1.2654047434699822,0.20411964545609373,0.5271478963220683,-0.9956098453367186,0 days 23:59:59.999999999,0.027940231695438626,0.8518343419062028,1.7016830559757943,0.17387612385721904,0,10576,10577 days 00:00:00,1000.0,2109.396777107295,110.9396777107295,25270.106914139167,100.0,1237.1341528174275,42.91590967128002,6203 days 00:00:00,428,-2.109396777107122,15.021292408115025,-19.657649051441854,1.8383217310352444,-1.2981737516009733,1 days 00:00:00,1 days 00:00:00,2.5969770417859834,0.32237812135768035,0.060798100586174984,1.2812406182146445,1.4604094359764703,436.2969581848313,3.7787741735362896,0.3390625,-0.000999000999000845,,,0.00008254331606132681,0.020800915647454357,1.1093967771072966,0.01794230130871921,0.07765386109761876,429,0,15318.412698412698,,
Most Win Rate [%],10,19,14,RJF,MACD,true,false,1,429,0.8496634132591969,47.89719626168225,1.2654047434699822,0.20411964545609373,0.5271478963220683,-0.9956098453367186,0 days 23:59:59.999999999,0.027940231695438626,0.8518343419062028,1.7016830559757943,0.17387612385721904,0,10576,10577 days 00:00:00,1000.0,2109.396777107295,110.9396777107295,25270.106914139167,100.0,1237.1341528174275,42.91590967128002,6203 days 00:00:00,428,-2.109396777107122,15.021292408115025,-19.657649051441854,1.8383217310352444,-1.2981737516009733,1 days 00:00:00,1 days 00:00:00,2.5969770417859834,0.32237812135768035,0.060798100586174984,1.2812406182146445,1.4604094359764703,436.2969581848313,3.7787741735362896,0.3390625,-0.000999000999000845,,,0.00008254331606132681,0.020800915647454357,1.1093967771072966,0.01794230130871921,0.07765386109761876,429,0,15318.412698412698,,
Most Best Trade [%],10,19,14,RJF,MACD,true,false,1,429,0.8496634132591969,47.89719626168225,1.2654047434699822,0.20411964545609373,0.5271478963220683,-0.9956098453367186,0 days 23:59:59.999999999,0.027940231695438626,0.8518343419062028,1.7016830559757943,0.17387612385721904,0,10576,10577 days 00:00:00,1000.0,2109.396777107295,110.9396777107295,25270.106914139167,100.0,1237.1341528174275,42.91590967128002,6203 days 00:00:00,428,-2.109396777107122,15.021292408115025,-19.657649051441854,1.8383217310352444,-1.2981737516009733,1 days 00:00:00,1 days 00:00:00,2.5969770417859834,0.32237812135768035,0.060798100586174984,1.2812406182146445,1.4604094359764703,436.2969581848313,3.7787741735362896,0.3390625,-0.000999000999000845,,,0.00008254331606132681,0.020800915647454357,1.1093967771072966,0.01794230130871921,0.07765386109761876,429,0,15318.412698412698,,
Most Worst Trade [%],10,19,14,RJF,MACD,true,false,1,429,0.8496634132591969,47.89719626168225,1.2654047434699822,0.20411964545609373,0.5271478963220683,-0.9956098453367186,0 days 23:59:59.999999999,0.027940231695438626,0.8518343419062028,1.7016830559757943,0.17387612385721904,0,10576,10577 days 00:00:00,1000.0,2109.396777107295,110.9396777107295,25270.106914139167,100.0,1237.1341528174275,42.91590967128002,6203 days 00:00:00,428,-2.109396777107122,15.021292408115025,-19.657649051441854,1.8383217310352444,-1.2981737516009733,1 days 00:00:00,1 days 00:00:00,2.5969770417859834,0.32237812135768035,0.060798100586174984,1.2812406182146445,1.4604094359764703,436.2969581848313,3.7787741735362896,0.3390625,-0.000999000999000845,,,0.00008254331606132681,0.020800915647454357,1.1093967771072966,0.01794230130871921,0.07765386109761876,429,0,15318.412698412698,,
Least Avg Winning Trade [%],10,19,14,RJF,MACD,true,false,1,429,0.8496634132591969,47.89719626168225,1.2654047434699822,0.20411964545609373,0.5271478963220683,-0.9956098453367186,0 days 23:59:59.999999999,0.027940231695438626,0.8518343419062028,1.7016830559757943,0.17387612385721904,0,10576,10577 days 00:00:00,1000.0,2109.396777107295,110.9396777107295,25270.106914139167,100.0,1237.1341528174275,42.91590967128002,6203 days 00:00:00,428,-2.109396777107122,15.021292408115025,-19.657649051441854,1.8383217310352444,-1.2981737516009733,1 days 00:00:00,1 days 00:00:00,2.5969770417859834,0.32237812135768035,0.060798100586174984,1.2812406182146445,1.4604094359764703,436.2969581848313,3.7787741735362896,0.3390625,-0.000999000999000845,,,0.00008254331606132681,0.020800915647454357,1.1093967771072966,0.01794230130871921,0.07765386109761876,429,0,15318.412698412698,,
