Metric Type,Ticker,Use SMA,Short Window,Long Window,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy per Trade,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Beats BNH [%],Avg Trade Duration,Signal Entry
Most Total Return [%],AVAX-USD,true,34,35,72,50.0,1.598780283774878,0.04374240583232078,13.332369580579442,10.255668908138032,1.3122721749696233,2.6245443499392467,17.49569762700583,2.8171428144581863,0,0,1646,1647 days 00:00:00,1000.0,91236.62140562013,9023.662140562014,342.2337037591433,100.0,7548.96070390388,65.04111743748008,694 days 00:00:00,72,0,0.0,401.63996168649226,-29.409052894108978,33.72482070325036,-7.060081542091476,12 days 10:40:00,8 days 21:20:00,1253.2864084113899,1.4857088175436741,2.6428838571002866,1.413021326657285,3.3815234614522773,38.07310642339471,1.5469235970138346,0.3218298555377207,-0.06042543084625529,None,None,0.0038978387557519153,0.9822553664494826,90.23662140562018,0.9948791814754854,0.7956771222950024,25.36695930717763,10 days 16:00:00,false
Most Total Fees Paid,AVAX-USD,true,34,35,72,50.0,1.598780283774878,0.04374240583232078,13.332369580579442,10.255668908138032,1.3122721749696233,2.6245443499392467,17.49569762700583,2.8171428144581863,0,0,1646,1647 days 00:00:00,1000.0,91236.62140562013,9023.662140562014,342.2337037591433,100.0,7548.96070390388,65.04111743748008,694 days 00:00:00,72,0,0.0,401.63996168649226,-29.409052894108978,33.72482070325036,-7.060081542091476,12 days 10:40:00,8 days 21:20:00,1253.2864084113899,1.4857088175436741,2.6428838571002866,1.413021326657285,3.3815234614522773,38.07310642339471,1.5469235970138346,0.3218298555377207,-0.06042543084625529,None,None,0.0038978387557519153,0.9822553664494826,90.23662140562018,0.9948791814754854,0.7956771222950024,25.36695930717763,10 days 16:00:00,false
Most Worst Trade [%],AVAX-USD,true,34,35,72,50.0,1.598780283774878,0.04374240583232078,13.332369580579442,10.255668908138032,1.3122721749696233,2.6245443499392467,17.49569762700583,2.8171428144581863,0,0,1646,1647 days 00:00:00,1000.0,91236.62140562013,9023.662140562014,342.2337037591433,100.0,7548.96070390388,65.04111743748008,694 days 00:00:00,72,0,0.0,401.63996168649226,-29.409052894108978,33.72482070325036,-7.060081542091476,12 days 10:40:00,8 days 21:20:00,1253.2864084113899,1.4857088175436741,2.6428838571002866,1.413021326657285,3.3815234614522773,38.07310642339471,1.5469235970138346,0.3218298555377207,-0.06042543084625529,None,None,0.0038978387557519153,0.9822553664494826,90.23662140562018,0.9948791814754854,0.7956771222950024,25.36695930717763,10 days 16:00:00,false
Mean Avg Winning Trade [%],AVAX-USD,true,34,35,72,50.0,1.598780283774878,0.04374240583232078,13.332369580579442,10.255668908138032,1.3122721749696233,2.6245443499392467,17.49569762700583,2.8171428144581863,0,0,1646,1647 days 00:00:00,1000.0,91236.62140562013,9023.662140562014,342.2337037591433,100.0,7548.96070390388,65.04111743748008,694 days 00:00:00,72,0,0.0,401.63996168649226,-29.409052894108978,33.72482070325036,-7.060081542091476,12 days 10:40:00,8 days 21:20:00,1253.2864084113899,1.4857088175436741,2.6428838571002866,1.413021326657285,3.3815234614522773,38.07310642339471,1.5469235970138346,0.3218298555377207,-0.06042543084625529,None,None,0.0038978387557519153,0.9822553664494826,90.23662140562018,0.9948791814754854,0.7956771222950024,25.36695930717763,10 days 16:00:00,false
Most Avg Losing Trade [%],AVAX-USD,true,34,35,72,50.0,1.598780283774878,0.04374240583232078,13.332369580579442,10.255668908138032,1.3122721749696233,2.6245443499392467,17.49569762700583,2.8171428144581863,0,0,1646,1647 days 00:00:00,1000.0,91236.62140562013,9023.662140562014,342.2337037591433,100.0,7548.96070390388,65.04111743748008,694 days 00:00:00,72,0,0.0,401.63996168649226,-29.409052894108978,33.72482070325036,-7.060081542091476,12 days 10:40:00,8 days 21:20:00,1253.2864084113899,1.4857088175436741,2.6428838571002866,1.413021326657285,3.3815234614522773,38.07310642339471,1.5469235970138346,0.3218298555377207,-0.06042543084625529,None,None,0.0038978387557519153,0.9822553664494826,90.23662140562018,0.9948791814754854,0.7956771222950024,25.36695930717763,10 days 16:00:00,false
Most Expectancy,AVAX-USD,true,34,35,72,50.0,1.598780283774878,0.04374240583232078,13.332369580579442,10.255668908138032,1.3122721749696233,2.6245443499392467,17.49569762700583,2.8171428144581863,0,0,1646,1647 days 00:00:00,1000.0,91236.62140562013,9023.662140562014,342.2337037591433,100.0,7548.96070390388,65.04111743748008,694 days 00:00:00,72,0,0.0,401.63996168649226,-29.409052894108978,33.72482070325036,-7.060081542091476,12 days 10:40:00,8 days 21:20:00,1253.2864084113899,1.4857088175436741,2.6428838571002866,1.413021326657285,3.3815234614522773,38.07310642339471,1.5469235970138346,0.3218298555377207,-0.06042543084625529,None,None,0.0038978387557519153,0.9822553664494826,90.23662140562018,0.9948791814754854,0.7956771222950024,25.36695930717763,10 days 16:00:00,false
Most Sharpe Ratio,AVAX-USD,true,34,35,72,50.0,1.598780283774878,0.04374240583232078,13.332369580579442,10.255668908138032,1.3122721749696233,2.6245443499392467,17.49569762700583,2.8171428144581863,0,0,1646,1647 days 00:00:00,1000.0,91236.62140562013,9023.662140562014,342.2337037591433,100.0,7548.96070390388,65.04111743748008,694 days 00:00:00,72,0,0.0,401.63996168649226,-29.409052894108978,33.72482070325036,-7.060081542091476,12 days 10:40:00,8 days 21:20:00,1253.2864084113899,1.4857088175436741,2.6428838571002866,1.413021326657285,3.3815234614522773,38.07310642339471,1.5469235970138346,0.3218298555377207,-0.06042543084625529,None,None,0.0038978387557519153,0.9822553664494826,90.23662140562018,0.9948791814754854,0.7956771222950024,25.36695930717763,10 days 16:00:00,false
Most Calmar Ratio,AVAX-USD,true,34,35,72,50.0,1.598780283774878,0.04374240583232078,13.332369580579442,10.255668908138032,1.3122721749696233,2.6245443499392467,17.49569762700583,2.8171428144581863,0,0,1646,1647 days 00:00:00,1000.0,91236.62140562013,9023.662140562014,342.2337037591433,100.0,7548.96070390388,65.04111743748008,694 days 00:00:00,72,0,0.0,401.63996168649226,-29.409052894108978,33.72482070325036,-7.060081542091476,12 days 10:40:00,8 days 21:20:00,1253.2864084113899,1.4857088175436741,2.6428838571002866,1.413021326657285,3.3815234614522773,38.07310642339471,1.5469235970138346,0.3218298555377207,-0.06042543084625529,None,None,0.0038978387557519153,0.9822553664494826,90.23662140562018,0.9948791814754854,0.7956771222950024,25.36695930717763,10 days 16:00:00,false
Most Omega Ratio,AVAX-USD,true,34,35,72,50.0,1.598780283774878,0.04374240583232078,13.332369580579442,10.255668908138032,1.3122721749696233,2.6245443499392467,17.49569762700583,2.8171428144581863,0,0,1646,1647 days 00:00:00,1000.0,91236.62140562013,9023.662140562014,342.2337037591433,100.0,7548.96070390388,65.04111743748008,694 days 00:00:00,72,0,0.0,401.63996168649226,-29.409052894108978,33.72482070325036,-7.060081542091476,12 days 10:40:00,8 days 21:20:00,1253.2864084113899,1.4857088175436741,2.6428838571002866,1.413021326657285,3.3815234614522773,38.07310642339471,1.5469235970138346,0.3218298555377207,-0.06042543084625529,None,None,0.0038978387557519153,0.9822553664494826,90.23662140562018,0.9948791814754854,0.7956771222950024,25.36695930717763,10 days 16:00:00,false
Most Sortino Ratio,AVAX-USD,true,34,35,72,50.0,1.598780283774878,0.04374240583232078,13.332369580579442,10.255668908138032,1.3122721749696233,2.6245443499392467,17.49569762700583,2.8171428144581863,0,0,1646,1647 days 00:00:00,1000.0,91236.62140562013,9023.662140562014,342.2337037591433,100.0,7548.96070390388,65.04111743748008,694 days 00:00:00,72,0,0.0,401.63996168649226,-29.409052894108978,33.72482070325036,-7.060081542091476,12 days 10:40:00,8 days 21:20:00,1253.2864084113899,1.4857088175436741,2.6428838571002866,1.413021326657285,3.3815234614522773,38.07310642339471,1.5469235970138346,0.3218298555377207,-0.06042543084625529,None,None,0.0038978387557519153,0.9822553664494826,90.23662140562018,0.9948791814754854,0.7956771222950024,25.36695930717763,10 days 16:00:00,false
Mean Total Trades,AVAX-USD,true,24,25,77,51.94805194805194,1.4051200693788541,0.04678007290400972,11.108126097276095,8.87762325456631,1.4034021871202915,2.806804374240583,15.58916845972526,1.7670727140271993,0,0,1646,1647 days 00:00:00,1000.0,10614.668603137836,961.4668603137836,342.2337037591433,100.0,1026.2673934951613,85.41562702277051,747 days 00:00:00,77,0,0.0,456.0917781779518,-39.532198359630854,30.62659956956299,-9.992926305196223,10 days 12:36:00,9 days 18:09:43.783783783,124.86582601477727,0.9927762931518831,0.8053998331297217,1.2590670829465924,3.0287923058737323,38.27478279989839,1.5141088766716686,0.31026252983293556,-0.06681776288180274,None,None,0.0026274690495040665,0.6621222004750248,9.614668603137794,0.4353879344488232,0.8026623894210987,1.8093868305572947,10 days 03:44:24.935064934,false
