Metric Type,Ticker,Use SMA,Short Window,Long Window,Signal Entry,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy per Trade,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Beats BNH [%],Total Period,Score,Avg Trade Duration
Most Expectancy,TLT,true,41,98,false,34,42.42424242424242,1.8367633370451786,0.005782372524969336,1.8558629210500355,0.4785794970473476,0.12510951463115472,0.24653933765551078,0.23218610927452693,0.4857683665170889,0,0,5707,5708 days 00:00:00,1000.0,1727.9760866396414,72.79760866396416,12.671739765010148,100.0,92.12927360959806,19.234565657380838,1370 days 00:00:00,33,1,48.74134882332578,26.28537089939606,-8.150744447415313,8.396066685151213,-2.963234589340305,149 days 06:51:25.714285714,46 days 18:56:50.526315789,20.582870842918673,0.33494264943224944,0.18505109262332153,1.0683066490399242,0.2888560776133146,12.633254582477626,0.9947488553158101,0.3740972556571978,-0.010864675958499482,None,None,0.00011872951914709696,0.029919838825068434,0.7279760866396336,0.02444099539297473,0.10750655869274992,4.744878762818079,8266.09126984127,0.03900629662133106,90 days 06:32:43.636363635
Most Calmar Ratio,TLT,true,41,98,false,34,42.42424242424242,1.8367633370451786,0.005782372524969336,1.8558629210500355,0.4785794970473476,0.12510951463115472,0.24653933765551078,0.23218610927452693,0.4857683665170889,0,0,5707,5708 days 00:00:00,1000.0,1727.9760866396414,72.79760866396416,12.671739765010148,100.0,92.12927360959806,19.234565657380838,1370 days 00:00:00,33,1,48.74134882332578,26.28537089939606,-8.150744447415313,8.396066685151213,-2.963234589340305,149 days 06:51:25.714285714,46 days 18:56:50.526315789,20.582870842918673,0.33494264943224944,0.18505109262332153,1.0683066490399242,0.2888560776133146,12.633254582477626,0.9947488553158101,0.3740972556571978,-0.010864675958499482,None,None,0.00011872951914709696,0.029919838825068434,0.7279760866396336,0.02444099539297473,0.10750655869274992,4.744878762818079,8266.09126984127,0.03900629662133106,90 days 06:32:43.636363635
Most Win Rate [%],TLT,true,39,89,false,36,54.285714285714285,1.6166467975863337,0.0061328193446644474,1.6092818523289028,0.5632041848268402,0.13246889784475205,0.26125810408270544,0.21317979329957076,0.4217602312639182,0,0,5707,5708 days 00:00:00,1000.0,1583.6070254405586,58.36070254405584,12.671739765010148,100.0,91.63524765168599,23.27229862091386,1370 days 00:00:00,35,1,8.944071465488378,29.421448670396742,-10.46465636713484,6.584941714017682,-4.2993142334265215,120 days 06:18:56.842105262,44 days 07:30:00,16.41894154214486,0.29146746162631976,0.1281881580987536,1.0589049656696166,0.28657674515617493,12.505329496607235,0.9930627979324647,0.3760848601735776,-0.010890683940706285,None,None,0.00010354384568504046,0.026093049112630197,0.5836070254405492,0.020502673407089,0.10774097833370144,3.60557931478394,8266.09126984127,0.03840054387679799,85 days 13:01:42.857142856
Least Avg Losing Trade [%],TLT,true,39,89,false,36,54.285714285714285,1.6166467975863337,0.0061328193446644474,1.6092818523289028,0.5632041848268402,0.13246889784475205,0.26125810408270544,0.21317979329957076,0.4217602312639182,0,0,5707,5708 days 00:00:00,1000.0,1583.6070254405586,58.36070254405584,12.671739765010148,100.0,91.63524765168599,23.27229862091386,1370 days 00:00:00,35,1,8.944071465488378,29.421448670396742,-10.46465636713484,6.584941714017682,-4.2993142334265215,120 days 06:18:56.842105262,44 days 07:30:00,16.41894154214486,0.29146746162631976,0.1281881580987536,1.0589049656696166,0.28657674515617493,12.505329496607235,0.9930627979324647,0.3760848601735776,-0.010890683940706285,None,None,0.00010354384568504046,0.026093049112630197,0.5836070254405492,0.020502673407089,0.10774097833370144,3.60557931478394,8266.09126984127,0.03840054387679799,85 days 13:01:42.857142856
Mean Sortino Ratio,TLT,true,41,78,false,40,51.28205128205128,1.598925864361217,0.00683371298405467,1.4557201252272878,0.5362756033255803,0.14718766427194674,0.2906956369370948,0.2142640450658703,0.4263432393024092,0,0,5707,5708 days 00:00:00,1000.0,1593.567410854776,59.3567410854776,12.671739765010148,100.0,102.4000922047485,21.69525558102501,1370 days 00:00:00,39,1,9.000326835373244,25.77400099957577,-13.1328200087515,6.450109009886617,-3.801531332308847,112 days 18:00:00,40 days 22:44:12.631578947,14.988899590241111,0.29436619175745354,0.1394097931124791,1.0590970309916388,0.2923830696914045,12.387573120351504,0.9915662228286585,0.38409311348205627,-0.010913548882880961,None,None,0.00010469519726053919,0.026383189709655877,0.593567410854773,0.02078519870123552,0.10786623810657307,3.68418245530708,8266.09126984127,0.03578021711871445,77 days 18:27:41.538461537
Median Total Trades,TLT,true,41,81,false,39,50.0,1.5876895151792927,0.006658489574207114,1.5132346227126814,0.5295903081882657,0.14350797266514806,0.28333625372349747,0.21716123287220712,0.4321698242982861,0,0,5707,5708 days 00:00:00,1000.0,1606.2805609590305,60.62805609590304,12.671739765010148,100.0,96.64398200398749,21.66683908917862,1375 days 00:00:00,38,1,18.525154952451658,27.454694822968108,-13.132820008751503,7.006366776799116,-3.979897531373753,118 days 12:37:53.684210526,40 days 16:25:15.789473684,15.467247526488912,0.2981744213130459,0.14200931902953026,1.0599307197995227,0.2955598677411986,12.356240634000635,0.9934331651352922,0.38208232445520585,-0.010876012947168787,None,None,0.00010611580219749482,0.026741182153768694,0.6062805609590478,0.02114336377269499,0.10793352951635982,3.7845092481548828,8266.09126984127,0.0352788810370005,79 days 14:31:34.736842105
Most Avg Winning Trade Duration,TLT,true,40,70,false,44,48.837209302325576,1.5121525421309256,0.007534606623444892,1.3892142571091048,0.5373641443965962,0.1619064306991414,0.32013316979148415,0.22492272184489448,0.4468019759268183,0,0,5707,5708 days 00:00:00,1000.0,1641.3216230157145,64.13216230157146,12.671739765010148,100.0,121.7292122741724,29.771615346078256,1370 days 00:00:00,43,1,28.409612446006122,30.55471365959608,-12.333043072309064,6.642435381123961,-3.625224088541438,99 days 18:17:08.571428571,42 days 01:05:27.272727273,14.25376768766763,0.3089958061984673,0.10813099710539037,1.062132970025913,0.26977873565881255,12.342783648745637,0.9884667489017935,0.3847646773410966,-0.010925411332407963,None,None,0.00010985068663856748,0.027682373032919007,0.6413216230157119,0.022116719266700002,0.1078193957131391,4.061038459664114,8266.09126984127,0.03484889126651688,70 days 05:34:53.023255813
Median Sharpe Ratio,TLT,true,39,86,false,36,48.57142857142857,1.6327053645100211,0.0061328193446644474,1.6086627251082373,0.5037256645209068,0.13246889784475205,0.26125810408270544,0.21309777819902354,0.42364102554524413,0,0,5707,5708 days 00:00:00,1000.0,1586.2022581572114,58.62022581572114,12.671739765010148,100.0,88.13999258268213,22.018739093197077,1378 days 00:00:00,35,1,8.958729108776197,28.186885245901667,-11.50639367691794,7.509529994469853,-3.9643785848443995,126 days 21:10:35.294117646,46 days 17:20:00,16.49267225852674,0.2924796509232943,0.1359758554921417,1.0590274401887312,0.29500972736175435,12.50205664822996,0.993261971751915,0.376748673420164,-0.010890683940706287,None,None,0.00010377149791533638,0.026150417474664768,0.5862022581572119,0.020576450185715744,0.10760417760041703,3.626059791535989,8266.09126984127,0.03355033199590889,85 days 15:46:17.142857142
Least Worst Trade [%],TLT,true,44,76,false,40,43.58974358974359,1.6454193954446463,0.00683371298405467,1.5423978299395256,0.48297592759204155,0.14718766427194674,0.2906956369370948,0.22702193396691808,0.45301939262122765,0,0,5707,5708 days 00:00:00,1000.0,1652.9464676999482,65.29464676999483,12.671739765010148,100.0,99.01639562375108,21.49238785358034,1376 days 00:00:00,39,1,19.06335056683156,25.747912129329727,-13.887792482066002,7.933023593560565,-3.3958129874040046,128 days 00:00:00,39 days 19:38:10.909090909,16.25341325982351,0.31242125600578663,0.15195278501433418,1.0625403162592293,0.2994206050843298,12.31133930708193,0.9925925211449841,0.38779479698516894,-0.010924038154567352,None,None,0.0001110951829667328,0.027995986107616663,0.6529464676999475,0.02243524516425488,0.1078453333386888,4.152776807355981,8266.09126984127,0.03312438504365552,78 days 06:09:13.846153846
Mean Win Rate [%],TLT,true,27,90,false,35,44.11764705882353,1.6903443258496422,0.005957595934816892,1.6237929046114323,0.44864419910059833,0.1287892062379534,0.25389872086910814,0.20912699927972714,0.44047091340819067,0,0,5707,5708 days 00:00:00,1000.0,1623.5823883144703,62.358238831447025,12.671739765010148,100.0,91.54203821817433,20.26711877065312,1376 days 00:00:00,34,1,33.58770191884082,27.928804009282494,-7.03115634071567,7.84813463330111,-3.2901610917225237,141 days 20:48:00,43 days 22:44:12.631578947,17.352784893989103,0.30436736276827897,0.1553025262742797,1.0619108347142343,0.293584984544443,12.643072211813863,0.9710449012201666,0.3780782230806373,-0.010924038154567446,None,None,0.0001077519217815154,0.02715348428894188,0.6235823883144722,0.02162647601082912,0.10736769903015897,3.9210479372085723,8266.09126984127,0.03100416464621218,87 days 03:31:45.882352941
