Metric Type,Ticker,Strategy Type,Short Window,Long Window,Signal Entry,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Total Period
Mean Total Trades,ATOM-USD,SMA,38,41,false,56,0.706680586603565,55.35714285714286,1.5547425807864805,6.611752903662073,1.230867156395195,16.60844223391928,18 days 13:17:08.571428571,0.02527075812274368,0.7581227436823106,1.5162454873646212,5.012520251873775,0,0,2216,2217 days 00:00:00,1000.0,6027.644987226296,502.7644987226296,-32.21106188483394,100.0,417.58820526696206,67.21467152911075,1096 days 00:00:00,56,0,0.0,200.4103322732668,-38.86388896839158,19.620895100658156,-9.519583420613072,20 days 14:42:34.838709677,16 days 00:00:00,89.7793747718982,0.7643273219244909,0.5119855882813819,1.1825968439822303,1.033865831772954,14.289070565972505,1.3565081445678537,0.29876977152899825,-0.05906501257464822,None,None,0.0017231627487263232,0.4342370126790335,5.027644987226272,0.22652706668187905,0.6837441377074643,2216
Mean Avg Winning Trade [%],ATOM-USD,SMA,31,35,false,49,0.6976022304667551,45.83333333333333,1.619358469857633,8.682946928477518,1.3096778300216818,20.21860075610054,21 days 22:30:00,0.021660649819494584,0.6633574007220218,1.3131768953068592,5.759897105082109,0,0,2216,2217 days 00:00:00,1000.0,7190.515382946708,619.0515382946708,-32.21106188483394,100.0,416.37506920034065,64.98168528973231,1159 days 00:00:00,48,1,-626.9469491830405,232.41051128704737,-29.17429929602236,30.325942923901966,-9.630357375343161,30 days 20:43:38.181818182,14 days 09:13:50.769230769,142.03046525270304,0.7935537693887968,0.5905347183995623,1.189050091651089,1.4342966460678601,12.265566826252545,1.3402587738263738,0.3056537102473498,-0.05917086489839084,None,None,0.0017996031812750706,0.45350000168131777,6.190515382946705,0.25136914398468013,0.6877761250239351,2216
Mean Worst Trade [%],ATOM-USD,SMA,37,44,false,35,0.6714465722264734,54.285714285714285,1.553663084120111,10.18190528682269,1.2474855657470312,18.09882658132037,29 days 15:05:08.571428571,0.0157942238267148,0.47382671480144406,0.9476534296028881,4.824458732474651,0,0,2216,2217 days 00:00:00,1000.0,6507.713611689539,550.771361168954,-32.21106188483394,100.0,282.66808148637415,63.02337891986936,1231 days 00:00:00,35,0,0.0,167.29108972897214,-41.08290765889136,28.96420460486022,-12.122075153346875,32 days 13:53:41.052631579,26 days 03:00:00,157.36324604827252,0.7805054774390681,0.5731126567687235,1.186072035217605,0.9572857086786883,13.974177057476304,1.3070048701809704,0.29876977152899825,-0.05873781366365586,None,None,0.001762104065314084,0.44405022445914916,5.507713611689536,0.23725741538872458,0.6847031101107831,2216
Median Profit Factor,ATOM-USD,SMA,51,54,false,49,0.6164898963907677,55.10204081632652,1.2883915245414108,8.129413844536078,1.2117065578127566,16.44864084135599,21 days 16:39:11.020408163,0.02211191335740072,0.6633574007220218,1.3267148014440435,5.39270683730507,0,0,2216,2217 days 00:00:00,1000.0,5976.171261774908,497.61712617749083,-32.21106188483394,100.0,525.6424988476094,66.04938770678028,1178 days 00:00:00,49,0,0.0,155.60344522106578,-45.48159711350735,24.113382666169393,-11.487275163832079,22 days 16:53:20,20 days 10:54:32.727272727,101.55451554642661,0.7645101246087822,0.5181469645811981,1.1802681402509485,0.9036253939478959,13.579463073941085,1.3101648236182255,0.3118343195266272,-0.058737813663655845,None,None,0.0017435520037213633,0.43937510493778353,4.976171261774917,0.22533198046390002,0.6916690879884789,2216
Mean Best Trade [%],ATOM-USD,SMA,7,20,false,55,0.5900258306534061,43.63636363636363,1.4730448131823226,7.684257000945352,1.3138055555922061,21.79053114094527,18 days 17:27:16.363636362,0.024819494584837544,0.7445848375451264,1.4891696750902528,5.721581250703895,0,0,2216,2217 days 00:00:00,1000.0,7696.850851995553,669.6850851995553,-32.21106188483394,100.0,476.36025496716746,59.76670218414425,488 days 00:00:00,55,0,0.0,210.99804593809145,-28.44160277628425,30.75846042447128,-10.179642423719882,29 days 17:00:00,10 days 05:25:09.677419354,121.7609245817373,0.8097904195731668,0.6681462784232305,1.1934796067328717,1.2132599279228922,11.983321111211943,1.3455897526890235,0.29876977152899825,-0.061928325932284325,None,None,0.0018732359206063438,0.47205545199279864,6.696850851995547,0.26108584843211746,0.7015627879550247,2216
Mean Expectancy,ATOM-USD,SMA,14,16,false,107,0.5894514566780223,41.1214953271028,1.4031930334118146,4.30478098647648,1.3773210715834578,28.292631412561832,10 days 05:22:59.439252335,0.04828519855595668,1.4485559566787005,2.897111913357401,6.2357161401577175,0,0,2216,2217 days 00:00:00,1000.0,9791.246394299918,879.1246394299918,-32.21106188483394,100.0,1161.0268970382979,64.73299154576242,426 days 00:00:00,107,0,0.0,207.2922889361339,-26.667462446695573,20.38577633833589,-6.926390370377708,14 days 09:49:05.454545454,7 days 07:14:17.142857142,82.16118125513958,0.8611615327252625,0.7042618372023122,1.2035709430944896,0.8988015259933702,13.13638140208419,1.4584708665859583,0.32437275985663083,-0.060728296999006816,None,None,0.0020442303835911113,0.51514605666496,8.791246394299888,0.29606176067812373,0.7199327322523672,2216
Least Avg Losing Trade [%],ATOM-USD,SMA,21,35,false,35,0.5432350910996179,55.88235294117647,1.4265669610441727,10.370098995856909,1.0390678699402902,8.034442448516042,30 days 15:31:45.882352940,0.015342960288808664,0.47382671480144406,0.934115523465704,4.913629939372633,0,0,2216,2217 days 00:00:00,1000.0,3265.86861034453,226.58686103445302,-32.21106188483394,100.0,111.56491497211081,68.7116575317551,1171 days 00:00:00,34,1,130.61497254105416,229.85469978924618,-39.914889290188405,33.69483146433864,-19.17456213088662,38 days 07:34:44.210526316,20 days 22:24:00,62.80157758245517,0.6498019577255253,0.31309264312263335,1.1537316146281056,1.0545927425733954,13.373882739914613,1.3030380588740973,0.29876977152899825,-0.06242410280638768,None,None,0.0015370709461669625,0.3873418784340745,2.2658686103445187,0.14399664741556983,0.7173970735438461,2216
Median Win Rate [%],ATOM-USD,SMA,9,25,false,44,0.5309444261441627,45.45454545454545,1.437574610015543,9.59166421538701,1.145181472291508,12.364936293096466,23 days 09:49:05.454545454,0.019855595667870037,0.5956678700361011,1.1913357400722022,5.7134461932810705,0,0,2216,2217 days 00:00:00,1000.0,4660.766662541255,366.0766662541255,-32.21106188483394,100.0,212.55111528572104,75.70985000490424,569 days 00:00:00,44,0,0.0,196.72518240657723,-39.47768828272587,37.73441744905234,-13.860630146000766,37 days 03:36:00,11 days 23:00:00,83.19924233048309,0.7172482592661192,0.3809359288187627,1.1692739945677881,1.0091031455945674,13.180191036371511,1.3373133710326208,0.291958041958042,-0.06231125039048229,None,None,0.001685095045724155,0.4246439515224871,3.660766662541244,0.19119159813740905,0.7125274521953764,2216
Least Avg Losing Trade Duration,ATOM-USD,SMA,6,19,false,59,0.5236759374669371,40.67796610169492,1.5261546358025604,6.968216832570356,1.2806606117778976,19.250225340611927,17 days 14:14:14.237288134,0.026624548736462094,0.7987364620938628,1.5974729241877257,5.565768859950149,0,0,2216,2217 days 00:00:00,1000.0,6878.591378586153,587.8591378586153,-32.21106188483394,100.0,415.6653966930117,61.99923160035482,779 days 00:00:00,59,0,0.0,207.48955090740236,-29.12775130101514,30.217488807549227,-8.974141093129443,28 days 16:00:00,10 days 00:00:00,99.63714200993473,0.7874583592142644,0.6027056443336791,1.1867694330899916,1.2421620157492879,12.044792538649482,1.3609528136805,0.29953106682297775,-0.061539029231307496,None,None,0.0018168492640355804,0.4578460145369663,5.878591378586152,0.24507684213615533,0.699742097270493,2216
Mean Calmar Ratio,ATOM-USD,SMA,13,34,false,37,0.47887893405509874,44.44444444444444,1.414360378760672,11.04328441741492,1.1191790149730585,10.96431958826011,28 days 02:00:00,0.016245487364620937,0.5009025270758123,0.9882671480144405,5.531609071900073,0,0,2216,2217 days 00:00:00,1000.0,4209.613148977094,320.9613148977094,-32.21106188483394,100.0,208.3723998812941,71.43108677206295,1169 days 00:00:00,36,1,-365.1998771523404,228.26269663403394,-47.03784641052858,41.15551852081648,-13.046502865306325,44 days 21:00:00,14 days 15:36:00,99.30036183692863,0.6994264875955662,0.3737732843755149,1.1653962391496175,1.0045997908495974,12.801653808748563,1.317201360481733,0.2904540162980209,-0.06256959282376527,None,None,0.0016634143998668124,0.41918042876643674,3.2096131489771,0.17748615727600803,0.721281983251731,2216
