Metric Type,Ticker,Strategy Type,Short Window,Long Window,Signal Entry,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy per Trade,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Beats BNH [%],Total Period,Score,Avg Trade Duration
Most Sortino Ratio,BTC-USD,SMA,8,44,false,47,48.93617021276596,2.7899720615634376,0.012195121951219513,25.15650890162877,10.657574226145915,0.36585365853658536,0.7317073170731707,9.203600817669061,2.3408013323567873,0,0,3854,3855 days 00:00:00,1000.0,723404.3677244858,72240.43677244858,16849.363178946536,100.0,15973.231441787671,53.60574920633759,755 days 00:00:00,47,0,0.0,357.662545496104,-19.792472298596227,59.50599606533389,-7.761749630255306,75 days 02:05:13.043478260,16 days 19:00:00,15370.305696265656,1.4956879744220741,1.6140634866957677,1.3688921300106998,0.5351446901527038,10.661992608100672,1.1726686847531922,0.4368244502422661,-0.03554168887613225,None,None,0.0020495680671223458,0.5164911529148312,722.4043677244822,0.5378597942543373,0.4155928304451518,3.287428314365839,3854,6.533811735733744,45 days 07:39:34.468085105
Median Total Trades,BTC-USD,SMA,9,40,false,46,56.52173913043478,2.8770517771675372,0.011935651271406332,21.781581270998146,10.431407497622985,0.35806953814218995,0.7161390762843799,7.799320745712881,2.1655917887868092,0,0,3854,3855 days 00:00:00,1000.0,427181.17711102497,42618.117711102495,16849.363178946536,100.0,9327.489503957157,56.8834366268263,756 days 00:00:00,46,0,0.0,223.3900699701511,-17.52588944785418,45.52737446073075,-9.087949875654228,67 days 08:18:27.692307692,19 days 03:36:00,9264.808198065759,1.3998456202410194,1.361529116636652,1.3401608361381834,0.4604139846129773,10.600405174807387,1.1493621493222619,0.4373601789709172,-0.035722053957093665,None,None,0.0019104180358244232,0.48142534502775464,426.1811771110238,0.48580628906437706,0.4138995643879554,1.5293607395414386,3854,6.397347426615749,46 days 09:23:28.695652173
Most Avg Winning Trade [%],BTC-USD,SMA,78,84,false,34,47.05882352941176,3.091707749302973,0.008822003113648157,55.693760310211154,16.41370721980804,0.26466009340944474,0.5293201868188895,14.73991580602371,1.6674249377393893,0,0,3854,3855 days 00:00:00,1000.0,138143.19457625327,13714.319457625328,16849.363178946536,100.0,3332.740356566941,64.3271929581157,1307 days 00:00:00,34,0,0.0,1526.0604199125526,-33.01440445238822,126.17148419953716,-6.953105369189723,121 days 00:00:00,19 days 16:00:00,4033.6233698898004,1.1174009639374303,0.9243335707340532,1.2602109203615515,-0.08700688860216733,16.142869959387713,1.1295604820873333,0.46577946768060835,-0.04078646763151507,None,None,0.0017107666990850369,0.4311132081694293,137.14319457625365,0.3801064626188322,0.46433182276661794,-0.18606303917993053,3854,5.67287124216847,67 days 08:28:14.117647058
Median Avg Losing Trade [%],BTC-USD,SMA,13,47,false,41,51.21951219512195,2.736984074484315,0.010638297872340425,25.085652521615874,9.703420573842942,0.3191489361702128,0.6382978723404256,8.006059315409322,2.1232786609822205,0,0,3854,3855 days 00:00:00,1000.0,388911.5421048733,38791.15421048733,16849.363178946536,100.0,9180.192948911075,68.76145532937126,755 days 00:00:00,41,0,0.0,329.92871174898147,-22.43523939785563,57.44601035347651,-8.8927232018378,82 days 18:17:08.571428571,20 days 13:12:00,9461.257124509102,1.3682494326252403,1.103504000845188,1.3337873741081232,0.4895372146581094,10.851373973970183,1.1552668133792456,0.4373601789709172,-0.035599617157976146,None,None,0.0018965773710447728,0.47793749750328274,387.9115421048761,0.4767182493950044,0.420389626019473,1.3022326599830967,3854,5.378929465092489,52 days 09:57:04.390243901
Median Best Trade [%],BTC-USD,SMA,14,43,false,41,51.21951219512195,2.623236866561618,0.010638297872340425,25.710877082971813,9.945264666465429,0.3191489361702128,0.6382978723404256,8.205599069033557,2.1493779538778774,0,0,3854,3855 days 00:00:00,1000.0,397861.60830804205,39686.160830804205,16849.363178946536,100.0,9344.24784931173,61.158038008399295,790 days 00:00:00,41,0,0.0,333.27184629937364,-23.807999132589206,58.70585755425613,-8.933852411876723,80 days 17:08:34.285714285,22 days 18:00:00,9679.55142214737,1.380957831993435,1.246897977636396,1.3360577398285671,0.535993786506942,10.745392341114103,1.164768286004392,0.43575418994413406,-0.035722053957093707,None,None,0.0018953689942460433,0.4776329865500029,396.8616083080426,0.478916221887447,0.41625556912473094,1.3553507874049802,3854,5.348824775578121,52 days 10:32:11.707317072
Mean Avg Winning Trade [%],BTC-USD,SMA,76,78,false,61,57.377049180327866,2.226202437974096,0.01582771146860405,25.937894200106125,16.721795855658765,0.47483134405812144,0.9496626881162429,12.316125165073744,1.8043167022303712,0,0,3854,3855 days 00:00:00,1000.0,233077.5863003647,23207.758630036467,16849.363178946536,100.0,10027.873001062346,64.3271929581157,1302 days 00:00:00,61,0,0.0,996.8003042619595,-33.28289019687436,50.27243223385051,-6.8201377683959254,48 days 22:37:42.857142857,22 days 04:36:55.384615384,3804.550595087946,1.203865097399147,1.050194976642266,1.2829578066810934,-0.07976714439962411,16.011493241639847,1.1484541656580773,0.47418738049713194,-0.039792056797032696,None,None,0.0018494950453014321,0.4660727514159609,232.07758630036594,0.4281133514000466,0.4659314771796825,0.3773671077987574,3854,4.812198044013878,37 days 12:59:00.983606556
Mean Omega Ratio,BTC-USD,SMA,74,77,false,56,58.92857142857143,1.9758283556388097,0.014530358069538143,26.784638717897685,16.28095556622994,0.4359107420861443,0.8718214841722886,11.675711740028053,1.7743033204285412,0,0,3854,3855 days 00:00:00,1000.0,226422.82631663218,22542.28263166322,16849.363178946536,100.0,9174.339009997908,64.51968918240847,1302 days 00:00:00,56,0,0.0,900.674101232926,-35.66099729122741,51.75489397651604,-9.042249261859084,58 days 13:05:27.272727273,16 days 02:05:13.043478260,4025.407612797003,1.1881988230188547,1.0399487726469339,1.279419126529552,-0.11667428439022648,15.83325369050736,1.1485928551372404,0.4753157290470723,-0.04066848942390956,None,None,0.0018580795607839617,0.46823604931755836,225.42282631663213,0.4254116672770498,0.4742658902422551,0.33787149058725546,3854,4.120756333893521,41 days 02:34:17.142857142
Most Max Drawdown Duration,BTC-USD,SMA,14,47,false,41,53.65853658536586,2.7655469105743387,0.010638297872340425,24.79741634479476,10.048685938211177,0.3191489361702128,0.6382978723404256,7.914069046211095,2.076910574139608,0,0,3854,3855 days 00:00:00,1000.0,342283.0346016923,34128.30346016923,16849.363178946536,100.0,8130.133076842191,69.73863832538163,999 days 00:00:00,41,0,0.0,329.9287117489814,-24.036922784328628,54.64061724276799,-9.75786890549003,79 days 05:27:16.363636364,21 days 08:50:31.578947368,8323.976453699812,1.3421360385674346,1.0577290323745965,1.3261485595899334,0.4742234707637789,10.760625306631459,1.1571185036627314,0.4352196574832464,-0.035955625355990756,None,None,0.0018653616988547573,0.47007114811139883,341.28303460169286,0.4644410169081641,0.4215151803299662,1.0254951535980255,3854,4.0512025687045865,52 days 09:57:04.390243902
Median Win Rate [%],BTC-USD,SMA,29,53,false,40,47.5,3.5418899374460993,0.010378827192527244,25.254992071072977,8.838549444656227,0.3113648157758173,0.6227296315516346,7.863515953629364,1.8961862832108591,0,0,3854,3855 days 00:00:00,1000.0,203380.58632132542,20238.058632132543,16849.363178946536,100.0,3862.652377940169,68.92363813272063,777 days 00:00:00,40,0,0.0,410.1419616117299,-19.03957705045539,63.880412528151865,-9.691816913903162,83 days 15:09:28.421052632,28 days 20:34:17.142857143,5059.514658033136,1.2360132412512728,0.9489888579741558,1.2927369595512848,0.40367378971838763,10.74486028175893,1.138217895362496,0.4454443194600675,-0.036611528018451064,None,None,0.0017395464255310113,0.43836569923381485,202.3805863213246,0.4154462538083066,0.4268345864638671,0.2011171233711799,3854,3.9937923775705024,54 days 21:00:00
Least Max Drawdown [%],BTC-USD,SMA,16,36,false,51,50.98039215686274,2.8657842096320065,0.013233004670472236,18.92313630976363,9.06247087960682,0.3969901401141671,0.7939802802283342,7.5122985350125475,2.1427044630871133,0,0,3854,3855 days 00:00:00,1000.0,359585.69891752757,35858.569891752755,16849.363178946536,100.0,9515.345912375235,49.32949100573054,755 days 00:00:00,51,0,0.0,242.93537090387,-21.444898023088307,43.53482440811247,-6.673019312519157,64 days 03:41:32.307692308,19 days 18:14:24,7031.092135637793,1.3721727869487634,1.5118303808948794,1.330840144199412,0.5610043214339528,10.398329560891968,1.183095294715277,0.4362891207153502,-0.03573274889238585,None,None,0.0018608126163575927,0.46892477932211335,358.5856989175275,0.469169516180167,0.41128279517009275,1.1281854697368285,3854,3.840356986356862,42 days 09:24:42.352941175
Median Max Drawdown [%],BTC-USD,SMA,31,37,false,74,55.4054054054054,2.2355170090731176,0.019200830306175403,13.043204742375881,9.850274349556294,0.5760249091852621,1.1520498183705241,7.5132108272118465,2.019462110335815,0,0,3854,3855 days 00:00:00,1000.0,264097.76560976583,26309.77656097658,16849.363178946536,100.0,10792.206374572283,67.17055757882491,728 days 00:00:00,74,0,0.0,322.68854755135743,-19.23186818395439,30.362217316175876,-8.474356334163502,36 days 22:14:38.048780488,20 days 11:38:10.909090909,3555.375210942781,1.2984237886982355,1.0354255918582789,1.3119490928284727,0.5740772764186435,10.863487295888811,1.1892647210475462,0.4449025487256372,-0.035732748892385716,None,None,0.001792861619923441,0.4518011282207071,263.09776560976655,0.43982566990437744,0.4187713955296172,0.5614700853413223,3854,3.152782689150984,29 days 14:16:12.972972972
Mean Total Trades,BTC-USD,SMA,31,39,false,63,50.79365079365079,2.761172431066977,0.01634665282823041,14.572979905901772,8.589710020056303,0.4903995848469123,0.9807991696938246,7.146583295836624,1.9180814606658214,0,0,3854,3855 days 00:00:00,1000.0,189820.0674873468,18882.00674873468,16849.363178946536,100.0,6532.669667400112,63.97487367830329,756 days 00:00:00,63,0,0.0,319.5737366664887,-19.515329166214194,36.18635081363105,-7.737596514980062,46 days 00:00:00,23 days 06:11:36.774193548,2997.143928370582,1.2342810685556185,1.0055608444327493,1.2943934769520178,0.5972304122827207,10.850232835262306,1.179214396375779,0.4411214953271029,-0.03613584613392114,None,None,0.0017087767067764546,0.43061173010766657,188.82006748734722,0.4090760287986406,0.41987300186978305,0.12063622513211376,3854,3.135533436476842,34 days 19:25:42.857142856
Mean Total Return [%],BTC-USD,SMA,7,80,false,34,47.05882352941176,2.8689032147012554,0.008822003113648157,30.028988757957876,8.84995063782144,0.26466009340944474,0.5293201868188895,7.947474969672298,1.8258986456090394,0,0,3854,3855 days 00:00:00,1000.0,175710.52855298386,17471.052855298385,16849.363178946536,100.0,3221.8796307174866,64.50928737084567,840 days 00:00:00,34,0,0.0,328.3586086246459,-23.218800566451193,75.1481614979313,-10.076942566462929,111 days 12:00:00,22 days 05:20:00,5138.544957440701,1.2071994917417894,0.9786690055765389,1.285525885974082,0.28142127109228204,10.637423350352755,1.1195465943673009,0.44382022471910115,-0.037999313683001495,None,None,0.0017048494561722487,0.42962206295540667,174.71052855298413,0.401979441102313,0.4283055421580407,0.03689692421899107,3854,3.108028045515233,64 days 05:38:49.411764705
Median Omega Ratio,BTC-USD,SMA,22,52,false,40,52.5,2.3627027393159636,0.010378827192527244,23.68801661950051,9.162798839740482,0.3113648157758173,0.6227296315516346,7.375614930825275,1.8163136893010765,0,0,3854,3855 days 00:00:00,1000.0,153789.4427683128,15278.94427683128,16849.363178946536,100.0,3838.782194937497,76.11003149307184,1073 days 00:00:00,40,0,0.0,376.3524810729338,-23.06800364131315,56.350202339755015,-12.412293913412368,77 days 13:42:51.428571428,28 days 03:47:22.105263158,3819.7360692078187,1.1860313762238373,0.8026269193055817,1.2819621674549073,0.4270762546609691,10.99176228607754,1.1297907402335332,0.4362891207153502,-0.0369246906735643,None,None,0.0016650723403611911,0.4195982297710202,152.78944276831297,0.3898202046253052,0.42577840504218883,-0.09320345733169973,3854,2.740493811535578,54 days 02:24:00
Mean Sortino Ratio,BTC-USD,SMA,20,60,false,35,45.714285714285715,2.711673068567286,0.00908147379346134,26.979375691705478,7.951188267955198,0.27244421380384015,0.5448884276076803,7.350374799245135,1.7954473968625893,0,0,3854,3855 days 00:00:00,1000.0,145625.3954987954,14462.53954987954,16849.363178946536,100.0,3154.6591865564374,72.03037149872877,1061 days 00:00:00,35,0,0.0,397.9977387423762,-23.923234975398916,71.37887060369526,-10.409672655233281,96 days 22:30:00,31 days 03:47:22.105263158,4132.154157108438,1.1770567588510645,0.8365658195001541,1.2813280004784708,0.3857778457941541,11.002300179908383,1.1212999556297392,0.4309576837416481,-0.03681184954520153,None,None,0.0016501866719308633,0.4158470413265775,144.62539549879503,0.384873333734866,0.4251893444759454,-0.14165660765442803,3854,2.5661999647214455,61 days 05:29:08.571428571
Mean Best Trade [%],BTC-USD,SMA,49,61,false,40,57.49999999999999,2.129069815996262,0.010378827192527244,23.871852385213064,10.113328510957828,0.3113648157758173,0.6227296315516346,7.432854920149371,1.645735740123369,0,0,3854,3855 days 00:00:00,1000.0,123054.39750169816,12205.439750169817,16849.363178946536,100.0,2776.41274153218,68.69662511714607,559 days 00:00:00,40,0,0.0,338.1253073592802,-41.58147102529572,52.24874168742688,-14.520409611899732,78 days 11:28:41.739130435,30 days 08:28:14.117647058,3051.3599375424537,1.1076943636146601,0.84025978078626,1.2554747877720522,-0.13235201480099237,16.58924062681321,1.1073007298850808,0.48212226066897346,-0.04030813805907763,None,None,0.0016659642718886774,0.4198229965159467,122.0543975016986,0.36971091941174405,0.456133994280872,-0.27561418075309535,3854,2.5403831587812893,58 days 00:35:59.999999999
Median Worst Trade [%],BTC-USD,SMA,14,51,false,41,48.78048780487805,2.332194625741571,0.010638297872340425,23.06898224862416,8.498427794667219,0.3191489361702128,0.6382978723404256,7.362441143177923,1.845331621744288,0,0,3854,3855 days 00:00:00,1000.0,160192.77019449775,15919.277019449773,16849.363178946536,100.0,4020.225978279614,76.86012711549198,1095 days 00:00:00,41,0,0.0,366.9362223913206,-24.962796162316682,58.417757330521816,-10.596517829373608,82 days 20:24:00,23 days 04:34:17.142857142,3882.7504925487256,1.2034926682590505,0.8029046361472438,1.2877761677618362,0.45916686832245546,10.91793605905377,1.128463652162435,0.43255295429208473,-0.03648411186208846,None,None,0.0016651724999501255,0.4196234699874316,159.19277019449726,0.3935313233168094,0.41962609131162554,-0.055200077867566866,3854,2.4850827887723255,52 days 07:01:27.804878047
Least Max Drawdown Duration,BTC-USD,SMA,35,37,false,114,51.75438596491229,2.0774441733391327,0.029579657498702647,7.891226384415896,6.695173377632124,0.8873897249610794,1.7747794499221587,7.002593210872435,1.9000412616731148,0,0,3854,3855 days 00:00:00,1000.0,174309.41618207368,17330.94161820737,16849.363178946536,100.0,12415.423275749328,58.78881492716823,1024 days 00:00:00,114,0,0.0,332.46906633315695,-20.535386349280387,20.355063225244873,-5.47907131756428,25 days 17:05:05.084745762,12 days 12:39:16.363636363,1520.2580366848576,1.2205946429021717,1.071796203225186,1.2893200408448184,0.6139324718502738,10.83471268465506,1.2317028720718217,0.4443611839640315,-0.036402216211734735,None,None,0.0016842531012475042,0.42443178151437105,173.3094161820746,0.4012459131695467,0.41848760445781935,0.028581402997032584,3854,2.3480411678822444,19 days 08:25:15.789473683
Median Calmar Ratio,BTC-USD,SMA,25,44,false,43,46.51162790697674,2.2579930024771335,0.011157239231966787,22.33646974326671,8.228576070461122,0.3347171769590036,0.6694343539180072,7.476400095696434,1.8858248855286974,0,0,3854,3855 days 00:00:00,1000.0,176268.76891361846,17526.876891361844,16849.363178946536,100.0,5189.5989177792535,69.64902600118904,819 days 00:00:00,43,0,0.0,369.86398998679124,-24.756395289231094,58.20295634653419,-8.85177947696587,79 days 06:00:00,26 days 15:39:07.826086956,4076.0178817120564,1.2183904691544478,0.9071518353002781,1.2883193914611482,0.5564586062066323,10.494336950515747,1.157303860126118,0.4411214953271029,-0.03692469067356426,None,None,0.001691840795514421,0.4263438804696341,175.26876891361843,0.4022701760926224,0.42113341540428945,0.04021004860657694,3854,2.338544120639323,51 days 02:47:26.511627906
Mean Profit Factor,BTC-USD,SMA,15,56,false,40,47.5,2.257518443631029,0.010378827192527244,23.85909360738371,8.350023550198756,0.3113648157758173,0.6227296315516346,7.428882285641009,1.829576427490866,0,0,3854,3855 days 00:00:00,1000.0,149260.34024296308,14826.034024296308,16849.363178946536,100.0,3814.3662072750817,72.19013017898604,1073 days 00:00:00,40,0,0.0,380.9188651136403,-28.447492667111007,61.57127024755786,-10.261447162297662,86 days 15:09:28.421052632,24 days 02:17:08.571428571,3706.5085060740766,1.1907189749519096,0.8399026424243223,1.2840931334883738,0.4868112036193451,10.963644538673826,1.126744960318847,0.4341517857142857,-0.036811849545201406,None,None,0.0016460378436738382,0.4148015366058072,148.26034024296277,0.38710707190948535,0.4192540280974308,-0.12008341995847058,3854,2.3203739940359442,53 days 19:11:59.999999999
Median Sharpe Ratio,BTC-USD,SMA,15,56,false,40,47.5,2.257518443631029,0.010378827192527244,23.85909360738371,8.350023550198756,0.3113648157758173,0.6227296315516346,7.428882285641009,1.829576427490866,0,0,3854,3855 days 00:00:00,1000.0,149260.34024296308,14826.034024296308,16849.363178946536,100.0,3814.3662072750817,72.19013017898604,1073 days 00:00:00,40,0,0.0,380.9188651136403,-28.447492667111007,61.57127024755786,-10.261447162297662,86 days 15:09:28.421052632,24 days 02:17:08.571428571,3706.5085060740766,1.1907189749519096,0.8399026424243223,1.2840931334883738,0.4868112036193451,10.963644538673826,1.126744960318847,0.4341517857142857,-0.036811849545201406,None,None,0.0016460378436738382,0.4148015366058072,148.26034024296277,0.38710707190948535,0.4192540280974308,-0.12008341995847058,3854,2.3203739940359442,53 days 19:11:59.999999999
