Metric Type,Ticker,Strategy Type,Short Window,Long Window,Signal Entry,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy per Trade,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Beats BNH [%],Total Period,Score,Avg Trade Duration
Least Total Fees Paid,BTC-USD,EMA,21,34,false,35,54.285714285714285,2.7116080511581964,0.00908147379346134,25.921307883396615,9.071741569064942,0.27244421380384015,0.5448884276076803,7.062110347059274,1.8382018307577765,0,0,3854,3855 days 00:00:00,1000.0,166377.53116315798,16537.7531163158,16849.363178946536,100.0,3101.697766358653,70.99709426077993,999 days 00:00:00,35,0,0.0,329.9287117489815,-23.068542464451735,57.429151812745374,-11.494256782705037,99 days 03:47:22.105263158,17 days 10:30:00,4725.072318947369,1.2075336698002466,0.8773937396504529,1.2874402725119378,0.38458717267714204,10.78632247559499,1.1197991136231513,0.4384328358208956,-0.0372419631418369,None,None,0.0016788219002553176,0.42306311886434006,165.3775311631582,0.39698640951070585,0.421649975567229,-0.01849387774014499,3854,3.1855759599369846,61 days 19:11:59.999999999
Least Sharpe Ratio,BTC-USD,EMA,21,34,false,35,54.285714285714285,2.7116080511581964,0.00908147379346134,25.921307883396615,9.071741569064942,0.27244421380384015,0.5448884276076803,7.062110347059274,1.8382018307577765,0,0,3854,3855 days 00:00:00,1000.0,166377.53116315798,16537.7531163158,16849.363178946536,100.0,3101.697766358653,70.99709426077993,999 days 00:00:00,35,0,0.0,329.9287117489815,-23.068542464451735,57.429151812745374,-11.494256782705037,99 days 03:47:22.105263158,17 days 10:30:00,4725.072318947369,1.2075336698002466,0.8773937396504529,1.2874402725119378,0.38458717267714204,10.78632247559499,1.1197991136231513,0.4384328358208956,-0.0372419631418369,None,None,0.0016788219002553176,0.42306311886434006,165.3775311631582,0.39698640951070585,0.421649975567229,-0.01849387774014499,3854,3.1855759599369846,61 days 19:11:59.999999999
Least Sortino Ratio,BTC-USD,EMA,21,34,false,35,54.285714285714285,2.7116080511581964,0.00908147379346134,25.921307883396615,9.071741569064942,0.27244421380384015,0.5448884276076803,7.062110347059274,1.8382018307577765,0,0,3854,3855 days 00:00:00,1000.0,166377.53116315798,16537.7531163158,16849.363178946536,100.0,3101.697766358653,70.99709426077993,999 days 00:00:00,35,0,0.0,329.9287117489815,-23.068542464451735,57.429151812745374,-11.494256782705037,99 days 03:47:22.105263158,17 days 10:30:00,4725.072318947369,1.2075336698002466,0.8773937396504529,1.2874402725119378,0.38458717267714204,10.78632247559499,1.1197991136231513,0.4384328358208956,-0.0372419631418369,None,None,0.0016788219002553176,0.42306311886434006,165.3775311631582,0.39698640951070585,0.421649975567229,-0.01849387774014499,3854,3.1855759599369846,61 days 19:11:59.999999999
Least Avg Losing Trade [%],BTC-USD,EMA,23,31,false,35,54.285714285714285,2.6406223900034176,0.00908147379346134,26.11814967466447,9.14063075738856,0.27244421380384015,0.5448884276076803,7.115738754124985,1.8468234911826982,0,0,3854,3855 days 00:00:00,1000.0,171200.8893761853,17020.08893761853,16849.363178946536,100.0,3216.058876264033,70.60966766955549,1048 days 00:00:00,35,0,0.0,329.92871174898147,-23.068542464451728,57.87969628574105,-11.598686925988963,98 days 22:44:12.631578947,17 days 09:00:00,4862.882553605292,1.2130797579806962,0.8884355473946141,1.2892944254612408,0.38427569491794855,10.801457856705849,1.1179742121972271,0.43789630734800444,-0.03724196314183691,None,None,0.0016860415622123126,0.42488247367750276,170.2008893761855,0.3995986217315961,0.42152721851994573,0.0101324754448475,3854,3.1404005412395652,61 days 15:46:17.142857142
Most Avg Losing Trade Duration,BTC-USD,EMA,11,16,false,72,41.66666666666667,2.140861318769603,0.01868188894654904,13.918190801289443,7.691024572456867,0.5604566683964712,1.1209133367929425,7.800542846597094,2.165537752505569,0,0,3854,3855 days 00:00:00,1000.0,391769.1538047169,39076.91538047169,16849.363178946536,100.0,14245.683649673538,69.94992532080518,827 days 00:00:00,72,0,0.0,251.60065872879875,-23.262488855774325,43.0602355056868,-6.8975554161372425,58 days 02:24:00,9 days 23:25:42.857142857,5427.349358398848,1.3904550407065657,1.086498577598662,1.3353761985814565,0.5596569489556528,10.450491817568878,1.2002488451535704,0.438969764837626,-0.03582311196817754,None,None,0.0018817015863544086,0.47418879976131095,390.769153804716,0.47742511920387565,0.41043132797869136,1.319192420832778,3854,3.1359487649435476,30 days 00:39:59.999999999
Most Avg Winning Trade Duration,BTC-USD,EMA,17,43,false,37,51.35135135135135,2.672795687639794,0.009600415153087702,25.15838837586849,8.80474082043657,0.28801245459263103,0.5760249091852621,7.2459291897286,1.8990320224243709,0,0,3854,3855 days 00:00:00,1000.0,200853.6652928161,19985.366529281608,16849.363178946536,100.0,4160.979065392043,63.22379702420843,1050 days 00:00:00,37,0,0.0,333.27184629937364,-23.894138127564702,58.093710949710164,-9.606674340964382,99 days 22:44:12.631578947,15 days 16:00:00,5401.450413319353,1.2427575897282024,1.031448297857747,1.2965371885238786,0.39766881525305053,10.786468483325946,1.137351843616205,0.4416604338070307,-0.036484111862088386,None,None,0.0017275340093620872,0.435338570359246,199.85366529281515,0.4142899118173866,0.42158668340416267,0.18611999260918904,3854,3.0917641799557667,58 days 22:42:09.729729729
Mean Omega Ratio,BTC-USD,EMA,11,43,false,41,48.78048780487805,2.5705638580043932,0.010638297872340425,24.084608585380096,8.87257638068893,0.3191489361702128,0.6382978723404256,7.686577208100031,1.9713631139927346,0,0,3854,3855 days 00:00:00,1000.0,246519.59806089036,24551.959806089035,16849.363178946536,100.0,5936.738347628812,68.25620650428986,1049 days 00:00:00,41,0,0.0,351.74955764759017,-21.89321797709838,58.94200172730293,-9.112908692641646,92 days 21:36:00,14 days 06:51:25.714285714,5988.28287953391,1.2875006025268927,1.0028097485098821,1.3097503291580752,0.401248694445209,10.92923413132773,1.1320064337676674,0.44058295964125566,-0.036300937000722726,None,None,0.0017749485744640492,0.4472870407649404,245.5195980608911,0.43335739613836655,0.4181046873543552,0.4571446733824918,3854,3.05497618153813,52 days 15:13:10.243902438
Median Omega Ratio,BTC-USD,EMA,11,43,false,41,48.78048780487805,2.5705638580043932,0.010638297872340425,24.084608585380096,8.87257638068893,0.3191489361702128,0.6382978723404256,7.686577208100031,1.9713631139927346,0,0,3854,3855 days 00:00:00,1000.0,246519.59806089036,24551.959806089035,16849.363178946536,100.0,5936.738347628812,68.25620650428986,1049 days 00:00:00,41,0,0.0,351.74955764759017,-21.89321797709838,58.94200172730293,-9.112908692641646,92 days 21:36:00,14 days 06:51:25.714285714,5988.28287953391,1.2875006025268927,1.0028097485098821,1.3097503291580752,0.401248694445209,10.92923413132773,1.1320064337676674,0.44058295964125566,-0.036300937000722726,None,None,0.0017749485744640492,0.4472870407649404,245.5195980608911,0.43335739613836655,0.4181046873543552,0.4571446733824918,3854,3.05497618153813,52 days 15:13:10.243902438
Median Sharpe Ratio,BTC-USD,EMA,15,32,false,43,46.51162790697674,2.6455913155986113,0.011157239231966787,23.034512509201058,8.485729419488324,0.3347171769590036,0.6694343539180072,7.710046999706632,1.9794129071088749,0,0,3854,3855 days 00:00:00,1000.0,251127.30675699384,25012.730675699386,16849.363178946536,100.0,5923.767321261327,69.38310043185244,993 days 00:00:00,43,0,0.0,351.74955764759017,-21.893217977098388,59.56414859322767,-8.730388433430775,90 days 16:48:00,14 days 14:36:31.304347826,5816.914110627764,1.2931966698999777,0.9907830621828468,1.31205253295635,0.3996887948505376,11.055948730075722,1.1252518333490071,0.4411214953271029,-0.03615745397047825,None,None,0.0017778748385674115,0.4480244593189877,250.1273067569952,0.4350935957635098,0.4169493572055994,0.48449115910523355,3854,2.965823206920305,49 days 23:59:59.999999999
Median Expectancy,BTC-USD,EMA,8,30,false,56,42.857142857142854,2.415898749949454,0.014530358069538143,19.71714371569419,8.716364877079766,0.4359107420861443,0.8718214841722886,8.59491474892741,2.069319368511703,0,0,3854,3855 days 00:00:00,1000.0,324478.4365002017,32347.84365002017,16849.363178946536,100.0,9412.755907603343,59.17715717915743,784 days 00:00:00,56,0,0.0,386.61325532513007,-23.71789919211739,56.21142961111184,-7.653570705869045,74 days 23:00:00,11 days 09:45:00,5776.400651789318,1.3469777762359776,1.2316903122829588,1.3251459382204605,0.416786251958641,10.714276018306052,1.1479397109899718,0.44598649662415607,-0.03572205395709376,None,None,0.0018398566796230971,0.4636438832650205,323.4784365002001,0.45933614413910817,0.41425739141991935,0.9198258893510679,3854,2.812092651710192,38 days 15:25:42.857142857
Mean Sortino Ratio,BTC-USD,EMA,6,55,false,51,41.17647058823529,2.8982926155006528,0.013233004670472236,19.56211658254427,7.56685297906483,0.3969901401141671,0.7939802802283342,7.765967403033922,1.986335295117656,0,0,3854,3855 days 00:00:00,1000.0,256766.03684131647,25576.603684131645,16849.363178946536,100.0,6831.414191683291,58.758634869358794,1048 days 00:00:00,51,0,0.0,361.22000912620956,-15.700786562844513,56.6932765763413,-6.429695413113648,88 days 11:25:42.857142858,10 days 20:48:00,5015.020330221891,1.294279799572178,1.1759760687200744,1.3095241185768314,0.4265757728322573,10.733404017085133,1.1509274212891418,0.44598649662415607,-0.0368118495452016,None,None,0.0017860074359940907,0.45007387387051084,255.76603684131618,0.43717822223744873,0.41850609986249865,0.5179566973836668,3854,2.7612803321471597,42 days 19:45:52.941176470
Mean Avg Winning Trade [%],BTC-USD,EMA,12,30,false,46,45.65217391304348,2.2672876948948373,0.011935651271406332,22.911673842282852,8.862500473161539,0.35806953814218995,0.7161390762843799,8.203972470770715,2.031743720347498,0,0,3854,3855 days 00:00:00,1000.0,279227.5902641856,27822.75902641856,16849.363178946536,100.0,7641.859740666817,58.63543036903076,790 days 00:00:00,46,0,0.0,367.256929074612,-23.717899192117397,60.67072741308159,-8.80593115718809,83 days 08:00:00,15 days 19:12:00,6048.425875308383,1.3230333525639129,1.2014370087645505,1.3195561574970278,0.4324451424333182,10.95380466119115,1.1336085156086533,0.44004482629809494,-0.035722053957093804,None,None,0.0017969829917029593,0.45283971390914574,278.2275902641856,0.44507849917646003,0.4119266373711497,0.6512647232379324,3854,2.704863832006111,46 days 15:07:49.565217390
Median Profit Factor,BTC-USD,EMA,9,51,false,42,47.61904761904761,2.632287826142118,0.010897768552153606,22.18078349450935,8.171222506726597,0.3269330565646082,0.6538661131292164,7.251631344857753,1.8672416140229395,0,0,3854,3855 days 00:00:00,1000.0,181254.45634117347,18025.445634117346,16849.363178946536,100.0,4092.1995426978297,65.52089919876674,1050 days 00:00:00,42,0,0.0,351.8047953818202,-23.068542464451745,56.23909361865673,-8.7813166183519,94 days 06:00:00,13 days 14:10:54.545454545,4291.772770027939,1.2258905947622656,0.9708925786546295,1.2915541867937421,0.3739279177563331,10.776806998008706,1.1314711636413979,0.4443611839640315,-0.03692469067356429,None,None,0.001698871414789101,0.4281155965268535,180.25445634117338,0.4048292496858812,0.420296233919535,0.06979981633017075,3854,2.7046948919256453,51 days 23:59:59.999999999
Least Avg Losing Trade Duration,BTC-USD,EMA,7,30,false,61,44.26229508196721,2.362346659335611,0.01582771146860405,16.029630926008068,7.972002855078611,0.47483134405812144,0.9496626881162429,7.611371197352041,2.1264914296361765,0,0,3854,3855 days 00:00:00,1000.0,365283.497447453,36428.3497447453,16849.363178946536,100.0,11777.031387206232,61.34682205478915,823 days 00:00:00,61,0,0.0,226.71258569890202,-21.153881105393392,45.693776731655184,-7.527190743182291,67 days 07:06:39.999999999,10 days 00:42:21.176470588,5971.8606138926725,1.3771693603531396,1.219914526423482,1.3329969118562386,0.4928274250913467,10.422718290388612,1.157809449135454,0.4449025487256372,-0.03582311196817769,None,None,0.0018640070014135195,0.4697297643562069,364.2834974474522,0.47068014453073403,0.41049407225133705,1.1620015758377693,3854,2.6201404955670937,35 days 09:02:57.049180327
Mean Total Return [%],BTC-USD,EMA,10,38,false,45,44.44444444444444,2.400115893860627,0.01167618059159315,22.585472380855002,8.320306642422178,0.3502854177477945,0.700570835495589,7.911361627959069,1.993761936735051,0,0,3854,3855 days 00:00:00,1000.0,260759.8649166298,25975.98649166298,16849.363178946536,100.0,6567.483718218942,64.57073875890713,827 days 00:00:00,45,0,0.0,367.25692907461206,-23.71789919211738,61.35285111517711,-8.42843060660268,90 days 13:12:00,13 days 06:43:12,5772.44144259177,1.300960686261329,1.073954683582949,1.3145800506644152,0.4049815468280634,11.090289475692508,1.1343011851133338,0.43789630734800444,-0.0358627976989837,None,None,0.0017870435802222616,0.4503349822160099,259.75986491662894,0.4386290030011535,0.4165984727407642,0.5416598369794925,3854,2.6093613803666824,47 days 14:56:00
Mean Expectancy,BTC-USD,EMA,17,26,false,43,46.51162790697674,2.205482538647966,0.011157239231966787,23.91992372351808,8.81190780015402,0.3347171769590036,0.6694343539180072,8.00640934181067,2.0048124190059164,0,0,3854,3855 days 00:00:00,1000.0,257116.81489952595,25611.681489952593,16849.363178946536,100.0,7387.913089728755,61.74426758902708,1036 days 00:00:00,43,0,0.0,351.74955764759017,-23.7178991921174,62.429298312544915,-9.56648896259221,89 days 13:12:00,15 days 13:33:54.782608695,5956.2049976633925,1.301485130778928,1.1194659907431912,1.313209033026568,0.475684518980254,10.858249082578324,1.1313457599736112,0.4395070948469007,-0.036157453970478245,None,None,0.0017799394557919644,0.448544742859575,256.1168148995251,0.43730648616147616,0.41477514327817666,0.5200385449554954,3854,2.6004244309158198,49 days 23:26:30.697674418
Mean Total Fees Paid,BTC-USD,EMA,13,28,false,48,43.75,2.333664609347641,0.012454592631032694,21.616461275766795,8.361497270051624,0.37363777893098077,0.7472755578619615,8.07672657942506,1.9942976833760722,0,0,3854,3855 days 00:00:00,1000.0,252363.66059706567,25136.366059706565,16849.363178946536,100.0,6674.519035418366,60.8214186781799,756 days 00:00:00,48,0,0.0,357.662545496104,-23.7178991921174,60.34791661712738,-8.50800398973588,83 days 05:42:51.428571429,14 days 19:33:20,5236.742929105534,1.300498537863644,1.1315435544445311,1.3128529373696827,0.42497279852670894,10.810907688902196,1.1355006714038538,0.4395070948469007,-0.03595562535599063,None,None,0.0017734194557097304,0.44690170283885206,251.36366059706603,0.43555439109068894,0.41356930974006334,0.4918288479362074,3854,2.533625843207291,44 days 18:00:00
Mean Avg Losing Trade [%],BTC-USD,EMA,13,28,false,48,43.75,2.333664609347641,0.012454592631032694,21.616461275766795,8.361497270051624,0.37363777893098077,0.7472755578619615,8.07672657942506,1.9942976833760722,0,0,3854,3855 days 00:00:00,1000.0,252363.66059706567,25136.366059706565,16849.363178946536,100.0,6674.519035418366,60.8214186781799,756 days 00:00:00,48,0,0.0,357.662545496104,-23.7178991921174,60.34791661712738,-8.50800398973588,83 days 05:42:51.428571429,14 days 19:33:20,5236.742929105534,1.300498537863644,1.1315435544445311,1.3128529373696827,0.42497279852670894,10.810907688902196,1.1355006714038538,0.4395070948469007,-0.03595562535599063,None,None,0.0017734194557097304,0.44690170283885206,251.36366059706603,0.43555439109068894,0.41356930974006334,0.4918288479362074,3854,2.533625843207291,44 days 18:00:00
Least Max Drawdown [%],BTC-USD,EMA,4,41,false,68,39.705882352941174,2.4781003859485646,0.017644006227296314,15.654723290640154,7.785550356369205,0.5293201868188895,1.058640373637779,8.286361056799667,2.040101635656318,0,0,3854,3855 days 00:00:00,1000.0,282908.6628220232,28190.866282202318,16849.363178946536,100.0,10118.328848487256,54.81349745023135,756 days 00:00:00,68,0,0.0,386.6132553251302,-15.700786562844513,48.34711349674101,-5.874411723133576,67 days 08:53:20,7 days 20:29:16.097560975,4145.715629735634,1.3254452787116622,1.2890669660575065,1.319140195647457,0.45639725418364196,10.763081744019063,1.1597206996628282,0.4384328358208956,-0.035862797698983706,None,None,0.001800198731448371,0.4536500803249895,281.90866282202416,0.446316219455158,0.41191286049519443,0.6731116768512126,3854,2.4523081291102007,31 days 11:38:49.411764705
Least Win Rate [%],BTC-USD,EMA,6,78,false,42,38.095238095238095,2.446225603107456,0.010897768552153606,27.803514550563754,8.19407317754688,0.3269330565646082,0.6538661131292164,9.089887995254367,1.996600824884983,0,0,3854,3855 days 00:00:00,1000.0,276792.49713927624,27579.249713927624,16849.363178946536,100.0,8029.986718620916,65.19489107284372,827 days 00:00:00,42,0,0.0,404.13482732814083,-13.451918910389582,84.8716940519251,-7.3153651425816895,122 days 03:00:00,11 days 20:18:27.692307692,6566.488027125624,1.286491408325063,1.0783893833149558,1.3035261305481303,0.6021236152472812,11.20995867785639,1.1551312639255333,0.4635535307517084,-0.03876602577328888,None,None,0.0018234045205290815,0.45949793917332854,275.79249713927595,0.44425131706227616,0.4298558480988009,0.6368125857948268,3854,2.4421433919667996,53 days 20:34:17.142857141
Mean Worst Trade [%],BTC-USD,EMA,10,24,false,57,47.368421052631575,2.116551421640773,0.014789828749351324,16.698234508781493,8.304518912085104,0.4436948624805397,0.8873897249610794,7.408920864041606,2.038333138206342,0,0,3854,3855 days 00:00:00,1000.0,269818.32590837847,26881.832590837847,16849.363178946536,100.0,8888.825690680478,63.70717633577444,825 days 00:00:00,57,0,0.0,239.6071052702878,-21.153881105393403,45.01451869534534,-8.786421259125962,66 days 00:00:00,12 days 07:12:00,4716.110980848744,1.3196705047601007,1.0971209787513951,1.317140603800233,0.5161293795861714,10.434369768196193,1.1547380633656805,0.438969764837626,-0.035722053957093734,None,None,0.0017846236115321205,0.4497251501060944,268.8183259083781,0.44184404773385744,0.4101359392227394,0.59542128122842,3854,2.4079755885520724,37 days 17:41:03.157894736
Median Total Return [%],BTC-USD,EMA,6,47,false,53,41.509433962264154,2.458818597326537,0.013751946030098598,18.977803622390184,7.690397489272133,0.41255838090295793,0.8251167618059159,7.829451935547584,1.9830685448962293,0,0,3854,3855 days 00:00:00,1000.0,254091.75834489,25309.175834489,16849.363178946536,100.0,7806.973242247518,61.60043707342041,841 days 00:00:00,53,0,0.0,367.256929074612,-23.717899192117393,55.20237732442644,-6.729958359700068,84 days 09:49:05.454545454,9 days 20:54:11.612903225,4775.316195186605,1.2975415733690738,1.1190050859710154,1.3115617599540503,0.36515169329050673,10.948615802104412,1.1462295245622132,0.4421997755331089,-0.03595562535599078,None,None,0.001779412345397481,0.4484119110401652,253.09175834488923,0.4361949387476083,0.41591254534727456,0.502085008536886,3854,2.3857104149955166,40 days 19:28:18.113207546
Mean Sharpe Ratio,BTC-USD,EMA,7,48,false,49,40.816326530612244,2.502528304851556,0.012714063310845874,20.445928447038405,7.532115839763642,0.38142189932537623,0.7628437986507525,7.798524861740129,1.982668415455155,0,0,3854,3855 days 00:00:00,1000.0,254427.43807547443,25342.743807547446,16849.363178946536,100.0,7134.912279396795,63.60857818995234,1050 days 00:00:00,49,0,0.0,361.22000912620956,-23.717899192117393,60.42945612311033,-7.128918226114643,92 days 02:24:00,11 days 08:16:33.103448275,5171.98853215254,1.2932768970719157,1.0840097730760236,1.3102057746664935,0.40480421855475185,10.91677787623959,1.1432512835486535,0.44382022471910115,-0.03610875945070434,None,None,0.0017832600706430097,0.44938153780203843,253.4274380754738,0.4363188914830709,0.41818636495161393,0.5040772484038732,3854,2.359254964390358,44 days 07:20:48.979591836
Least Best Trade [%],BTC-USD,EMA,14,17,false,63,42.857142857142854,2.3459205940335277,0.01634665282823041,14.614800867732587,7.2683666131659574,0.4903995848469123,0.9807991696938246,7.167092278156354,1.9883725223000759,0,0,3854,3855 days 00:00:00,1000.0,226048.23729858847,22504.823729858846,16849.363178946536,100.0,6807.554485653014,71.09832259124708,824 days 00:00:00,63,0,0.0,198.12800121723973,-23.262488855774315,44.313305346596465,-7.65907749141532,65 days 08:53:20,10 days 16:00:00,3572.1942428347384,1.2911770456769112,0.9433552771867394,1.3090790396347343,0.5041395906495111,10.59787458162222,1.164744683982699,0.43575418994413406,-0.03572205395709369,None,None,0.001734273213962721,0.4370368499186057,225.048237298589,0.42525739521301764,0.40736003792506426,0.33564832634024233,3854,2.1879422625286873,34 days 02:39:59.999999999
Median Avg Losing Trade [%],BTC-USD,EMA,13,20,false,57,45.614035087719294,2.0833154658162507,0.014789828749351324,16.415012521508658,7.861306420320963,0.4436948624805397,0.8873897249610794,7.283256723347121,2.0153001150182104,0,0,3854,3855 days 00:00:00,1000.0,247981.9741871621,24698.19741871621,16849.363178946536,100.0,8199.408315396216,63.712537590528925,827 days 00:00:00,57,0,0.0,225.85504464600228,-21.153881105393392,46.31070903094244,-8.65879745414548,67 days 04:36:55.384615385,12 days 17:48:23.225806451,4333.017091002845,1.3061136406148748,1.0758062673753621,1.314532378699977,0.5174175326002681,10.57595713144054,1.1528819410118503,0.4362891207153502,-0.0355996171579762,None,None,0.0017605740794622263,0.443664668024481,246.98197418716163,0.43391168644340294,0.4088086166596672,0.4658237914639336,3854,2.1860418625407037,37 days 13:53:41.052631578
Median Total Fees Paid,BTC-USD,EMA,15,17,false,60,43.333333333333336,2.172558471907728,0.015568240788790867,15.225351834791123,7.291566544567493,0.467047223663726,0.934094447327452,7.110958303742611,1.9539866511710706,0,0,3854,3855 days 00:00:00,1000.0,203222.80287348366,20222.280287348367,16849.363178946536,100.0,6638.5298165190015,68.6998523130674,839 days 00:00:00,60,0,0.0,225.85504464600223,-23.262488855774325,45.67741549874489,-8.061520378820584,66 days 20:18:27.692307692,11 days 20:28:14.117647058,3370.3800478913945,1.269666458078799,0.9519032161945826,1.3038971758311866,0.5083154082500533,10.577220230485196,1.1541780485292332,0.4341517857142857,-0.035722053957093686,None,None,0.0017073680957789066,0.43025676013628444,202.22280287348377,0.41537444478990726,0.4078347409148189,0.20018068769603872,3854,2.007127171581135,35 days 16:23:59.999999999
Median Max Drawdown [%],BTC-USD,EMA,14,20,false,56,46.42857142857143,2.038414282623045,0.014530358069538143,15.77934138540257,7.556877436368887,0.4359107420861443,0.8718214841722886,6.878384412941442,1.8893460222512768,0,0,3854,3855 days 00:00:00,1000.0,178122.08327164466,17712.208327164466,16849.363178946536,100.0,6066.152962713084,65.08945942416646,839 days 00:00:00,56,0,0.0,214.36082171782505,-23.717899192117386,44.285678996133356,-8.926151210564113,67 days 07:23:04.615384615,12 days 22:24:00,3162.894344136513,1.2373863428659968,0.9731824872545451,1.2966459113463504,0.4099640537377356,10.938026603650131,1.1337339891515523,0.43575418994413406,-0.035955625355990714,None,None,0.001680182139782016,0.423405899225068,177.12208327164495,0.4032292605958634,0.4118108152184953,0.05120936257674499,3854,1.9410725703989793,38 days 04:17:08.571428571
Most Max Drawdown [%],BTC-USD,EMA,9,20,false,76,38.15789473684211,2.204900362324019,0.019719771665801765,12.558977489273078,6.7086083475579175,0.5915931499740529,1.1831862999481058,7.429805053332282,2.068039811692791,0,0,3854,3855 days 00:00:00,1000.0,291401.3868066257,29040.138680662567,16849.363178946536,100.0,10848.371954801674,74.23886673503151,955 days 00:00:00,76,0,0.0,209.84215328063763,-23.26248885577434,42.8286130870409,-6.118031709349624,60 days 11:35:10.344827586,8 days 15:19:08.936170212,3821.0708790345475,1.3330822827101279,0.95821589100746,1.3196237361406866,0.5430771842902743,10.487621119631768,1.2055124370394803,0.4346855228879791,-0.03559961715797623,None,None,0.0018054445336483608,0.4549720224793869,290.401386806624,0.4491153398604164,0.41074652398791206,0.7235155045472899,3854,1.868242005564314,28 days 10:06:18.947368420
Most Total Trades,BTC-USD,EMA,11,14,false,84,39.285714285714285,1.862387230679697,0.021795537104307212,10.682313066910543,6.4932092688901815,0.6538661131292164,1.3077322262584328,6.984802524290236,1.891533907915849,0,0,3854,3855 days 00:00:00,1000.0,168697.27935425742,16769.727935425744,16849.363178946536,100.0,8246.26527716971,72.6278516723362,872 days 00:00:00,84,0,0.0,235.55219967094146,-23.262488855774336,38.15877881105417,-7.096576532241213,51 days 21:05:27.272727272,8 days 16:56:28.235294117,1996.3961827887774,1.2303537635123767,0.8606245448397599,1.2908253455371315,0.4969763149257895,10.396678476185896,1.1964018047706466,0.43148904567396956,-0.03599505759839566,None,None,0.001662067943474531,0.4188411217555818,167.69727935425763,0.39825143972863053,0.4096995376532422,-0.004726305835718287,3854,1.4177236547619958,25 days 15:59:59.999999998
Least Avg Winning Trade [%],BTC-USD,EMA,11,14,false,84,39.285714285714285,1.862387230679697,0.021795537104307212,10.682313066910543,6.4932092688901815,0.6538661131292164,1.3077322262584328,6.984802524290236,1.891533907915849,0,0,3854,3855 days 00:00:00,1000.0,168697.27935425742,16769.727935425744,16849.363178946536,100.0,8246.26527716971,72.6278516723362,872 days 00:00:00,84,0,0.0,235.55219967094146,-23.262488855774336,38.15877881105417,-7.096576532241213,51 days 21:05:27.272727272,8 days 16:56:28.235294117,1996.3961827887774,1.2303537635123767,0.8606245448397599,1.2908253455371315,0.4969763149257895,10.396678476185896,1.1964018047706466,0.43148904567396956,-0.03599505759839566,None,None,0.001662067943474531,0.4188411217555818,167.69727935425763,0.39825143972863053,0.4096995376532422,-0.004726305835718287,3854,1.4177236547619958,25 days 15:59:59.999999998
Least Total Return [%],BTC-USD,EMA,12,13,false,84,38.095238095238095,1.80114557427318,0.021795537104307212,10.5144386980474,6.1974956407720905,0.6538661131292164,1.3077322262584328,6.875035163227672,1.856084259880121,0,0,3854,3855 days 00:00:00,1000.0,150399.7992000074,14939.97992000074,16849.363178946536,100.0,7713.976952376735,73.26244384577785,955 days 00:00:00,84,0,0.0,235.55219967094146,-23.26248885577433,39.03796079695781,-7.038497978205157,52 days 20:15:00,8 days 23:04:36.923076923,1778.5690380953265,1.2084304335578586,0.8291886695496505,1.2848509016169747,0.49761821962301145,10.406444287452919,1.1941034649825288,0.4309576837416481,-0.035995057598395656,None,None,0.0016321191428406376,0.41129402399584064,149.3997992000066,0.3877968285644642,0.40961599505877516,-0.11332079667744306,3854,1.2642888319318535,25 days 16:17:08.571428570
Least Profit Factor,BTC-USD,EMA,12,13,false,84,38.095238095238095,1.80114557427318,0.021795537104307212,10.5144386980474,6.1974956407720905,0.6538661131292164,1.3077322262584328,6.875035163227672,1.856084259880121,0,0,3854,3855 days 00:00:00,1000.0,150399.7992000074,14939.97992000074,16849.363178946536,100.0,7713.976952376735,73.26244384577785,955 days 00:00:00,84,0,0.0,235.55219967094146,-23.26248885577433,39.03796079695781,-7.038497978205157,52 days 20:15:00,8 days 23:04:36.923076923,1778.5690380953265,1.2084304335578586,0.8291886695496505,1.2848509016169747,0.49761821962301145,10.406444287452919,1.1941034649825288,0.4309576837416481,-0.035995057598395656,None,None,0.0016321191428406376,0.41129402399584064,149.3997992000066,0.3877968285644642,0.40961599505877516,-0.11332079667744306,3854,1.2642888319318535,25 days 16:17:08.571428570
