Metric Type,Ticker,Use SMA,Short Window,Long Window,Signal Entry,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy per Trade,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Beats BNH [%],Total Period,Maturity,Score,Avg Trade Duration
Most Avg Winning Trade [%],VLO,false,30,120,false,54,38.88888888888889,2.052788588220724,0.004954128440366972,12.265761545249626,4.744538449995252,0.0014059013141581949,0.20807339449541284,0.0172444502756175,0.6661754126189016,0,0,10900,10901 days 00:00:00,1000.0,18314.416549988102,1731.4416549988102,2323.7141156447124,100.0,656.1961542769101,57.0932374595872,2005 days 00:00:00,54,0,0.0,439.96296280341875,-21.109308150453824,45.23286085853172,-8.713301654111712,231 days 12:34:17.142857144,41 days 05:05:27.272727272,320.637343518298,0.4582983393617919,0.17910281186404434,1.091427145630034,-0.26749645648496184,17.510051899944152,1.0778119047708654,0.3737870195337114,-0.02812748870990031,None,None,0.0004238814560302055,0.10681812691961179,17.314416549988316,0.06952803053577616,0.28050644003311703,-0.25488181039928687,15787.698412698412,0.8949857049755171,0.8818119883942175,115 days 05:20:00.000000001
Median Max Drawdown [%],VLO,false,27,105,false,59,40.67796610169492,1.8386348456310806,0.005412844036697248,11.342729771458973,5.014284665960866,0.0015360773617654352,0.2273394495412844,0.017423310422560956,0.6589394398666724,0,0,10900,10901 days 00:00:00,1000.0,17251.51785654633,1625.151785654633,2323.7141156447124,100.0,781.9676384964998,58.481786069186334,1403 days 00:00:00,59,0,0.0,464.89364160840256,-21.268454367531124,40.20520257124032,-8.448680148391094,203 days 16:00:00,37 days 10:58:17.142857142,275.4494551957007,0.45252188091692563,0.1710809405794,1.0904321837963586,-0.24439001097966165,17.61513286637782,1.0822973896140937,0.37085010060362167,-0.028169043887727743,None,None,0.00041779970318415224,0.10528552520240636,16.251517856546293,0.06805081703106453,0.2800110989960148,-0.3006231813487366,15787.698412698412,0.9355030862284629,0.8630347929810369,105 days 01:37:37.627118643
Median Best Trade [%],VLO,false,25,120,false,56,41.07142857142857,1.9303545914782065,0.005137614678899082,11.384564920230604,4.823079630968942,0.0014579717332010912,0.21577981651376146,0.016598373848488956,0.6583594395008485,0,0,10900,10901 days 00:00:00,1000.0,17351.959259179905,1635.1959259179903,2323.7141156447124,100.0,744.4232138177674,56.65055718862364,1802 days 00:00:00,56,0,0.0,435.7318555416528,-22.751412193843475,39.62889027267058,-8.300873961773013,209 days 12:31:18.260869564,42 days 05:05:27.272727272,291.9992724853553,0.4530683721929225,0.17698861756255055,1.0904444021707231,-0.2705679995102193,17.583304284400022,1.0782874206600412,0.37274902405238636,-0.02816904388772773,None,None,0.0004186080292016433,0.10548922335881411,16.351959259179644,0.06819416102568487,0.28021443948952623,-0.29630073040878063,15787.698412698412,0.911408830878605,0.8483419237511824,110 days 22:17:08.571428570
Most Win Rate [%],VLO,false,36,91,false,54,46.2962962962963,1.8038650666149798,0.004954128440366972,11.63156315178528,5.356218065843286,0.0014059013141581949,0.20807339449541284,0.01635282992080896,0.6415531553001066,0,0,10900,10901 days 00:00:00,1000.0,15400.403903445293,1440.0403903445292,2323.7141156447124,100.0,683.3623542558831,57.54516004478246,1694 days 00:00:00,54,0,0.0,437.22668477733396,-22.05313422849016,36.31094226251119,-9.643763667806022,198 days 23:02:24,41 days 08:16:33.103448276,266.674146360098,0.4412920156259963,0.1666140485009507,1.0882843226050074,-0.2578161244085548,17.670124639408776,1.077168037389437,0.36878453038674036,-0.028081708811860177,None,None,0.0004073470332755874,0.10265145238544802,14.400403903445362,0.06525198529577958,0.279953041738406,-0.3802850442533929,15787.698412698412,0.8949857049755171,0.8424500248002962,114 days 07:33:19.999999999
Mean Total Fees Paid,VLO,false,30,109,false,55,45.45454545454545,1.8478801196389434,0.005045871559633028,11.329737912485832,5.217230573073232,0.0014319365236796428,0.21192660550458717,0.016223465520606415,0.6356858639329885,0,0,10900,10901 days 00:00:00,1000.0,14902.30173469702,1390.2301734697019,2323.7141156447124,100.0,656.689661776527,56.35431442472346,1738 days 00:00:00,55,0,0.0,437.2266847773341,-19.991510206980845,36.1744960123196,-9.374227170708972,199 days 14:24:00,40 days 09:36:00,252.76912244903667,0.4378974446293838,0.16799525543753263,1.0873888015868738,-0.2728512875034786,17.56650625867747,1.0778050358779785,0.3710225128914602,-0.028231782946810523,None,None,0.0004048543433689166,0.10202329452896698,13.90230173469701,0.0644426515257055,0.2803968268779978,-0.4017206488053786,15787.698412698412,0.9032345955271057,0.8406012790258139,112 days 18:19:38.181818181
Mean Avg Losing Trade [%],VLO,false,30,110,false,55,43.63636363636363,1.8595724259061197,0.005045871559633028,11.378982238723147,5.030310807319129,0.0014319365236796428,0.21192660550458717,0.016293980269929623,0.6412990266198899,0,0,10900,10901 days 00:00:00,1000.0,15474.589561012875,1447.4589561012874,2323.7141156447124,100.0,681.0514813029719,56.35431442472347,1799 days 00:00:00,55,0,0.0,437.22668477733384,-19.991510206980845,37.65252082425707,-8.961821827496658,202 days 10:00:00,43 days 06:11:36.774193548,263.17435565477956,0.4417247997076406,0.17044776198310638,1.0882130678496358,-0.27454698631960883,17.6223977172652,1.077515380064001,0.3710225128914602,-0.028127488709900613,None,None,0.00040805636088996625,0.10283020294427149,14.474589561012762,0.06537033156845173,0.28016576946124777,-0.3770924975856201,15787.698412698412,0.9032345955271057,0.8228149366988736,112 days 17:01:05.454545454
Mean Best Trade [%],VLO,false,41,81,false,56,44.642857142857146,1.830562032610679,0.005137614678899082,11.11570909086241,5.118672449282745,0.0014579717332010912,0.21577981651376146,0.016206389648963794,0.6262984713512417,0,0,10900,10901 days 00:00:00,1000.0,14142.166897129433,1314.2166897129434,2323.7141156447124,100.0,577.236977041568,58.303440466985876,2036 days 00:00:00,56,0,0.0,432.23145400176526,-21.767558192772952,36.90542421018909,-9.682448263433303,199 days 19:12:00,37 days 17:48:23.225806451,234.6815517344541,0.43268605741092775,0.15909059451298888,1.0868067332889735,-0.3455843369298646,18.31823944151023,1.075323771894312,0.3682691100790762,-0.027932896290808636,None,None,0.00040084787908371106,0.10101366552909519,13.142166897129396,0.06315514314020021,0.28096575611906166,-0.4344327123268711,15787.698412698412,0.911408830878605,0.8122121448364367,110 days 02:08:34.285714286
Mean Max Drawdown [%],VLO,false,28,94,false,65,38.46153846153847,1.7728350122964467,0.005963302752293578,10.29791529163679,4.742086614310551,0.0016922886188941236,0.25045871559633026,0.0174270448463727,0.6405455996590831,0,0,10900,10901 days 00:00:00,1000.0,15688.545947577015,1468.8545947577015,2323.7141156447124,100.0,761.8024207442925,58.89831777970086,1837 days 00:00:00,65,0,0.0,464.8936416084025,-21.268454367531113,39.99649767223004,-8.263698696233995,197 days 04:48:00,31 days 18:36:00,225.9776299627233,0.4427383404348218,0.16394139628276935,1.0887630638236876,-0.35632447564841885,18.262980179927915,1.075162714950813,0.37309484821765965,-0.028089731689105217,None,None,0.0004111620904143056,0.10361284678440502,14.688545947577042,0.06570857132862651,0.28165186752323135,-0.36788497996873026,15787.698412698412,0.9819195277729871,0.8029654460985667,95 days 09:36:00.000000001
Median Profit Factor,VLO,false,45,66,false,61,40.98360655737705,1.7008705603634178,0.005596330275229358,10.956738955392211,5.045468297749223,0.0015881477808083314,0.23504587155963302,0.017400920656902335,0.642472264315826,0,0,10900,10901 days 00:00:00,1000.0,15632.075935681683,1463.2075935681682,2323.7141156447124,100.0,757.694406888553,56.23276650580489,1717 days 00:00:00,61,0,0.0,459.6412063459841,-21.231587262483277,40.6392643351032,-9.65612589162931,191 days 23:02:24,37 days 15:19:59.999999999,239.87009730625704,0.4428530967764114,0.17147713348381202,1.0890509375032436,-0.3238593934251611,18.43800031732532,1.0786436247899092,0.36758248651361186,-0.027866519179484,None,None,0.0004090988912605037,0.10309292059764694,14.632075935681554,0.06561973869706317,0.2801659287202117,-0.37031514173067603,15787.698412698412,0.9512269283593487,0.7964240594424034,100 days 21:14:45.245901638
Most Best Trade [%],VLO,false,19,109,false,74,39.189189189189186,1.656824288435352,0.006788990825688073,8.955949339043931,4.783984727063437,0.001926605504587156,0.2851376146788991,0.01725458129540574,0.6176144623287254,0,0,10900,10901 days 00:00:00,1000.0,13236.830172211847,1223.6830172211846,2323.7141156447124,100.0,749.8983056445281,57.09823525829513,1805 days 00:00:00,74,0,0.0,483.7364153710489,-23.771912480870515,35.13364668194414,-7.914122281936206,174 days 21:31:02.068965518,25 days 22:56:00,165.36256989475476,0.4257297754149119,0.15821387059786635,1.0846895358893742,-0.2676748010626501,17.40957735499979,1.078846090578192,0.3744798890429958,-0.028340044033329778,None,None,0.0003954483916732643,0.09965299470166261,12.236830172211878,0.0615304185675809,0.2817101471736397,-0.47339347427354467,15787.698412698412,1.0476955001527624,0.7788465097615168,84 days 07:47:01.621621622
