Metric Type,Ticker,Strategy Type,Short Window,Long Window,Signal Entry,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Total Period
Most Best Trade [%],MSTY_MSTR,EMA,2,4,false,199,0.0,28.78787878787879,0.35718166575198396,0.0001,-7.752240143784672,0.018003664236592533,0 days 05:29:59.999999999,1.673040732642697,51.14533401325854,102.03365629780724,0.005114533401325855,0,0,1961,81 days 18:00:00,1000.0,255.9576907683089,-74.40423092316911,-75.7683386520246,100.0,199.88742292008325,76.23851333418098,81 days 17:00:00,198,1,1.0991108739297033,9.873478248764647,-15.308447647117898,1.3771352226894147,-1.478349944067899,0 days 11:50:31.578947368,0 days 02:56:10.212765957,-3.763340505583943,-7.118944719564953,-1.308684900112115,0.6364376652358535,-8.158261461456453,112.24371006526715,0.7958237935731801,0.414563806777217,-0.0075015012879141585,None,None,-0.0006552958010046929,-3.9632290044763825,-0.7440423092316917,-0.9850156571016945,0.6700075689742883,118.34738756613756
Least Best Trade [%],MSTY_MSTR,EMA,36,58,false,12,-0.0,0.0,0.0,NaN,-4.697891211069842,0.38875833971388846,1 days 15:43:38.181818181,0.09294670736903873,3.0841407445181033,5.911269760326364,NaN,0,0,1961,81 days 18:00:00,1000.0,536.8723488521613,-46.31276511478387,-75.7683386520246,100.0,16.53712796728469,48.13899279586668,81 days 10:00:00,11,1,5.5438971983084,-4.366437106090331,-9.606126293039864,NaN,-5.581094858718295,NaT,1 days 15:43:38.181818181,-42.60650439510428,-4.426122645484263,-1.9480704406586458,0.6346086928224393,-11.364160089179897,173.80223299330132,0.5997989333005345,0.1373913043478261,-0.0036739967392263847,None,None,-0.0002963364918898424,-1.792243102949767,-0.4631276511478386,-0.8530028605877991,0.4873260596352987,118.34738756613756
Mean Best Trade [%],MSTY_MSTR,EMA,49,63,false,12,-0.0,0.0,0.0,NaN,-5.0680532311086655,0.36237390845089146,1 days 07:49:05.454545454,0.09294670736903873,3.0841407445181033,5.911269760326364,NaN,0,0,1961,81 days 18:00:00,1000.0,516.881303621403,-48.311869637859694,-75.7683386520246,100.0,16.582963928104462,49.163831087428356,81 days 10:00:00,11,1,2.0821029742284054,-1.4300773861071578,-8.398457994658303,NaN,-5.846685561785671,NaT,1 days 07:49:05.454545454,-44.1091635775296,-4.837846965184503,-1.927185787975033,0.5601475270665223,-12.212747002291936,190.37455428463898,0.5509647807211693,0.10286677908937605,-0.00261599037877438,None,None,-0.00031654911222294416,-1.9144890307243663,-0.4831186963785986,-0.8692301901605823,0.4762630818457711,118.34738756613756
Median Best Trade [%],MSTY_MSTR,EMA,42,86,false,11,-0.0,0.0,0.0,NaN,-5.027085798613252,0.3731347779951805,1 days 01:16:21.818181818,0.09294670736903873,2.827129015808261,5.654258031616522,NaN,0,0,1961,81 days 18:00:00,1000.0,525.0346356996225,-47.49653643003774,-75.7683386520246,100.0,15.93562298580349,48.101239976258036,81 days 10:00:00,11,0,0.0,-1.5037704678227353,-10.13269482323724,NaN,-5.668421843137392,NaT,1 days 01:16:21.818181818,-43.178669481852495,-4.8344904953195815,-1.9618557354275257,0.505367237278206,-13.030714202679732,208.18072802078004,0.5088767319815266,0.07920792079207921,-0.001807085293435159,None,None,-0.00030939005059186765,-1.8711910259796156,-0.47496536430037817,-0.8627665077192996,0.46581511547921967,118.34738756613756
Most Worst Trade [%],MSTY_MSTR,EMA,12,88,false,18,-0.0,0.0,0.0,NaN,-5.596829862123789,0.3156590385822683,1 days 00:24:42.352941176,0.1436449113885144,4.626211116777155,8.995410504844466,NaN,0,0,1961,81 days 18:00:00,1000.0,481.486222818492,-51.85137771815079,-75.7683386520246,100.0,23.6993480437904,52.644998414944745,81 days 10:00:00,17,1,0.9582460876986261,-0.789365343024166,-6.682116910286632,NaN,-4.203185867595099,NaT,1 days 00:24:42.352941176,-30.557177839365096,-5.343129361370629,-1.8268326166369722,0.552209998141124,-11.959451961021687,184.3494280866605,0.572757346909166,0.12306811677160846,-0.003365536232194421,None,None,-0.00035238858484637985,-2.1312461611509055,-0.5185137771815072,-0.8949144690977382,0.4800473614825895,118.34738756613756
Least Worst Trade [%],MSTY_MSTR,EMA,8,53,false,25,-0.0,0.0,0.0,NaN,-5.80093845385862,0.19919672002897165,1 days 02:25:00,0.20279281607790267,6.425293217746048,12.593574706782254,NaN,0,0,1961,81 days 18:00:00,1000.0,393.2446588950306,-60.67553411049694,-75.7683386520246,100.0,31.38480557612915,62.01319711930617,81 days 10:00:00,24,1,5.673266633004346,-0.16281188716480377,-15.840867423623395,NaN,-3.8206069606753204,NaT,1 days 02:25:00,-25.517858655748896,-5.525978656347366,-1.5875707096517067,0.5921124985651071,-11.337764429420472,174.40150741901394,0.5973679349429039,0.20812807881773399,-0.00434649560504587,None,None,-0.0004453590862719946,-2.6935317537730232,-0.606755341104968,-0.9436984577397475,0.5866229620222142,118.34738756613756
Mean Worst Trade [%],MSTY_MSTR,EMA,85,89,false,6,-0.0,0.0,0.0,NaN,-3.9432057091215107,0.5290128868800564,1 days 00:40:00,0.05069820401947567,1.5420703722590516,3.0841407445181033,NaN,0,0,1961,81 days 18:00:00,1000.0,643.140889123887,-35.6859110876113,-75.7683386520246,100.0,9.832508182293168,36.445639645991065,81 days 10:00:00,6,0,0.0,-3.7517399573127683,-10.560077054921459,NaN,-7.068764105335097,NaT,1 days 00:40:00,-59.476518479352194,-3.8193795724078656,-2.3614515345263998,0.47204457545180534,-16.61152419498866,322.6056540820358,0.4720445754518055,0.04084880636604774,0.0,None,None,-0.0002107835577930017,-1.2748189575320743,-0.3568591108761139,-0.7434981922659566,0.4017000205913702,118.34738756613756
Median Worst Trade [%],MSTY_MSTR,EMA,33,76,false,13,-0.0,0.0,0.0,NaN,-5.3062672245563265,0.34100004962780855,1 days 06:30:00,0.10139640803895134,3.341152473227945,6.425293217746048,NaN,0,0,1961,81 days 18:00:00,1000.0,500.686685885324,-49.9313314114676,-75.7683386520246,100.0,17.314865171518534,50.75659971136153,81 days 10:00:00,12,1,1.7447037532046465,-1.5674959231114973,-9.557849045502959,NaN,-5.6089316490725345,NaT,1 days 06:30:00,-41.754834822323396,-5.06906901369479,-1.8804193785488093,0.5518844246062095,-12.112983857160206,188.00431579675387,0.5348158341544716,0.10972850678733032,-0.00283235538297801,None,None,-0.0003326565308892387,-2.0119066988181156,-0.4993133141146765,-0.8814527032259737,0.47766761121118306,118.34738756613756
Most Avg Winning Trade [%],MSTY_MSTR,EMA,5,29,false,39,-0.0,10.526315789473683,0.11780919391636546,0.0001,-5.098592150783016,0.27122516966128757,0 days 21:59:59.999999999,0.32108862545667927,10.023457419683835,19.78990311065783,0.0010023457419683836,0,0,1961,81 days 18:00:00,1000.0,447.81941853824674,-55.21805814617533,-75.7683386520246,100.0,52.983239821624295,55.96794574192412,81 days 10:00:00,38,1,1.9229865334181682,4.251016712232724,-15.38074708518404,2.237924176192562,-2.5596006685954658,1 days 16:00:00,0 days 19:52:56.470588235,-14.5816728419782,-4.759391896950335,-1.7372724823193015,0.691943527516898,-10.253862057196566,160.06120099950624,0.6779491640390294,0.29334212261041526,-0.004820331228199374,None,None,-0.00037990910802076236,-2.297690285309571,-0.5521805814617552,-0.9159571542484538,0.5810134458964633,118.34738756613756
Least Avg Winning Trade [%],MSTY_MSTR,EMA,14,36,false,26,-0.0,4.0,0.000286282812181318,0.0001,-5.880651619641862,0.1851203172398775,1 days 04:36:00,0.2112425167478153,6.68230494645589,13.107598164201939,0.000668230494645589,0,0,1961,81 days 18:00:00,1000.0,382.57920235976667,-61.74207976402333,-75.7683386520246,100.0,32.0032341245658,63.25212124862484,81 days 10:00:00,25,1,7.952239490410079,0.03684200055132384,-15.84086742362337,0.03684200055132384,-3.958449153313611,2 days 17:00:00,1 days 03:05:00,-25.014921485225752,-5.566906955914586,-1.5593052927075621,0.6258524197560729,-10.661075849157283,159.9784953207324,0.6242599199602563,0.25047801147227533,-0.004917725017155915,None,None,-0.0004581482255427509,-2.770880468082557,-0.6174207976402344,-0.9482738836636432,0.5990319554373329,118.34738756613756
Mean Avg Winning Trade [%],MSTY_MSTR,EMA,2,3,false,238,0.0,26.160337552742618,0.30164846849707244,0.0001,-9.449827286358534,-0.06807413881749533,0 days 04:29:37.215189871,2.002579058769289,61.16879143294238,122.08057113717491,0.006116879143294238,0,0,1961,81 days 18:00:00,1000.0,190.73796944606477,-80.92620305539351,-75.7683386520246,100.0,207.07339051151604,81.13262296023304,81 days 17:00:00,237,1,0.8190501159006374,7.912903390061382,-15.308447647117893,1.2824698406822908,-1.3637349470809548,0 days 10:08:42.580645161,0 days 02:29:29.142857142,-3.4180636315182937,-8.765483450211692,-1.2317945953223015,0.572666905490429,-8.227940789615769,112.48830084645506,0.7878067411283928,0.3905031892274982,-0.00802735303052094,None,None,-0.0008052252754858451,-4.870002466138391,-0.809262030553935,-0.9939480125488561,0.6686509544564058,118.34738756613756
