Metric Type,Ticker,Strategy Type,Short Window,Long Window,Signal Window,Signal Entry,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Total Period
Most Sharpe Ratio,STRK,SMA,36,89,0,false,0,1,NaN,100.0,inf,NaN,6.52982209480378,1.8072410737476323,0 days 19:00:00,0.055232876712328766,1.68,3.36,NaN,0,300,12 days 13:00:00,1000.0,1037.584838316367,3.758483831636704,-4.655962083529608,100.0,2.037624460779086,3.2124115056198685,8 days 14:00:00,1,0.0,3.7622423154683378,3.7622423154683378,3.7622423154683378,NaN,0 days 19:00:00,NaT,37.58483831636701,4.082625512360006,59.96772066170292,1.6235678418219297,1.7762359699780916,73.80845238562696,1.08237856121462,0.04152249134948097,0.0,None,None,0.00012678088577477493,0.7667707971658387,0.03758483831636705,1.0987606314967713,0.22603317263390388,18.10515873015873
Most Calmar Ratio,STRK,SMA,36,89,0,false,0,1,NaN,100.0,inf,NaN,6.52982209480378,1.8072410737476323,0 days 19:00:00,0.055232876712328766,1.68,3.36,NaN,0,300,12 days 13:00:00,1000.0,1037.584838316367,3.758483831636704,-4.655962083529608,100.0,2.037624460779086,3.2124115056198685,8 days 14:00:00,1,0.0,3.7622423154683378,3.7622423154683378,3.7622423154683378,NaN,0 days 19:00:00,NaT,37.58483831636701,4.082625512360006,59.96772066170292,1.6235678418219297,1.7762359699780916,73.80845238562696,1.08237856121462,0.04152249134948097,0.0,None,None,0.00012678088577477493,0.7667707971658387,0.03758483831636705,1.0987606314967713,0.22603317263390388,18.10515873015873
Most Omega Ratio,STRK,SMA,36,89,0,false,0,1,NaN,100.0,inf,NaN,6.52982209480378,1.8072410737476323,0 days 19:00:00,0.055232876712328766,1.68,3.36,NaN,0,300,12 days 13:00:00,1000.0,1037.584838316367,3.758483831636704,-4.655962083529608,100.0,2.037624460779086,3.2124115056198685,8 days 14:00:00,1,0.0,3.7622423154683378,3.7622423154683378,3.7622423154683378,NaN,0 days 19:00:00,NaT,37.58483831636701,4.082625512360006,59.96772066170292,1.6235678418219297,1.7762359699780916,73.80845238562696,1.08237856121462,0.04152249134948097,0.0,None,None,0.00012678088577477493,0.7667707971658387,0.03758483831636705,1.0987606314967713,0.22603317263390388,18.10515873015873
Most Sortino Ratio,STRK,SMA,36,89,0,false,0,1,NaN,100.0,inf,NaN,6.52982209480378,1.8072410737476323,0 days 19:00:00,0.055232876712328766,1.68,3.36,NaN,0,300,12 days 13:00:00,1000.0,1037.584838316367,3.758483831636704,-4.655962083529608,100.0,2.037624460779086,3.2124115056198685,8 days 14:00:00,1,0.0,3.7622423154683378,3.7622423154683378,3.7622423154683378,NaN,0 days 19:00:00,NaT,37.58483831636701,4.082625512360006,59.96772066170292,1.6235678418219297,1.7762359699780916,73.80845238562696,1.08237856121462,0.04152249134948097,0.0,None,None,0.00012678088577477493,0.7667707971658387,0.03758483831636705,1.0987606314967713,0.22603317263390388,18.10515873015873
Most Avg Losing Trade Duration,STRK,SMA,35,89,0,false,0,1,NaN,100.0,inf,NaN,5.083512462659662,1.6221288569480452,0 days 18:00:00,0.055232876712328766,1.68,3.36,NaN,0,300,12 days 13:00:00,1000.0,1028.9660836901971,2.896608369019714,-4.655962083529608,100.0,2.0289970787709084,3.2124115056198685,8 days 14:00:00,1,0.0,2.899504977388731,2.899504977388731,2.899504977388731,NaN,0 days 18:00:00,NaT,28.966083690197117,3.2173601683410347,40.33299874855857,1.479065637548522,1.7981800512895008,76.65117424574667,1.0756841000352886,0.03793103448275863,0.0,None,None,0.00009898909532111729,0.5986860485021174,0.028966083690197264,0.7749036667749787,0.22394719061751311,18.10515873015873
Least Max Drawdown [%],STRK,SMA,35,85,0,false,0,2,0.03773358693181762,50.0,3.6530036228393574,1.31842059895857,4.496453467579549,1.5584938741304821,0 days 13:00:00,0.11046575342465753,3.36,6.72,4.429893212500795,0,300,12 days 13:00:00,1000.0,1026.003263018351,2.600326301835082,-4.655962083529608,100.0,4.097642775380487,3.212411505619857,8 days 14:00:00,2,0.0,3.5840510433954003,-0.94720984547826,3.5840510433954003,-0.94720984547826,0 days 21:00:00,0 days 05:00:00,13.001631509175393,2.8715996597269253,34.58059962073917,1.369524677086809,1.6754155739966299,72.41540391727578,1.1869213868085677,0.05244755244755245,0.0,None,None,0.00008951868381805145,0.5414089997315752,0.02600326301835132,0.6749888937902697,0.22690691922593242,18.10515873015873
Median Total Trades,STRK,SMA,80,86,0,false,0,4,0.02874303239967543,75.0,2.250509726923606,0.6723994232390382,3.252748549961209,1.5603315054248816,0 days 19:30:00,0.22093150684931506,6.72,13.44,4.518524124166337,0,300,12 days 13:00:00,1000.0,1026.0888224346531,2.6088822434653136,-4.655962083529608,100.0,8.297418372749265,4.881963150218536,4 days 15:00:00,4,0.0,4.332327160449332,-1.994687974389616,1.561428555781923,-1.994687974389616,0 days 19:40:00,0 days 19:00:00,6.522205608663305,2.030120680898111,22.85965837595288,1.1241284547983117,1.2318259684883752,17.46414605352351,1.2394236809314716,0.14885496183206104,-0.006822963880732946,None,None,0.000095115462955728,0.575258319956243,0.02608882243465316,0.6777977018639045,0.3410257832204105,18.10515873015873
Least Avg Losing Trade Duration,STRK,SMA,35,88,0,false,0,3,0.027200144143318013,33.33333333333333,6.782173209286459,0.7264473255718865,3.84367075358874,1.4656823972377033,0 days 06:59:59.999999999,0.1656986301369863,5.04,10.08,3.6612945208823082,0,300,12 days 13:00:00,1000.0,1021.6819958450592,2.168199584505919,-4.655962083529608,100.0,6.11978454910682,3.2124115056198708,8 days 14:00:00,3,0.0,2.5457228116092816,-0.18811026417730503,2.5457228116092816,-0.18319041744681067,0 days 19:00:00,0 days 01:00:00,7.2273319483531075,2.4430148813015604,26.985267010933168,1.327585931245033,1.7984335665424076,75.67651783281848,1.568965191471403,0.03793103448275863,0.0,None,None,0.00007541233398140173,0.45609379591951765,0.0216819958450587,0.5387971953400863,0.22468506948463826,18.10515873015873
Least Max Drawdown Duration,STRK,SMA,7,21,0,false,0,8,0.020920042091567812,75.0,1.6601710926518254,0.39496681963252844,2.7317769229312816,1.63900328927308,0 days 17:30:00,0.4418630136986301,13.44,26.88,5.308354055861182,0,300,12 days 13:00:00,1000.0,1029.7517508610617,2.9751750861061623,-4.655962083529608,100.0,16.714520656490514,6.820746981596774,10 days 04:00:00,8,0.0,5.620093004032823,-3.5381509942746825,1.2313218705704385,-2.114098333181202,0 days 19:30:00,0 days 11:30:00,3.718968857632679,1.8956202820651544,19.751887487008783,1.0892429496642442,-0.1396293483211119,14.06809003847923,1.0601964710065308,0.331858407079646,-0.00794576137664647,None,None,0.00011290163936039894,0.6828291148516928,0.029751750861060078,0.8023337000420967,0.4335177116993888,18.10515873015873
Mean Total Trades,STRK,SMA,82,85,0,false,0,5,0.013782741522483658,60.0,1.7742579853448561,0.4884302611299852,2.874261201233355,1.496195801422293,0 days 15:59:59.999999999,0.2761643835616438,8.4,16.8,4.102814193491876,0,300,12 days 13:00:00,1000.0,1023.1026883742878,2.310268837428782,-4.655962083529608,100.0,10.419388465821433,4.881963150218525,5 days 12:00:00,5,0.0,4.9925914833706715,-2.614762234999196,1.7618083306428594,-1.4216368431393258,0 days 18:19:59.999999999,0 days 12:30:00,4.6205376748575775,1.8099462787920364,19.334912957611998,1.1072236237913506,1.1821606596182375,16.731698469917227,1.1335860910244782,0.16216216216216217,-0.006881844321966966,None,None,0.00008561853791592078,0.5178209173154888,0.023102688374287528,0.5823670672529877,0.34431826941995813,18.10515873015873
