Metric Type,Ticker,Strategy Type,Short Window,Long Window,Signal Window,Signal Entry,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Signal Conversion Rate,Total Period
Least Omega Ratio,STRK_MSTR,SMA,2,88,0,false,0,7,NaN,0.0,0.0,NaN,-7.035473716619468,-5.091607787307607,0 days 16:00:00,0.35362512529234885,10.75609756097561,21.51219512195122,NaN,0,328,13 days 17:00:00,1000.0,713.8457901633133,-28.61542098366867,6.9936862160726365,100.0,11.554684141235395,32.742110640367116,9 days 09:00:00,7,0.0,-0.4484818258794259,-12.720442700325505,NaN,-4.636908603782884,NaT,0 days 16:00:00,-40.87917283381239,-5.296520698019316,-3.0537845366238936,0.7816414254598529,-0.24780844080841474,6.025186976852056,1.0786651671345968,0.17921146953405018,-0.028245093241563497,None,None,-0.0008979709944934111,-5.430928574696151,-0.2861542098366868,-0.9979638355591183,1.234040972189015,112,112,1.0,19.794973544973544
Median Sortino Ratio,STRK_MSTR,SMA,38,66,0,false,1,3,NaN,100.0,inf,NaN,-0.13533902152508134,-1.7585544606816388,1 days 20:30:00,0.10103575008352823,4.609756097560975,7.682926829268292,NaN,0,328,13 days 17:00:00,1000.0,946.9490812419041,-5.305091875809591,6.9936862160726365,100.0,5.10253336689815,26.047870181587545,9 days 09:00:00,2,-80.46205733829868,2.437734659591423,0.2988426003524001,1.3682886299719117,NaN,1 days 20:30:00,NaT,13.705569290101417,-0.09172763956710367,-2.9398006943672526,0.9961535812018523,0.4334467002434179,5.769350133778091,1.1462589153555562,0.28515625,-0.027644095993821633,None,None,-0.000016959429667675982,-0.10257063063010434,-0.05305091875809653,-0.6328759056696351,1.3457641955503004,155,154,0.9935483870967742,19.794973544973544
Most Avg Winning Trade Duration,STRK_MSTR,SMA,2,78,0,false,0,5,NaN,0.0,0.0,NaN,-3.219373557668848,-3.349655171698589,1 days 00:24:00,0.2525893752088206,7.682926829268292,15.365853658536585,NaN,0,328,13 days 17:00:00,1000.0,835.6724901316779,-16.432750986832207,6.9936862160726365,100.0,9.214410301504051,28.558061913224,9 days 09:00:00,5,0.0,-1.821128477102184,-6.814042494740827,NaN,-3.5147362041639525,NaT,1 days 00:24:00,-32.865501973664394,-2.3008172692503,-3.4722350415966545,0.900200812364434,0.18661861633237914,6.915555518531945,1.0052242404736178,0.22304832713754646,-0.02795061337856455,None,None,-0.00040814381613112733,-2.468453799961058,-0.16432750986832279,-0.9631199594933755,1.291186678671945,122,122,1.0,19.794973544973544
Most Avg Losing Trade Duration,STRK_MSTR,SMA,32,72,0,false,1,3,NaN,100.0,inf,NaN,0.8646745390050247,-1.1875143947255857,1 days 13:00:00,0.10103575008352823,4.609756097560975,7.682926829268292,NaN,0,328,13 days 17:00:00,1000.0,986.8858316229247,-1.3114168377075317,6.9936862160726365,100.0,5.134684849615764,23.055691324104995,9 days 09:00:00,2,-52.219633826798486,2.87631264079436,1.0091472189323512,1.9427299298633558,NaN,1 days 13:00:00,NaT,19.55273272486162,0.5830194260587196,-1.2854125957728784,1.0253905705149042,0.42874716057466944,5.902399695456233,1.1631296023751152,0.2557251908396947,-0.027644095993821848,None,None,0.00010734484402959485,0.6492216166909897,-0.013114168377076019,-0.21547136084774066,1.3401583235681358,141,140,0.9929078014184397,19.794973544973544
Least Avg Losing Trade Duration,STRK_MSTR,SMA,17,22,0,false,0,7,6.044807318049238,85.71428571428571,17.7770387628221,4.879959796361724,9.089759850584192,4.350992817024028,1 days 00:51:25.714285713,0.35362512529234885,10.75609756097561,21.51219512195122,52.48932366330537,0,328,13 days 17:00:00,1000.0,1374.2316470672463,37.42316470672463,6.9936862160726365,100.0,17.705957905625286,18.255984107462954,5 days 22:00:00,7,0.0,20.248728196133108,-1.5988457870545876,5.959760726931109,-1.5988457870545876,1 days 04:50:00,0 days 01:00:00,53.461663866749404,6.042951127569303,25972.0710124209,1.2794853200272323,0.19740836477849444,5.750085279138035,1.0134537188334516,0.4429824561403509,-0.026323923236899176,None,None,0.0011150726974378223,6.743959674103949,0.3742316470672471,344.10642392868914,1.3431114289710386,174,174,1.0,19.794973544973544
Most Total Return [%],STRK_MSTR,SMA,17,18,0,false,0,17,3.3119484121517546,64.70588235294117,2.3330358383421066,2.2481489245755215,9.967531572692932,4.710486107368754,0 days 10:17:38.823529410,0.8588038757099901,26.121951219512194,52.24390243902439,58.726036541960575,0,328,13 days 17:00:00,1000.0,1399.3734797617915,39.93734797617915,6.9936862160726365,100.0,46.172076905270885,18.31315710470073,6 days 00:00:00,17,0.0,25.932337058801735,-13.387603276431278,5.301646016374406,-3.349929077055764,0 days 11:49:05.454545454,0 days 07:30:00,23.49255763304657,6.565612646939782,41959.44578133865,1.3103073206140405,0.2585681132910544,6.567464708534776,1.1805739225334428,0.4429824561403509,-0.02473231468819499,None,None,0.001157129815279564,6.998321122810802,0.39937347976179227,480.6094311627417,1.2828171913221937,175,175,1.0,19.794973544973544
Most Sharpe Ratio,STRK_MSTR,SMA,17,18,0,false,0,17,3.3119484121517546,64.70588235294117,2.3330358383421066,2.2481489245755215,9.967531572692932,4.710486107368754,0 days 10:17:38.823529410,0.8588038757099901,26.121951219512194,52.24390243902439,58.726036541960575,0,328,13 days 17:00:00,1000.0,1399.3734797617915,39.93734797617915,6.9936862160726365,100.0,46.172076905270885,18.31315710470073,6 days 00:00:00,17,0.0,25.932337058801735,-13.387603276431278,5.301646016374406,-3.349929077055764,0 days 11:49:05.454545454,0 days 07:30:00,23.49255763304657,6.565612646939782,41959.44578133865,1.3103073206140405,0.2585681132910544,6.567464708534776,1.1805739225334428,0.4429824561403509,-0.02473231468819499,None,None,0.001157129815279564,6.998321122810802,0.39937347976179227,480.6094311627417,1.2828171913221937,175,175,1.0,19.794973544973544
Most Calmar Ratio,STRK_MSTR,SMA,17,18,0,false,0,17,3.3119484121517546,64.70588235294117,2.3330358383421066,2.2481489245755215,9.967531572692932,4.710486107368754,0 days 10:17:38.823529410,0.8588038757099901,26.121951219512194,52.24390243902439,58.726036541960575,0,328,13 days 17:00:00,1000.0,1399.3734797617915,39.93734797617915,6.9936862160726365,100.0,46.172076905270885,18.31315710470073,6 days 00:00:00,17,0.0,25.932337058801735,-13.387603276431278,5.301646016374406,-3.349929077055764,0 days 11:49:05.454545454,0 days 07:30:00,23.49255763304657,6.565612646939782,41959.44578133865,1.3103073206140405,0.2585681132910544,6.567464708534776,1.1805739225334428,0.4429824561403509,-0.02473231468819499,None,None,0.001157129815279564,6.998321122810802,0.39937347976179227,480.6094311627417,1.2828171913221937,175,175,1.0,19.794973544973544
Most Omega Ratio,STRK_MSTR,SMA,17,18,0,false,0,17,3.3119484121517546,64.70588235294117,2.3330358383421066,2.2481489245755215,9.967531572692932,4.710486107368754,0 days 10:17:38.823529410,0.8588038757099901,26.121951219512194,52.24390243902439,58.726036541960575,0,328,13 days 17:00:00,1000.0,1399.3734797617915,39.93734797617915,6.9936862160726365,100.0,46.172076905270885,18.31315710470073,6 days 00:00:00,17,0.0,25.932337058801735,-13.387603276431278,5.301646016374406,-3.349929077055764,0 days 11:49:05.454545454,0 days 07:30:00,23.49255763304657,6.565612646939782,41959.44578133865,1.3103073206140405,0.2585681132910544,6.567464708534776,1.1805739225334428,0.4429824561403509,-0.02473231468819499,None,None,0.001157129815279564,6.998321122810802,0.39937347976179227,480.6094311627417,1.2828171913221937,175,175,1.0,19.794973544973544
Most Sortino Ratio,STRK_MSTR,SMA,17,18,0,false,0,17,3.3119484121517546,64.70588235294117,2.3330358383421066,2.2481489245755215,9.967531572692932,4.710486107368754,0 days 10:17:38.823529410,0.8588038757099901,26.121951219512194,52.24390243902439,58.726036541960575,0,328,13 days 17:00:00,1000.0,1399.3734797617915,39.93734797617915,6.9936862160726365,100.0,46.172076905270885,18.31315710470073,6 days 00:00:00,17,0.0,25.932337058801735,-13.387603276431278,5.301646016374406,-3.349929077055764,0 days 11:49:05.454545454,0 days 07:30:00,23.49255763304657,6.565612646939782,41959.44578133865,1.3103073206140405,0.2585681132910544,6.567464708534776,1.1805739225334428,0.4429824561403509,-0.02473231468819499,None,None,0.001157129815279564,6.998321122810802,0.39937347976179227,480.6094311627417,1.2828171913221937,175,175,1.0,19.794973544973544
