TICKER,SMA_FAST,SMA_SLOW,EMA_FAST,EMA_SLOW,SMA_SIGNAL,EMA_SIGNAL
PCAR,66,84,,,false,false
DE,22,62,,,false,false
CTSH,,,19,34,false,false
DLTR,,,20,21,false,false
ENPH,,,3,11,false,false
FTNT,21,37,,,false,false
DLTR,17,41,,,false,false
GOOG,9,39,,,false,false
CTAS,,,46,54,false,false
DXCM,,,35,45,false,false
FTNT,7,24,,,false,false
META,43,49,,,false,false
GOOGL,9,39,,,false,false
ON,13,22,,,false,false
ILMN,,,21,32,false,false
TXN,,,38,78,false,false
BLK,,,12,88,false,false
INTU,,,49,60,false,false
TTD,2,69,,,false,false
BKNG,,,36,48,false,false
ADSK,,,13,28,false,false
MA,,,14,82,false,false
LLY,,,79,85,false,false
CVS,,,55,89,false,false
ROP,,,52,89,false,false
CRM,,,8,55,false,false
ABT,82,85,,,false,false
CRM,,,16,42,false,false
MS,30,49,,,false,false
XOM,,,81,89,false,false
MPWR,,,22,38,false,false
PNC,13,82,,,false,false
NXPI,53,55,,,false,false
MA,,,13,47,false,false
EBAY,12,21,,,false,false
WBA,18,54,,,false,false
V,79,89,,,false,false
HON,60,76,,,false,false
META,,,9,61,false,false
SWKS,,,41,46,false,false
AXP,27,74,,,false,false
NXPI,62,74,,,false,false
RTX,,,84,87,false,false
EBAY,13,23,,,false,false
MRNA,29,30,,,false,false
C,,,25,81,false,false
MAR,72,77,,,false,false
BAC,64,73,,,false,false
VRTX,15,29,,,false,false
MRNA,24,29,,,false,false
PCAR,,,70,75,false,false
SNPS,50,87,,,false,false
AVGO,,,13,82,false,false
FAST,,,40,61,false,false
DE,,,50,62,false,false
TEAM,50,53,,,false,false
MCHP,,,29,86,false,false
GS,20,40,,,false,false
ADSK,,,54,67,false,false
COST,,,27,74,false,false
SNPS,51,85,,,false,false
MAR,,,29,65,false,false
PFE,54,89,,,false,false
COST,70,82,,,false,false
COST,,,29,68,false,false
LLY,71,89,,,false,false
GE,7,54,,,false,false
PG,78,87,,,false,false
BAC,,,12,41,false,false
BAC,5,70,,,false,false
MRNA,,,5,21,false,false
ADP,45,57,,,false,false
AXP,32,36,,,false,false
TEAM,47,48,,,false,false
MS,,,20,67,false,false
WFC,,,33,72,false,false
AXP,,,52,60,false,false
ACN,69,74,,,false,false
AMT,,,31,37,false,false
GE,63,69,,,false,false
JPM,,,20,25,false,false
PDD,27,29,,,false,false
TTD,,,7,32,false,false
C,17,58,,,false,false
GS,,,23,32,false,false
CSX,,,19,83,false,false
MRVL,,,11,67,false,false
WFC,62,69,,,false,false
ZS,35,37,,,true,false
PEP,12,42,,,false,false
CHTR,,,9,87,false,false
XOM,60,79,,,false,false
ZM,58,59,,,false,false
PANW,67,70,,,false,false
CRWD,20,26,,,false,false
IBM,,,13,15,false,false
CRWD,,,2,24,false,false
VRTX,32,34,,,false,false
ACN,,,29,30,false,false
DDOG,85,87,,,false,false
BMY,62,80,,,false,false
BMY,,,79,89,false,false
ZS,,,2,31,false,false
DDOG,18,20,,,false,false
IBM,42,60,,,false,false
JD,31,35,,,false,false
V,,,18,66,false,false
PANW,,,12,21,false,false
DUK,80,88,,,false,false
PEP,,,42,44,false,false
CEG,24,25,,,false,false
ZM,53,54,,,false,false
PYPL,85,86,,,false,false
MMC,,,20,22,false,false
TMUS,,,5,65,false,false
PYPL,53,55,,,false,false
WBD,41,54,,,false,false
TEAM,,,5,65,false,false
SO,,,85,89,false,false
SLB,71,78,,,false,false
BKR,25,30,,,false,false
MMC,47,50,,,false,false
XEL,,,61,73,false,false
XEL,,,64,81,false,false
ELV,,,35,88,false,false
SLB,,,23,89,false,false
DUK,,,69,80,false,false
REGN,,,7,16,false,false
CEG,,,5,6,false,false
HON,,,76,79,false,false
MMM,68,80,,,false,false
PDD,,,3,4,false,false
SO,83,87,,,false,false
ABBV,,,4,88,false,false
KDP,54,61,,,false,false
VRSK,,,11,71,false,false
BKR,,,66,70,false,false
DDOG,,,3,4,false,false
WDAY,,,13,49,false,false
ZM,,,3,18,false,false
FANG,,,10,11,false,false
VZ,54,66,,,false,false
T,68,73,,,false,false
XEL,85,89,,,false,false
JD,,,7,61,false,false
PM,26,58,,,false,false
AEP,74,83,,,false,false
PYPL,,,14,22,false,false
EXC,20,25,,,false,false
GEHC,12,13,,,false,false
ABNB,34,35,,,false,false
PM,27,50,,,false,false
