TICKER,SMA_FAST,SMA_SLOW,EMA_FAST,EMA_SLOW,SMA_SIGNAL,EMA_SIGNAL
FAST,66,86,,,false,false
FAST,,,40,61,false,false
FANG,44,47,,,false,false
FANG,,,84,89,false,false
FANG,,,10,11,false,false
EXPD,70,78,,,false,false
EXPD,,,59,88,false,false
EXC,,,83,86,false,false
EXC,20,25,,,false,false
EWN,28,86,,,false,false
EWN,,,6,66,false,false
EW,83,88,,,false,false
EW,,,25,89,false,false
ETH-USD,13,20,,,false,false
ERIE,47,59,,,false,false
ERIE,,,31,79,false,false
EQR,70,81,,,true,false
EQR,,,37,89,false,false
EQIX,21,33,,,false,false
EQIX,,,11,79,false,false
ENPH,5,15,,,false,false
EBAY,13,23,,,false,false
EA,70,74,,,false,false
EA,,,21,34,false,false
DXCM,,,35,45,false,false
DUK,80,88,,,false,false
DUK,,,69,80,false,false
DOT-USD,28,33,,,false,false
DOGE-USD,2,8,,,false,false
DOCU,52,54,,,false,false
DOCN,54,56,,,false,false
DLTR,,,20,21,false,false
DIS,25,70,,,false,false
DIS,,,69,79,false,false
DHR,,,39,46,false,false
DECK,76,84,,,false,false
DECK,,,45,89,false,false
DE,,,50,62,false,false
DDOG,18,20,,,false,false
DDOG,,,3,4,false,false
D,72,81,,,false,false
CVX,,,67,82,false,false
CVX,70,74,,,false,false
CVS,51,69,,,false,false
CVS,,,55,89,false,false
CTSH,73,82,,,false,false
CTSH,,,87,89,false,false
CTSH,,,19,34,false,false
CTAS,16,49,,,false,false
CTAS,23,28,,,false,false
CTAS,,,46,54,false,false
CSX,84,87,,,false,false
CSX,,,19,83,false,false
CSCO,,,26,63,false,false
CSCO,18,73,,,false,false
CRWD,,,2,24,false,false
CRM,,,16,42,false,false
CRL,73,75,,,false,false
CRL,,,32,46,false,false
CPRT,,,62,89,false,false
CPRT,38,42,,,false,false
COST,70,82,,,false,false
COST,,,29,68,false,false
COHR,50,57,,,false,false
COHR,,,12,25,false,false
CMCSA,,,62,68,false,false
CLX,,,20,80,false,false
CLX,82,85,,,false,false
CL,12,46,,,false,false
CIFR,8,14,,,false,false
CI,18,49,,,false,false
CHTR,,,18,88,false,false
CHTR,,,9,87,false,false
CEG,24,25,,,false,false
CEG,,,5,6,false,false
CDNS,49,74,,,false,false
CDNS,,,30,83,false,false
CAT,68,74,,,false,false
CAKE-USD,,,13,18,false,false
CAKE-USD,2,6,,,false,false
BSX,53,69,,,false,false
BSX,,,47,82,false,false
BNB-USD,11,21,,,false,false
BNB-USD,,,12,22,false,false
BMY,62,80,,,false,false
BMY,,,79,89,false,false
BMRN,35,38,,,false,false
BKR,25,30,,,false,false
BKR,25,29,,,false,false
BKR,,,66,70,false,false
BKNG,42,55,,,false,false
BKNG,,,36,48,false,false
BILI,73,76,,,false,false
BIDU,19,44,,,false,false
BAC,64,73,,,false,false
BAC,,,12,41,false,false
BA,,,54,83,false,false
BA,61,89,,,false,false
AXP,27,74,,,false,false
AXP,32,36,,,false,false
AXP,,,52,60,false,false
AXON,,,6,30,false,false
AVGO,84,88,,,false,false
AVGO,,,13,82,false,false
AVGO,,,83,87,false,false
AVAX-USD,2,10,,,false,false
AVAX-USD,,,5,9,false,false
ASML,20,45,,,false,false
ASML,71,74,,,false,false
ASML,,,34,42,false,false
APD,43,47,,,false,false
APD,,,28,34,false,false
AOS,,,14,70,false,false
AOS,8,82,,,false,false
AMZN,,,56,81,false,false
AMZN,53,65,,,false,false
AMZN,,,33,78,false,false
AMGN,39,48,,,false,false
AMGN,,,13,32,false,false
AMD,,,18,23,false,false
AMAT,63,78,,,false,false
AMAT,,,53,71,false,false
ALGN,13,39,,,false,false
ALGN,,,33,86,false,false
ALGN,,,22,89,false,false
ADSK,45,84,,,false,false
ADSK,79,81,,,false,false
ADSK,,,54,67,false,false
ADP,,,87,89,false,false
ADP,45,57,,,false,false
ADI,72,87,,,false,false
ADI,76,87,,,false,false
ADI,,,69,88,false,false
ADI,,,59,84,false,false
ADBE,,,26,29,false,false
ADBE,45,50,,,false,false
ADA-USD,2,18,,,false,false
ACN,69,74,,,false,false
ABT,,,70,88,false,false
ABT,82,85,,,false,false
ABNB,34,35,,,false,false
AAPL,,,12,17,false,false
AAPL,13,35,,,false,false
BTC-USD,,,3,11,false,false
BTC-USD,27,29,,,false,false
BTC-USD,8,44,,,false,false
BTC-USD,,,11,17,false,false
SOL-USD,27,30,,,false,false
SOL-USD,,,16,18,false,false
SOL-USD,26,32,,,false,false
SOL-USD,14,32,,,false,false
QQQ,102,109,,,false,false
QQQ,69,77,,,false,false
QQQ,15,28,,,false,false
QQQ,17,28,,,false,false
QQQ,,,34,52,false,false
SPY,108,115,,,false,false
SPY,,,18,32,false,false
SPY,,,51,72,false,false
SPY,,,46,51,false,false
SPY,12,73,,,false,false
COPX,29,42,,,false,false
IAU,64,75,,,false,false
SLV,77,84,,,false,false
COPX,10,80,,,false,false
LIT,7,31,,,false,false
URA,7,34,,,false,false
