Ticker,Use SMA,Short Window,Long Window,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Sharpe Ratio,Calmar Ratio,Omega Ratio,Beats BNH [%],Avg Trade Duration
FTM-USD,true,2,13,105,34.285714285714285,1.443455434450014,46.31671812968681,35330.899612570196,18353.714084452047,1.3895015438906042,3,49092.339558710235,3.1754270732645065,0,0,2267,2268 days 00:00:00,1000.0,3710744.4593198774,370974.4459319877,3160.3812107428157,100.0,263523.2932200593,64.9500831922056,388 days 00:00:00,105,0,0.0,2341.9583335428347,-27.10127190456129,105.99838921564685,-7.75061558983842,20 days 11:20:00,4 days 16:41:44.347826087,1.6735927723963842,4.239594214277177,1.4579460982911052,116.38281593086485,10 days 02:30:51.428571428
SOL-USD,true,30,31,71,54.929577464788736,1.8949448214590219,39.70917225950783,13346.702042652514,11108.01066289902,1.191275167785235,3,15899.594715240411,3.3623155056693155,0,0,1788,1789 days 00:00:00,1000.0,948615.8450283277,94761.58450283276,14251.940951757664,100.0,45867.51241318932,55.842741928055815,466 days 00:00:00,71,0,0.0,475.0834388898569,-32.31360900334088,44.926201356422155,-7.6147816312127565,17 days 11:04:36.923076923,7 days 17:15:00,1.9126444500257993,5.460841666074604,1.5030855271542254,5.649030109203898,13 days 01:41:24.507042252
SOL-USD,true,19,22,55,52.72727272727272,2.322862065205031,30.76062639821029,23584.20280909151,15701.145120836862,0.9228187919463087,2,21763.945545302566,3.375460799458289,0,0,1788,1789 days 00:00:00,1000.0,1298131.1545000335,129713.11545000336,14251.940951757664,100.0,40907.10496004321,75.44656708116312,773 days 00:00:00,55,0,0.0,630.7297785469879,-53.00974220886724,75.48430572709806,-11.03282461351543,25 days 04:08:16.551724138,7 days 23:04:36.923076923,1.9390144958796312,4.396640638634176,1.5158459558165283,8.101435087969973,17 days 00:52:21.818181817
FET-USD,true,25,34,35,40.0,1.9805813909383905,15.959872321021432,43248.35454731032,13899.838467914244,0.478796169630643,1,20707.146500080184,3.101367152008818,0,0,2193,2194 days 00:00:00,1000.0,1514692.4091558615,151369.24091558615,44.02767663916993,100.0,45878.014037031666,62.885962561045815,357 days 00:00:00,35,0,0.0,781.751419488645,-25.80443332495542,141.8447916316056,-7.98548630348591,48 days 05:08:34.285714286,17 days 03:25:42.857142857,1.69016668782649,3.7867451602426434,1.429371837291258,3437.047439026525,29 days 13:42:51.428571428
DOGE-USD,true,2,8,191,35.26315789473684,1.7760721626658245,71.13440658929241,19702.613346593338,10526.914626967731,2.1452639460876073,5,42267.30605615118,3.2792890276751026,0,0,2671,2672 days 00:00:00,1000.0,2978155.5632759053,297715.55632759054,13362.149708134837,100.0,289127.3672040859,76.42174236244574,1031 days 00:00:00,190,1,-766340.9725768301,544.7221865159398,-16.944330086358704,34.401550413646945,-4.726212328677399,11 days 07:52:50.149253731,3 days 16:00:00,1.4770383790311579,2.5938604946080352,1.5247398218039134,21.28051345258781,6 days 08:50:31.578947367
SOL-USD,true,15,21,50,50.0,2.0306051041312734,27.96420581655481,15457.793369347657,8871.552668358388,0.8389261744966443,2,12967.947457506423,3.2647727863446256,0,0,1788,1789 days 00:00:00,1000.0,773889.6684673824,77288.96684673824,14251.940951757664,100.0,22669.3598987792,82.38408276516813,774 days 00:00:00,50,0,0.0,692.6306235229891,-47.12358462203051,88.25834174387556,-13.499718886286766,26 days 16:19:12,10 days 23:02:24,1.8593225838035732,3.501570276961744,1.4846356098428812,4.42304848920991,18 days 19:40:48
BNB-USD,true,18,19,158,50.63291139240506,1.5119787732362344,59.15387495320105,10382.678801134192,7965.231147782273,1.7746162485960315,4,18425.270504446304,3.2046337804837273,0,0,2671,2672 days 00:00:00,1000.0,1641463.2505792018,164046.32505792018,27797.892697925694,100.0,257545.61588728434,48.31408084770976,487 days 00:00:00,158,0,0.0,677.2244624903499,-25.09580534381577,25.980854048026487,-5.112544547164646,12 days 02:24:00,6 days 13:50:46.153846153,1.6268471104192719,3.6204768485614016,1.4770777381194737,4.9013942833933415,9 days 08:57:43.291139239
TRX-USD,true,10,27,51,56.86274509803921,2.5361882399409033,19.093972295020592,12764.93362756788,8498.234049574576,0.5728191688506178,2,7311.9986709767345,2.8722066333822354,0,0,2671,2672 days 00:00:00,1000.0,652011.6150059617,65101.16150059617,9620.100884011466,100.0,21037.855894346452,75.29505050098996,1184 days 00:00:00,51,0,0.0,3756.9024057379293,-24.7954865485455,152.6096889814482,-10.742454220832908,40 days 18:12:24.827586207,13 days 10:54:32.727272727,1.2206658004519575,1.8904832881980662,1.4716709370429972,5.767201538270124,28 days 23:31:45.882352940
BTC-USD,true,8,44,47,48.93617021276596,2.7899720615634376,12.303664921465968,15370.305696265656,8115.634320801426,0.36910994764397903,1,5673.332730820569,2.351192719814144,0,0,3820,3821 days 00:00:00,1000.0,723404.3677244858,72240.43677244858,18142.17853544015,100.0,15973.231441787671,53.60574920633759,755 days 00:00:00,47,0,0.0,357.662545496104,-19.792472298596227,59.50599606533389,-7.761749630255306,75 days 02:05:13.043478260,16 days 19:00:00,1.5023669419260581,1.6334180948202297,1.3688921300106998,2.9819052949638465,45 days 07:39:34.468085105
SOL-USD,true,27,28,78,47.43589743589743,2.331041032729669,43.624161073825505,10337.472408271391,7429.807286442141,1.308724832214765,3,13528.90684303974,3.246827769388425,0,0,1788,1789 days 00:00:00,1000.0,807322.8478451683,80632.28478451683,14251.940951757664,100.0,39588.28011573285,73.26778344677011,723 days 00:00:00,78,0,0.0,642.0598352143194,-18.587541874387462,49.67607655232066,-5.960849531852743,18 days 07:08:06.486486486,6 days 04:05:51.219512195,1.8827795399688247,3.983201323737901,1.4866757374038722,4.657635339456876,11 days 22:09:13.846153845
BTC-USD,true,11,36,52,51.92307692307693,3.0568881285805696,13.612565445026178,9233.745983158402,5723.396270552729,0.4083769633507853,1,3770.84914495474,2.238716088476053,0,0,3820,3821 days 00:00:00,1000.0,481154.7911242368,48015.47911242369,18142.17853544015,100.0,11829.381175836057,56.86020362672907,731 days 00:00:00,52,0,0.0,222.4912061437157,-18.251507913216162,44.679584646533364,-7.37959056840051,62 days 17:46:40,18 days 01:55:11.999999999,1.440717110550551,1.413906599714107,1.350267120137198,1.6466214638240397,41 days 06:27:41.538461538
BTC-USD,false,11,17,65,46.15384615384615,2.378866666305602,17.015706806282722,7773.766987492902,5353.834013424864,0.5104712041884817,2,3968.2841951861674,2.262027358348105,0,0,3820,3821 days 00:00:00,1000.0,506294.85418703867,50529.485418703865,18142.17853544015,100.0,15943.304114169496,66.13956646733496,827 days 00:00:00,65,0,0.0,251.6006587287988,-23.26248885577432,43.137720251260895,-7.208032850825771,59 days 16:00:00,10 days 08:13:42.857142857,1.4483209293900985,1.2288377183361887,1.3509828145354752,1.7851939236512402,33 days 02:35:04.615384615
