Metric Type,Ticker,Strategy Type,Short Window,Long Window,Signal Window,Signal Entry,Signal Exit,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period
Most Calmar Ratio,TSLA,SMA,18,19,0,true,false,1,214,1.3984281967179615,46.948356807511736,1.6873862411292961,3.66724571166358,2.0988115042452447,0.3861560104023879,9 days 18:55:46.478873238,0.03935176190703114,1.2025689055392026,2.399518330211399,4.4101156618186055,0,3737,3738 days 00:00:00,1000.0,240018.1587817024,23901.81587817024,17243.236474682075,100.0,22991.598677629907,44.668217988596034,697 days 00:00:00,213,-240.01815878166235,137.47868539909678,-18.02076810066048,13.066471133712684,-4.650652891919698,13 days 19:55:12,6 days 05:05:50.442477876,1123.2778260116627,1.3009804179641102,1.584429480952311,1.3037190135853185,0.9761594529520031,12.390272971844702,1.3965898901166494,0.4218333967287942,-0.036694742414716014,None,None,0.0018189003197528909,0.4583628805777285,239.01815878170194,0.4469912148121502,0.42401853598179606,2086,2085,5412.7182539682535
Most Omega Ratio,TSLA,SMA,18,19,0,true,false,1,214,1.3984281967179615,46.948356807511736,1.6873862411292961,3.66724571166358,2.0988115042452447,0.3861560104023879,9 days 18:55:46.478873238,0.03935176190703114,1.2025689055392026,2.399518330211399,4.4101156618186055,0,3737,3738 days 00:00:00,1000.0,240018.1587817024,23901.81587817024,17243.236474682075,100.0,22991.598677629907,44.668217988596034,697 days 00:00:00,213,-240.01815878166235,137.47868539909678,-18.02076810066048,13.066471133712684,-4.650652891919698,13 days 19:55:12,6 days 05:05:50.442477876,1123.2778260116627,1.3009804179641102,1.584429480952311,1.3037190135853185,0.9761594529520031,12.390272971844702,1.3965898901166494,0.4218333967287942,-0.036694742414716014,None,None,0.0018189003197528909,0.4583628805777285,239.01815878170194,0.4469912148121502,0.42401853598179606,2086,2085,5412.7182539682535
Most Sortino Ratio,TSLA,SMA,18,19,0,true,false,1,214,1.3984281967179615,46.948356807511736,1.6873862411292961,3.66724571166358,2.0988115042452447,0.3861560104023879,9 days 18:55:46.478873238,0.03935176190703114,1.2025689055392026,2.399518330211399,4.4101156618186055,0,3737,3738 days 00:00:00,1000.0,240018.1587817024,23901.81587817024,17243.236474682075,100.0,22991.598677629907,44.668217988596034,697 days 00:00:00,213,-240.01815878166235,137.47868539909678,-18.02076810066048,13.066471133712684,-4.650652891919698,13 days 19:55:12,6 days 05:05:50.442477876,1123.2778260116627,1.3009804179641102,1.584429480952311,1.3037190135853185,0.9761594529520031,12.390272971844702,1.3965898901166494,0.4218333967287942,-0.036694742414716014,None,None,0.0018189003197528909,0.4583628805777285,239.01815878170194,0.4469912148121502,0.42401853598179606,2086,2085,5412.7182539682535
Least Avg Winning Trade Duration,TSLA,SMA,18,19,0,true,false,1,214,1.3984281967179615,46.948356807511736,1.6873862411292961,3.66724571166358,2.0988115042452447,0.3861560104023879,9 days 18:55:46.478873238,0.03935176190703114,1.2025689055392026,2.399518330211399,4.4101156618186055,0,3737,3738 days 00:00:00,1000.0,240018.1587817024,23901.81587817024,17243.236474682075,100.0,22991.598677629907,44.668217988596034,697 days 00:00:00,213,-240.01815878166235,137.47868539909678,-18.02076810066048,13.066471133712684,-4.650652891919698,13 days 19:55:12,6 days 05:05:50.442477876,1123.2778260116627,1.3009804179641102,1.584429480952311,1.3037190135853185,0.9761594529520031,12.390272971844702,1.3965898901166494,0.4218333967287942,-0.036694742414716014,None,None,0.0018189003197528909,0.4583628805777285,239.01815878170194,0.4469912148121502,0.42401853598179606,2086,2085,5412.7182539682535
Median Total Return [%],TSLA,SMA,21,24,0,true,false,1,119,1.389224057742491,51.69491525423729,1.4902427962670264,4.997841010707937,1.500021371482081,-0.7924529059545132,17 days 11:35:35.593220338,0.021800506596383447,0.6687182231736687,1.3318169654803318,3.342147360385104,0,3737,3738 days 00:00:00,1000.0,36787.83622259409,3578.7836222594087,17243.236474682075,100.0,3244.0938376385625,55.905453737909085,878 days 00:00:00,118,-36.78783622258925,178.86006560478455,-22.671509257065917,16.48452101388716,-7.294921799711932,23 days 16:07:52.131147541,10 days 20:37:53.684210526,303.59850897302226,0.9587709992590054,0.7547571075128258,1.2155654500473625,0.8872225766450273,13.033545828732244,1.2426532595191728,0.4047350620067644,-0.03762140406416608,None,None,0.0012928253206560849,0.3257919808053334,35.78783622259411,0.2751259822736729,0.40895136575443064,2064,2063,5412.7182539682535
Mean Win Rate [%],TSLA,SMA,21,29,0,true,false,1,76,1.3629903729696609,48.0,1.8951036633161085,10.587467206653795,1.64261997367278,-0.6515598589019574,27 days 19:12:00,0.013856254192616596,0.42708054589242705,0.8485416109178485,4.521701274235872,0,3737,3738 days 00:00:00,1000.0,61082.35750225137,6008.235750225137,17243.236474682075,100.0,2667.2759261180167,60.6216132696887,878 days 00:00:00,75,-61.08235750224412,344.05710570331183,-23.349161003421024,29.64721027390082,-7.006141778497306,39 days 17:20:00,16 days 19:04:36.923076923,801.9125314633809,1.0519138314408252,0.8150984619293853,1.2379065543911583,0.7165542766079664,11.914649313004862,1.2287622769810702,0.40790960451977404,-0.037151938847274094,None,None,0.0014390686976182862,0.36264531179980813,60.08235750225135,0.31946786404054284,0.4149044220783337,2086,2085,5412.7182539682535
Mean Total Trades,TSLA,SMA,20,32,0,true,false,1,62,1.358045101733436,49.18032786885246,2.2256566685260633,13.797834251498426,1.8051955374505981,-0.4222596582096654,34 days 05:30:29.508196720,0.011269753409994832,0.34840781375434837,0.6911961466416912,4.807273266109433,0,3737,3738 days 00:00:00,1000.0,100621.13334454386,9962.113334454387,17243.236474682075,100.0,3690.1381361990416,56.15063953986673,705 days 00:00:00,61,-100.62113334453898,329.29333934382225,-21.351078885995204,36.12242824415486,-7.806611547846515,49 days 18:24:00,19 days 04:38:42.580645161,1634.7828602932527,1.1486324541501334,1.0129032045967516,1.263069919317449,0.7456322924120834,12.028987156578777,1.2100578606599681,0.41483724451173354,-0.03666465925557705,None,None,0.001573428523146979,0.3965039878330387,99.62113334454394,0.36462321543407983,0.4154441409867268,2089,2088,5412.7182539682535
Most Expectancy,TSLA,SMA,20,32,0,true,false,1,62,1.358045101733436,49.18032786885246,2.2256566685260633,13.797834251498426,1.8051955374505981,-0.4222596582096654,34 days 05:30:29.508196720,0.011269753409994832,0.34840781375434837,0.6911961466416912,4.807273266109433,0,3737,3738 days 00:00:00,1000.0,100621.13334454386,9962.113334454387,17243.236474682075,100.0,3690.1381361990416,56.15063953986673,705 days 00:00:00,61,-100.62113334453898,329.29333934382225,-21.351078885995204,36.12242824415486,-7.806611547846515,49 days 18:24:00,19 days 04:38:42.580645161,1634.7828602932527,1.1486324541501334,1.0129032045967516,1.263069919317449,0.7456322924120834,12.028987156578777,1.2100578606599681,0.41483724451173354,-0.03666465925557705,None,None,0.001573428523146979,0.3965039878330387,99.62113334454394,0.36462321543407983,0.4154441409867268,2089,2088,5412.7182539682535
Most Profit Factor,TSLA,SMA,20,33,0,true,false,1,58,1.3565286990759442,49.122807017543856,2.369089152070056,13.956775198971709,1.6953189203797818,-0.572584558330801,36 days 14:44:12.631578947,0.010530753186388613,0.3259298902863259,0.6462402997056462,4.548930209351764,0,3737,3738 days 00:00:00,1000.0,74700.25533632682,7370.025533632682,17243.236474682075,100.0,2212.216767181215,60.950861579782654,1354 days 00:00:00,57,-74.7002553363127,329.2933393438222,-25.181552266284974,37.190635748535925,-8.47591774543512,52 days 22:17:08.571428572,20 days 20:41:22.758620689,1294.2974665204065,1.0821651806688002,0.8593466281348447,1.2484145531043338,0.7622609054386738,13.049750066127089,1.2026011750087646,0.4116314199395771,-0.03677048908331994,None,None,0.001503313221840129,0.3788349319037125,73.70025533632639,0.3374925653331302,0.42131083060673125,2088,2087,5412.7182539682535
Least Avg Losing Trade [%],TSLA,SMA,22,48,0,true,false,1,44,1.2921697902158653,53.48837209302325,1.9067122837220496,14.20894105261067,1.3452655990599065,-0.8553178981575447,48 days 10:02:47.441860465,0.007944252403766849,0.24725715814824725,0.48889483542948886,3.5132623849644795,0,3737,3738 days 00:00:00,1000.0,25947.876957234927,2494.7876957234926,17243.236474682075,100.0,744.2083709424046,62.31258716596654,1343 days 00:00:00,43,-25.94787695723062,265.2762192960474,-27.413412466381796,36.90496813649241,-11.891490093853323,69 days 12:31:18.260869565,24 days 03:36:00,580.7866240509799,0.8756825097000152,0.60067896029797,1.1962707175702232,0.6611880819590007,12.954702457713175,1.1596161830485772,0.4047350620067644,-0.03850952572466376,None,None,0.0012268512860692195,0.3091665240894433,24.947876957234968,0.2454683843152612,0.42490510569334167,2083,2082,5412.7182539682535
