Ticker,Use SMA,Short Window,Long Window,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy per Trade,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Beats BNH [%],Avg Trade Duration
BTC-USD,true,57,89,118,41.88034188034188,1.7115769947584807,0.1611477761836442,1.0516292787261394,0.7220097331873453,4.875753228120517,9.710186513629843,5.127484850535025,2.480356602663303,0,0,17425,726 days 02:00:00,1000.0,2933.700368764126,193.3700368764126,217.6032085517888,100.0,455.9991541667649,22.033072805545668,128 days 15:00:00,117,1,88.10196279017146,30.830267114744576,-5.166020401461243,5.068268090435875,-1.8427133944176406,5 days 05:00:00,1 days 21:07:03.529411764,15.77434535020474,1.7202931283602143,3.257757137449753,1.0830173571991986,-0.03625468411811095,29.437233048663572,1.0560333943297897,0.37320724980299447,-0.004712163715885982,None,None,0.00006876337875955667,0.41588091473779876,1.933700368764144,0.45286367160621244,0.29094620568571,-0.11136403657213906,3 days 06:34:21.538461537
BTC-USD,true,47,78,126,43.2,1.8763939884155088,0.17216642754662842,0.9984175038543553,0.7070760027296419,5.206312769010043,10.371305595408895,5.198073799120064,2.5768708154183484,0,0,17425,726 days 02:00:00,1000.0,3042.3069155784874,204.23069155784873,217.6032085517888,100.0,449.1395905351623,19.720831281467042,214 days 07:00:00,125,1,110.94524687301146,31.406407969135515,-6.4002330622930685,4.592167459826632,-1.734857110547095,4 days 13:16:40,1 days 22:40:33.802816901,15.450893349643806,1.7772234850931408,3.8003622464610545,1.0861005447147627,0.03813429069371388,30.147417755678383,1.0666158367576561,0.37342370744010084,-0.0046718781238952595,None,None,0.0000708015761754779,0.4282079327092903,2.0423069155784965,0.4713097540734379,0.28997384465789566,-0.061453675627937576,3 days 01:43:11.999999999
BTC-USD,true,49,74,139,45.65217391304348,1.9631007322863918,0.19007173601147778,0.9377079904428071,0.701777184579435,5.743472022955523,11.445624103299856,5.385699608810108,2.673657472420912,0,0,17425,726 days 02:00:00,1000.0,3181.977526016058,218.1977526016058,217.6032085517888,100.0,509.20149535116474,22.583041936433606,214 days 04:00:00,138,1,105.82552505585727,32.22499188824604,-7.654587559045202,3.9584846984177786,-1.5997444442561688,3 days 22:36:11.428571428,1 days 19:29:36,15.044579717102907,1.8400445602939228,3.4954877033750646,1.089048751781734,0.0958532046238849,29.279614857033877,1.069556407308907,0.37461544529462804,-0.004702158892282374,None,None,0.0000733934646750894,0.4438836743549407,2.181977526016056,0.49441039168189405,0.29032671072608734,0.00273223935333421,2 days 18:49:33.913043477
BTC-USD,true,54,89,115,42.10526315789473,1.6353134873506394,0.1570157819225251,1.0152912153224798,0.700804980377898,4.751793400286944,9.462266857962698,4.824454096338671,2.355613179525074,0,0,17425,726 days 02:00:00,1000.0,2753.246883531029,175.3246883531029,217.6032085517888,100.0,452.81059032623034,27.377029921212635,147 days 13:00:00,114,1,82.68276374358948,29.327131730369942,-4.804827574145479,5.0160693498676965,-1.894365609801314,5 days 03:28:45,2 days 01:00:00,14.654071226205605,1.6333925917205103,2.424769162213595,1.078875993921193,-0.025082065233582695,29.787672987605305,1.0557408611428418,0.37039949669707456,-0.004717367901794599,None,None,0.00006507369719987049,0.3935657206648167,1.7532468835310566,0.42120263108660017,0.28998320461377697,-0.19429180516253167,3 days 08:21:34.736842104
BTC-USD,true,58,89,120,43.69747899159664,1.63298997041328,0.16390243902439025,0.9763933993504483,0.6994414763221286,4.958393113342898,9.875466284074605,4.841342307252725,2.3767190439212404,0,0,17425,726 days 02:00:00,1000.0,2792.825696308551,179.2825696308551,217.6032085517888,100.0,476.1455061874573,26.52852955083046,122 days 22:00:00,119,1,72.31558684166203,26.501915979999175,-5.166020401461222,4.679040268768716,-1.8973026784070133,4 days 20:30:00,1 days 22:34:55.522388059,14.45806814678058,1.6532938894600704,2.54748632369037,1.079626416903845,-0.07546896806338392,29.52674990572958,1.0520139044444512,0.37266640409610086,-0.004710305539929559,None,None,0.00006590091975718998,0.398568762691485,1.7928256963085736,0.42826029188622283,0.2901344904306618,-0.1761032807189216,3 days 05:08:04.033613444
BTC-USD,true,46,78,125,41.935483870967744,1.875037739547994,0.1707890961262554,1.014122949887088,0.6971760099699708,5.164992826398852,10.288665710186514,5.237937761253253,2.5804233000703927,0,0,17425,726 days 02:00:00,1000.0,3043.9061103818076,204.39061103818074,217.6032085517888,100.0,448.64723676652136,17.26123770066225,129 days 14:00:00,124,1,111.13567251080667,31.222290343342358,-6.4338413194664215,4.7511379914306655,-1.684832357894385,4 days 17:23:04.615384615,1 days 22:09:10,15.586858369927434,1.7789916896906854,4.344562446777435,1.0860786294167128,0.042904545513270886,30.17257342688564,1.0652409411862822,0.3739651502010566,-0.0046828446386479134,None,None,0.0000708218052077926,0.42833027789672967,2.0439061103818523,0.4715781290497367,0.28976839646411023,-0.06071876238195965,3 days 02:20:48.387096773
TRX-USD,false,19,72,123,38.21138211382114,1.9533796398473307,0.16942148760330578,1.1100734134977768,0.6953678586484808,5.082644628099174,10.165289256198347,5.642108671910188,2.718813987636969,0,0,17424,726 days 01:00:00,1000.0,3135.2183117299287,213.52183117299285,257.08125770866405,100.0,420.28894063065457,43.014491937467916,172 days 19:00:00,123,0,0.0,54.564517068732535,-6.230075859273495,5.301676864994638,-1.482102405191071,6 days 16:48:30.638297872,1 days 09:58:25.263157894,17.359498469349017,1.6497254308751192,1.8044590412144879,1.1011680569212787,11.424001123069738,515.3705998278396,0.9633711773101942,0.45803698435277385,-0.003937861456912519,None,None,0.00007418880929687064,0.4486939186274736,2.135218311729911,0.4867856283242755,0.3273291449300393,-0.16943835938843388,3 days 10:26:20.487804876
BTC-USD,true,48,86,115,42.98245614035088,1.616310799520206,0.1570157819225251,0.97949821974695,0.6901842503250007,4.751793400286944,9.462266857962698,4.654373176186367,2.2532291600926264,0,0,17425,726 days 02:00:00,1000.0,2629.593951389452,162.95939513894518,217.6032085517888,100.0,420.54373672638496,25.514012784667738,197 days 07:00:00,114,1,84.11897283435655,29.097931901545376,-6.326007357084588,4.9296345218698345,-1.9982968387764557,5 days 01:20:48.979591836,2 days 01:32:18.461538461,13.556798057500824,1.5642025929483974,2.452912368620373,1.0756493845202098,-0.030025422435743857,30.055057547036093,1.057127360679617,0.3697531834617198,-0.004684357755639942,None,None,0.00006247111491968799,0.377825303034273,1.6295939513894644,0.3987167016660693,0.29069944305083206,-0.25111676328907895,3 days 08:24:12.631578946
FTM-USD,true,27,46,195,38.97435897435898,1.5893673035038476,0.2979373567608862,1.0681313633547884,0.6824546751993604,8.938120702826586,17.87624140565317,9.54708705213982,2.302128096894539,0,0,15708,654 days 13:00:00,1000.0,4748.787384802219,374.8787384802219,60.717374629889065,100.0,678.2484974686072,35.55203665698468,236 days 21:00:00,195,0,0.0,44.337387137834156,-11.639560093733206,7.205114701918766,-2.8512865671566607,2 days 15:15:00,1 days 01:05:32.773109243,19.224550691293423,1.5133829114613166,3.892650147948201,1.0706248371542813,0.9818692980329818,18.84076941627281,1.1420921613420716,0.32632556568726784,-0.011437710858574583,None,None,0.00013267711997691582,0.8024312216203868,3.7487873848022124,0.821737745476887,0.6381241108218146,5.17415922156295,1 days 15:57:50.769230768
DOT-USD,false,45,85,75,31.08108108108108,1.3785557130727455,0.10251082251082251,1.5832532834462043,0.6707464637919083,3.116883116883117,6.1922077922077925,4.934815428923234,1.413881562947898,0,0,17325,721 days 22:00:00,1000.0,2211.7092029123005,121.17092029123002,-21.61681721391464,100.0,197.480193803526,44.487086022788816,242 days 22:00:00,74,1,219.66807476707754,91.99869533517382,-16.212653882517074,12.205705236173834,-3.207264263862334,9 days 11:57:23.478260869,2 days 05:21:10.588235294,13.405961191151654,0.9869228028441129,1.1099968318189875,1.0482509114298342,-0.04800700375360496,47.24972377612803,1.0495135600824825,0.3150664136622391,-0.008141567930132078,None,None,0.00006459936487111483,0.3906969587405025,1.211709202912294,0.3192723912385853,0.4764342877417807,6.605400605100777,4 days 11:37:17.837837836
