Ticker,Use SMA,SMA_FAST,SMA_SLOW,EMA_FAST,EMA_SLOW,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Sharpe Ratio,Calmar Ratio,Omega Ratio
ODFL,TRUE,73,85,,,76,54.66666667,3.883620197,8.976660682,2409.862687,1996.047882,0.1910233393,1,460.3400177,1.117312706,0,0,8355,8356 days 00:00:00,1000,154495.859,15349.5859,31483.55961,100,4661.215885,53.36569412,1185 days 00:00:00,75,1,-27243.84253,217.5445025,-23.64586142,24.14111274,-6.456647592,94 days 07:36:35.121951219,44 days 08:28:14.117647058,0.7400376163,0.4614888547,1.156068642
MNST,TRUE,35,38,,,233,47.63948498,1.520527541,23.67645564,2632.318446,1900.034774,0.4972055685,1,1308.80339,1.19390131,0,0,9841,9842 days 00:00:00,1000,614330.198,61333.0198,64473.60262,100,91645.10356,69.42459677,1441 days 00:00:00,233,0,0,267.2067376,-40.16000366,18.04504523,-6.965233111,31 days 20:45:24.324324324,16 days 00:35:24.590163934,0.6563947318,0.3872558195,1.222040707
CDNS,TRUE,49,74,,,69,57.35294118,2.811697958,7.186641302,2117.4662,1840.044158,0.1531388713,1,324.2663839,1.034396246,0,0,9462,9463 days 00:00:00,1000,152697.2337,15169.72337,15151.49994,100,4297.614565,57.73200879,1073 days 00:00:00,68,1,7709.532051,270.7787323,-38.51781224,28.2717611,-10.36078275,120 days 10:27:41.538461538,48 days 19:02:04.137931034,0.6951213668,0.3707483214,1.140706876
BKNG,TRUE,42,55,,,67,50.74626866,1.890062329,10.29976941,2383.185647,1832.390593,0.2162951576,1,515.4715151,1.349863309,0,0,6505,6506 days 00:00:00,1000,160673.4384,15967.34384,882.8999929,100,10156.21093,59.18237637,1507 days 00:00:00,67,0,0,218.0520312,-30.80434425,34.03072746,-8.078615414,86 days 02:49:24.705882354,31 days 02:54:32.727272727,0.8322391142,0.5571139622,1.206619375
IDXX,TRUE,72,80,,,87,59.77011494,2.599181506,10.30561478,2010.011536,1820.282129,0.2164179104,1,435.0024965,1.203681827,0,0,8442,8443 days 00:00:00,1000,175871.0036,17487.10036,43793.39857,100,6903.934494,65.53902049,1939 days 00:00:00,87,0,0,132.3596154,-38.88668215,19.39699958,-7.964088496,84 days 17:32:18.461538461,35 days 01:22:17.142857143,0.8040845247,0.3821204785,1.167172376
BA,TRUE,7,40,,,262,41.76245211,1.511650936,16.46064581,2727.047959,1725.578936,0.3469979818,1,946.2801383,1.073089582,0,0,15856,15857 days 00:00:00,1000,791331.0957,79033.10957,21037.37275,100,93242.83326,54.08974576,2156 days 00:00:00,261,1,78571.57827,118.8298417,-18.61294118,15.3364242,-4.807629615,59 days 23:33:34.678899082,13 days 18:37:53.684210526,0.6996605059,0.3069793208,1.148720393
KLAC,FALSE,,,57,72,45,44.44444444,3.287350268,4.036960617,3530.929862,1621.179918,0.08477617296,1,299.3387207,0.8909208111,0,0,11147,11148 days 00:00:00,1000,159891.8438,15889.18438,55667.35114,100,2570.225264,82.30281293,3666 days 00:00:00,45,0,0,584.9285714,-24.66530612,80.08790729,-12.73782636,270 days 20:24:00,59 days 20:09:36,0.598733278,0.2196098165,1.122494042
TSLA,TRUE,10,20,,,100,42.42424242,2.161653203,27.13072075,2427.094829,1560.116052,0.575500137,2,1396.793407,2.335499532,0,0,3649,3650 days 00:00:00,1000,400924.4491,39992.44491,27002.96679,100,11004.58157,68.09828928,655 days 00:00:00,99,1,159642.061,304.8171544,-18.82015388,31.8399252,-6.377958777,34 days 04:00:00,10 days 07:09:28.421052631,1.442142758,1.205587584,1.337608206
ROST,FALSE,,,25,45,74,50,1.97080088,7.435691318,2001.359803,1516.181669,0.1561495177,1,312.5113679,1.053083381,0,0,9952,9953 days 00:00:00,1000,149100.6254,14810.06254,25606.34344,100,8315.694449,65.77245649,1569 days 00:00:00,74,0,0,182.4131542,-27.44554021,28.14836018,-8.2388856,141 days 09:43:47.027027028,29 days 07:08:06.486486486,0.7014263354,0.3062870926,1.145589856
CDNS,FALSE,,,12,88,70,44.92753623,3.051738113,7.292327204,2195.371565,1494.433872,0.1553582752,1,341.0691398,1.075661906,0,0,9462,9463 days 00:00:00,1000,159557.3829,15855.73829,15151.49994,100,4236.84452,68.00217233,2525 days 00:00:00,69,1,7076.744927,318.1288706,-18.0915023,35.04567974,-6.998973493,167 days 04:38:42.580645160,26 days 06:18:56.842105263,0.7189145598,0.3177840933,1.143756284
INTC,TRUE,68,75,,,130,56.58914729,1.532188639,11.42604074,1725.090557,1479.112176,0.2418069088,1,417.1388149,0.9642950494,0,0,11290,11291 days 00:00:00,1000,181113.1077,18011.31077,6136.156721,100,22019.36193,57.19125459,2372 days 00:00:00,129,1,-42423.57416,138.2203222,-35.76222826,17.10655645,-7.839002436,63 days 08:13:09.041095890,30 days 14:34:17.142857143,0.6550345778,0.3200131419,1.138127284
PAYX,FALSE,,,32,70,56,43.63636364,1.710007153,5.279324246,2648.872317,1459.433784,0.1128815512,1,299.008816,1.109271716,0,0,10418,10419 days 00:00:00,1000,166977.8088,16597.78088,67786.28825,100,9886.051802,58.06028267,5212 days 00:00:00,55,1,20289.83132,314.5543311,-18.45104035,46.58682536,-6.631805539,220 days 21:00:00,49 days 01:32:54.193548387,0.734355868,0.3382127258,1.151676953
KLAC,FALSE,,,47,56,61,51.66666667,2.541740199,5.369608019,1990.183871,1416.338384,0.1146411312,1,228.1569302,0.8579601932,0,0,11174,11175 days 00:00:00,1000,119950.6388,11895.06388,64565.947,100,3236.796926,78.6154665,2701 days 00:00:00,60,1,-460.393409,294.853664,-26.22741314,40.92401194,-11.65771176,184 days 06:11:36.774193548,40 days 11:35:10.344827586,0.5757310002,0.2152795324,1.117852634
NKE,TRUE,12,53,,,111,52.25225225,1.604521911,9.966777409,1687.291037,1335.829649,0.2093023256,1,353.1539379,1.137838047,0,0,11137,11138 days 00:00:00,1000,188289.3051,18728.93051,38121.80544,100,19573.26576,44.98506149,1490 days 00:00:00,111,0,0,105.408405,-20.51862173,18.05913802,-6.688277989,92 days 21:06:12.413793104,25 days 00:54:20.377358490,0.7465359896,0.4162823463,1.156953627
FAST,TRUE,66,86,,,64,65.07936508,2.072869108,6.69358266,1380.189632,1299.076559,0.1427964301,1,197.0861523,1.03533477,0,0,9412,9413 days 00:00:00,1000,93429.95773,9242.995773,115527.6138,100,5205.019455,57.64679852,2967 days 00:00:00,63,1,5478.010914,91.37611756,-28.49249216,18.50071611,-8.430366989,114 days 16:58:32.195121950,57 days 03:16:21.818181818,0.7024563007,0.3336895509,1.144492759
