Date,Returns,Returns_Pct
2015-03-05,0.00030998380174711385,0.030998380174711387
2015-03-06,-0.0003469436005394613,-0.03469436005394613
2015-03-09,0.0016960349431805496,0.16960349431805496
2015-03-10,0.00021590888349880385,0.021590888349880384
2015-03-11,0.00046310184156713634,0.04631018415671363
2015-03-12,-0.00020293283057114408,-0.02029328305711441
2015-03-13,-0.0009038132908067176,-0.09038132908067176
2015-03-16,0.000525617087511927,0.0525617087511927
2015-03-17,-0.0004946416794368259,-0.049464167943682594
2015-03-18,-0.00289709759289007,-0.289709759289007
2015-03-19,0.0004449198597602005,0.04449198597602005
2015-03-20,9.855691797944418e-06,0.0009855691797944419
2015-03-23,-4.123313797246454e-06,-0.00041233137972464544
2015-03-24,-1.8605053228071733e-05,-0.0018605053228071733
2015-03-25,-5.571587519767947e-05,-0.005571587519767947
