Short Window,Long Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio
24,48,0,1824,1825 days 00:00:00,1000.0,3930.2723210334916,293.0272321033492,1038.250346822019,100.0,136.42775762477453,55.085697603154635,473 days 00:00:00,17,17,0,0.0,47.05882352941176,105.3368767747163,-21.319433936612125,37.943444184218265,-10.197745872012181,126 days 09:00:00,18 days 08:00:00,1.6701122909160766,172.36896006079354,0.77022794154989,0.5716096858629233,1.133809461887787,1.1589833015298774
28,41,0,1824,1825 days 00:00:00,1000.0,3928.5804462560955,292.8580446256095,1038.250346822019,100.0,119.4463806779063,50.80003019466899,498 days 00:00:00,16,16,0,0.0,50.0,97.03183167488427,-21.31943393661213,37.126793360140276,-11.104270833836525,125 days 15:00:00,20 days 12:00:00,1.7315663867748825,183.0362778910059,0.7706807556509855,0.6196097891238297,1.1344566488182424,1.159198707391731
28,36,0,1824,1825 days 00:00:00,1000.0,3909.7477287103,290.97477287103,1038.250346822019,100.0,120.56590809179583,49.99616557017587,497 days 00:00:00,17,17,0,0.0,47.05882352941176,102.64638852871157,-16.952526509761263,38.04257622055206,-10.831396734867326,123 days 21:00:00,18 days 16:00:00,1.6945529129513182,171.1616311006059,0.7698633323862117,0.6270460916518501,1.1346788456178691,1.157712818354001
32,39,0,1824,1825 days 00:00:00,1000.0,3902.380385404142,290.2380385404142,1038.250346822019,100.0,128.59689557691942,51.797580405959664,523 days 00:00:00,17,17,0,0.0,47.05882352941176,99.64781354210042,-18.648965994801237,36.56011413093565,-9.343112765261509,126 days 00:00:00,18 days 13:20:00,1.7759193876462656,170.72825796494956,0.7683558348891708,0.6042822987856309,1.1338788724039122,1.154763896988417
30,41,0,1824,1825 days 00:00:00,1000.0,3898.0420478335923,289.80420478335924,1038.250346822019,100.0,130.20096238487983,52.225113513488175,523 days 00:00:00,17,17,0,0.0,47.05882352941176,99.64781354210042,-21.319433936612125,37.06465395144971,-9.703285834799008,126 days 03:00:00,18 days 13:20:00,1.727821026946529,170.47306163727015,0.7679205957851194,0.5987761850573813,1.1337698002431875,1.1542367411667345
27,37,0,1824,1825 days 00:00:00,1000.0,3890.020266601019,289.00202666010193,1038.250346822019,100.0,122.38770998243344,49.99616557017587,490 days 00:00:00,17,17,0,0.0,47.05882352941176,102.64638852871157,-16.952526509761285,38.034243792322805,-10.831396734867333,124 days 00:00:00,18 days 16:00:00,1.6823411000944548,170.00119215300106,0.7677452459728069,0.624389505946591,1.1341884456079436,1.1549810431681038
33,35,0,1824,1825 days 00:00:00,1000.0,3883.6507776284875,288.3650777628488,1038.250346822019,100.0,119.05981529031723,50.80003019466896,497 days 00:00:00,16,16,0,0.0,50.0,97.03183167488429,-21.319433936612135,37.457692899286705,-11.471454247962756,125 days 09:00:00,20 days 18:00:00,1.7012747369051073,180.22817360178044,0.7664538869458597,0.6136626703279464,1.1336616855049606,1.152399929074864
28,43,0,1824,1825 days 00:00:00,1000.0,3880.4094360836066,288.0409436083607,1038.250346822019,100.0,130.3325166895432,52.22767359745001,523 days 00:00:00,17,17,0,0.0,47.05882352941176,99.64781354210044,-21.31943393661212,36.992586792365024,-9.757396448695067,125 days 18:00:00,18 days 13:20:00,1.7205435562446743,169.4358491813886,0.7663413690190674,0.5964688225630593,1.1335924536135913,1.151919054707553
31,34,0,1824,1825 days 00:00:00,1000.0,3879.1900905990624,287.9190090599062,1038.250346822019,100.0,119.4831455959451,48.64558106904169,500 days 00:00:00,17,17,0,0.0,47.05882352941176,102.64638852871157,-16.952526509761277,37.67210028643531,-10.623790307760409,124 days 06:00:00,19 days 02:40:00,1.715072464627716,169.3641229764154,0.766069919648681,0.6402212664641292,1.1336239315033783,1.1537535125308098
32,33,0,1824,1825 days 00:00:00,1000.0,3879.1900905990624,287.9190090599062,1038.250346822019,100.0,119.4831455959451,48.64558106904169,500 days 00:00:00,17,17,0,0.0,47.05882352941176,102.64638852871157,-16.952526509761277,37.67210028643531,-10.623790307760409,124 days 06:00:00,19 days 02:40:00,1.715072464627716,169.3641229764154,0.766069919648681,0.6402212664641292,1.1336239315033783,1.1537535125308098
29,42,0,1824,1825 days 00:00:00,1000.0,3878.0578239360543,287.8057823936054,1038.250346822019,100.0,129.71386985893966,52.22511351348816,523 days 00:00:00,17,17,0,0.0,47.05882352941176,99.64781354210042,-21.319433936612143,37.06465395144971,-9.756870752642183,126 days 03:00:00,18 days 16:00:00,1.7221397488677994,169.297519055062,0.7660551006978349,0.5961936090565065,1.1334033776770387,1.1514247891497935
29,41,0,1824,1825 days 00:00:00,1000.0,3874.8217954632987,287.48217954632986,1038.250346822019,100.0,117.20256179514291,50.410418585729055,523 days 00:00:00,16,16,0,0.0,50.0,99.64781354210044,-21.31943393661212,36.992586792365024,-10.965804336031889,125 days 18:00:00,20 days 15:00:00,1.7374297842305777,179.67636221645614,0.7658376472756968,0.6172213453885541,1.1335323711640177,1.1512720254842574
32,38,0,1824,1825 days 00:00:00,1000.0,3865.3502427274543,286.53502427274543,1038.250346822019,100.0,130.2391556661769,52.22767359745001,523 days 00:00:00,17,17,0,0.0,47.05882352941176,99.64781354210044,-21.319433936612135,37.026060629567766,-9.823413909279802,125 days 21:00:00,18 days 08:00:00,1.7114589018922226,168.55001427808554,0.7649358871888664,0.5945167129516278,1.1333530162765426,1.1498143895915096
26,40,0,1824,1825 days 00:00:00,1000.0,3860.5525325871067,286.05525325871065,1038.250346822019,100.0,120.56078198267691,50.32805998420914,500 days 00:00:00,17,17,0,0.0,47.05882352941176,102.64638852871157,-16.7756913453533,37.20680444347745,-10.352889252957539,124 days 09:00:00,19 days 00:00:00,1.7269187288324033,168.26779603453568,0.7643076693226212,0.6163097984846536,1.1332888859612382,1.1509802626883967
27,44,0,1824,1825 days 00:00:00,1000.0,3855.7651488305924,285.5765148830592,1038.250346822019,100.0,129.94602631121546,52.22767359745001,523 days 00:00:00,17,17,0,0.0,47.05882352941176,99.64781354210044,-21.319433936612114,36.99258679236502,-9.8234139092798,125 days 18:00:00,18 days 08:00:00,1.7106559842118174,167.986185225329,0.7640331070694775,0.5932710349104056,1.1331891297763137,1.148441340204893
21,43,0,1824,1825 days 00:00:00,1000.0,3852.8995652428534,285.28995652428534,1038.250346822019,100.0,130.7425352915498,50.95444642608983,497 days 00:00:00,20,20,0,0.0,45.0,117.65173743027188,-16.775691345353316,35.970183579249706,-9.954918228265285,109 days 21:20:00,15 days 00:00:00,1.6857813532511943,142.6449782621426,0.7647428028073713,0.6077132194675026,1.133942722268722,1.1511164698544292
30,45,0,1824,1825 days 00:00:00,1000.0,3841.190260885751,284.1190260885751,1038.250346822019,100.0,97.49110967876491,52.898157389553724,626 days 00:00:00,15,15,0,0.0,53.333333333333336,90.78474343513298,-18.648965994801227,34.60018679106177,-10.66569591049458,132 days 12:00:00,18 days 13:42:51.428571428,1.9496117754874394,189.41268405905006,0.7612561613056922,0.5838764899726933,1.1315347644999585,1.1419629968749019
34,41,0,1824,1825 days 00:00:00,1000.0,3839.0222995487857,283.9022299548786,1038.250346822019,100.0,86.86092491653405,51.42444825369957,623 days 00:00:00,14,14,0,0.0,57.14285714285714,90.78474343513298,-18.648965994801237,33.0045022495627,-11.108936135570364,132 days 12:00:00,21 days 20:00:00,2.0793790719589347,202.78730711062747,0.7608975786507347,0.6003217109317431,1.1314506204516792,1.141205328044925
35,40,0,1824,1825 days 00:00:00,1000.0,3839.0222995487857,283.9022299548786,1038.250346822019,100.0,86.86092491653405,51.42444825369957,623 days 00:00:00,14,14,0,0.0,57.14285714285714,90.78474343513298,-18.648965994801237,33.0045022495627,-11.108936135570364,132 days 12:00:00,21 days 20:00:00,2.0793790719589347,202.78730711062747,0.7608975786507347,0.6003217109317431,1.1314506204516792,1.141205328044925
36,39,0,1824,1825 days 00:00:00,1000.0,3839.0222995487857,283.9022299548786,1038.250346822019,100.0,86.86092491653405,51.42444825369957,623 days 00:00:00,14,14,0,0.0,57.14285714285714,90.78474343513298,-18.648965994801237,33.0045022495627,-11.108936135570364,132 days 12:00:00,21 days 20:00:00,2.0793790719589347,202.78730711062747,0.7608975786507347,0.6003217109317431,1.1314506204516792,1.141205328044925
37,38,0,1824,1825 days 00:00:00,1000.0,3839.0222995487857,283.9022299548786,1038.250346822019,100.0,86.86092491653405,51.42444825369957,623 days 00:00:00,14,14,0,0.0,57.14285714285714,90.78474343513298,-18.648965994801237,33.0045022495627,-11.108936135570364,132 days 12:00:00,21 days 20:00:00,2.0793790719589347,202.78730711062747,0.7608975786507347,0.6003217109317431,1.1314506204516792,1.141205328044925
31,38,0,1824,1825 days 00:00:00,1000.0,3832.316818821726,283.2316818821726,1038.250346822019,100.0,115.88512069533829,50.907858096909585,523 days 00:00:00,16,16,0,0.0,50.0,97.03183167488427,-21.319433936612118,36.665589058962986,-10.941397022615087,125 days 15:00:00,20 days 18:00:00,1.7364968938354872,177.01980117635796,0.761843216244092,0.6055148328511075,1.132834359932414,1.1451832852995252
32,37,0,1824,1825 days 00:00:00,1000.0,3832.316818821726,283.2316818821726,1038.250346822019,100.0,115.88512069533829,50.907858096909585,523 days 00:00:00,16,16,0,0.0,50.0,97.03183167488427,-21.319433936612118,36.665589058962986,-10.941397022615087,125 days 15:00:00,20 days 18:00:00,1.7364968938354872,177.01980117635796,0.761843216244092,0.6055148328511075,1.132834359932414,1.1451832852995252
33,36,0,1824,1825 days 00:00:00,1000.0,3832.316818821726,283.2316818821726,1038.250346822019,100.0,115.88512069533829,50.907858096909585,523 days 00:00:00,16,16,0,0.0,50.0,97.03183167488427,-21.319433936612118,36.665589058962986,-10.941397022615087,125 days 15:00:00,20 days 18:00:00,1.7364968938354872,177.01980117635796,0.761843216244092,0.6055148328511075,1.132834359932414,1.1451832852995252
34,35,0,1824,1825 days 00:00:00,1000.0,3832.316818821726,283.2316818821726,1038.250346822019,100.0,115.88512069533829,50.907858096909585,523 days 00:00:00,16,16,0,0.0,50.0,97.03183167488427,-21.319433936612118,36.665589058962986,-10.941397022615087,125 days 15:00:00,20 days 18:00:00,1.7364968938354872,177.01980117635796,0.761843216244092,0.6055148328511075,1.132834359932414,1.1451832852995252
26,46,0,1824,1825 days 00:00:00,1000.0,3829.392621544214,282.9392621544214,1038.250346822019,100.0,128.9925016141462,52.75849189286802,523 days 00:00:00,17,17,0,0.0,47.05882352941176,99.64781354210042,-21.31943393661213,36.71869317555283,-9.686309666343892,126 days 03:00:00,18 days 16:00:00,1.7133114574038593,166.4348600908362,0.7614710321446426,0.5838963750918938,1.132508357721728,1.1445148988350375
29,34,0,1824,1825 days 00:00:00,1000.0,3829.259203297154,282.9259203297154,1038.250346822019,100.0,130.17632909848288,50.85374217811456,490 days 00:00:00,19,19,0,0.0,42.10526315789473,117.65173743027191,-16.952526509761277,41.06108694642924,-10.294913279568057,119 days 18:00:00,17 days 21:49:05.454545454,1.6077609036033869,148.9083791209028,0.7631956130987203,0.6057485520575979,1.133512001160542,1.1469826878359213
29,35,0,1824,1825 days 00:00:00,1000.0,3822.185851634122,282.21858516341223,1038.250346822019,100.0,118.52652150347322,49.996165570175854,497 days 00:00:00,17,17,0,0.0,47.05882352941176,102.64638852871157,-16.952526509761277,38.004694887903774,-11.037285492336178,124 days 00:00:00,18 days 18:40:00,1.6774227189378965,166.010932449066,0.7615858686016727,0.615171594325032,1.1330563456679401,1.1451222538619699
30,34,0,1824,1825 days 00:00:00,1000.0,3822.185851634122,282.21858516341223,1038.250346822019,100.0,118.52652150347322,49.996165570175854,497 days 00:00:00,17,17,0,0.0,47.05882352941176,102.64638852871157,-16.952526509761277,38.004694887903774,-11.037285492336178,124 days 00:00:00,18 days 18:40:00,1.6774227189378965,166.010932449066,0.7615858686016727,0.615171594325032,1.1330563456679401,1.1451222538619699
33,43,0,1824,1825 days 00:00:00,1000.0,3816.5365423747867,281.65365423747863,1038.250346822019,100.0,86.3450433381915,51.42444825369957,623 days 00:00:00,14,14,0,0.0,57.14285714285714,90.78474343513298,-18.648965994801227,32.935031274544336,-11.108936135570362,132 days 18:00:00,21 days 20:00:00,2.077433464914197,201.18118159819903,0.7587535958302539,0.5973335000157133,1.1309561510807047,1.1379022987702299
31,33,0,1824,1825 days 00:00:00,1000.0,3809.344750492836,280.93447504928355,1038.250346822019,100.0,118.29583081537244,50.16415957159026,497 days 00:00:00,17,17,0,0.0,47.05882352941176,102.64638852871157,-16.952526509761277,38.00469488790378,-11.074435273150348,124 days 00:00:00,18 days 21:20:00,1.6738897453268786,165.25557355840215,0.760362140321718,0.6113576811354748,1.132813859607082,1.1432916673220792
22,42,0,1824,1825 days 00:00:00,1000.0,3783.8401964586333,278.38401964586336,1038.250346822019,100.0,131.28828755694397,50.95444642608983,497 days 00:00:00,20,20,0,0.0,45.0,117.65173743027187,-16.95252650976129,35.970183579249706,-10.062188753501317,109 days 21:20:00,15 days 02:10:54.545454545,1.6418948452646287,139.1920098229316,0.758120036940912,0.598432606964018,1.1325902990716334,1.140664010321855
23,41,0,1824,1825 days 00:00:00,1000.0,3783.8401964586333,278.38401964586336,1038.250346822019,100.0,131.28828755694397,50.95444642608983,497 days 00:00:00,20,20,0,0.0,45.0,117.65173743027187,-16.95252650976129,35.970183579249706,-10.062188753501317,109 days 21:20:00,15 days 02:10:54.545454545,1.6418948452646287,139.1920098229316,0.758120036940912,0.598432606964018,1.1325902990716334,1.140664010321855
32,44,0,1824,1825 days 00:00:00,1000.0,3767.0801024538846,276.70801024538844,1038.250346822019,100.0,85.75193560388851,51.42444825369957,623 days 00:00:00,14,14,0,0.0,57.14285714285714,90.78474343513298,-18.648965994801234,32.64981823302636,-11.108936135570364,132 days 15:00:00,21 days 20:00:00,2.068669931452012,197.648578746706,0.7540674685674014,0.5907111742862239,1.1301361332004645,1.1308146695927102
30,47,0,1824,1825 days 00:00:00,1000.0,3761.8380320484066,276.1838032048407,1038.250346822019,100.0,84.02858485330978,51.42444825369957,631 days 00:00:00,14,14,0,0.0,57.14285714285714,90.78474343513298,-18.648965994801237,33.198190513104215,-11.668209223723824,133 days 00:00:00,22 days 00:00:00,2.0466823901083004,197.27414514631474,0.75336623627039,0.5900051799911178,1.1297359293091442,1.1297107715689592
