Metric Type,Short Window,Long Window,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio,Expectancy Adjusted,Beats BNH [%],Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Current
Least Omega Ratio,21,35,21,0,3486,145 days 07:00:00,1000.0,832.7660036142266,-16.723399638577334,75.20772197369439,100.0,130.61680980218858,16.748213244395618,145 days 06:00:00,71,71,0,0.0,12.676056338028168,0.26152790085657623,-1.2502222591764618,0.07986255645776245,-0.30624950064430817,0 days 01:00:00,0 days 01:00:00,0.03736768662626156,-2.3554083997996202,-10.496281688283714,-2.200534760852585,0.11295555933040503,-10.703282776572193,-0.4523831753776479,-1.222362799985176,488.81239242685024,10.265060240963855,21,-24.178409116015377,0
Mean Omega Ratio,9,28,19,0,3486,145 days 07:00:00,1000.0,801.8874220644043,-19.81125779355957,75.20772197369439,100.0,203.51276107607453,19.811257793559502,145 days 06:00:00,114,114,0,0.0,23.684210526315788,1.3602366737514942,-1.163214029285689,0.28989149014185234,-0.3427426767980536,0 days 01:00:00,0 days 01:00:00,0.2604308613807742,-1.7378296310139971,-7.872554284503727,-2.148938388060877,0.3332396119371569,-10.080312601488428,-0.6236230733303817,-1.263420527489039,784.8537005163512,16.481927710843376,33,-28.64278235213432,0
Mean Sharpe Ratio,10,15,34,0,3486,145 days 07:00:00,1000.0,784.1259391836569,-21.58740608163431,75.20772197369439,100.0,199.87960399241663,21.671395948914178,145 days 06:00:00,112,112,0,0.0,22.321428571428573,1.360236673751483,-1.8897727468254675,0.26202489859359956,-0.35375174306208595,0 days 01:00:00,0 days 01:00:00,0.2129567543269543,-1.9274469715744922,-8.456419110939272,-2.1094772240262443,0.2824480961870675,-10.162603498010553,-0.6518692409275204,-1.2870370955948514,771.0843373493976,16.19277108433735,33,-31.210707587905027,0
Mean Avg Losing Trade [%],22,31,5,0,3486,145 days 07:00:00,1000.0,770.0583122842146,-22.99416877157854,75.20772197369439,100.0,247.3549702264801,23.01523831308721,140 days 06:00:00,139,139,0,0.0,26.618705035971225,1.4748066639955644,-1.2720543138378133,0.21741135039851214,-0.33419159093481143,0 days 01:00:00,0 days 01:00:00,0.24520119875092689,-1.6542567461567297,-9.292913445062922,-2.09117274369051,0.3232641444380471,-11.606757934413166,-0.667184429995629,-1.30574212551766,956.9707401032703,20.096385542168672,41,-33.2445813564991,0
Mean Total Return [%],10,12,25,0,3486,145 days 07:00:00,1000.0,766.318575283854,-23.3681424716146,75.20772197369439,100.0,249.8764884926871,23.649647128151766,139 days 03:00:00,143,143,0,0.0,27.972027972027973,1.3602366737514877,-1.5672007180090275,0.22967767407859838,-0.34660319397586964,0 days 01:00:00,0 days 01:00:00,0.25755835435119956,-1.6341358371758459,-8.722714866117448,-2.0617373010033626,0.34606548853228875,-10.776488288762154,-0.6925771719329714,-1.310714669429665,984.5094664371773,20.674698795180724,42,-33.78526622402111,0
Median Sharpe Ratio,4,34,24,0,3486,145 days 07:00:00,1000.0,765.1052485685627,-23.489475143143725,75.20772197369439,100.0,271.71539293954703,23.489475143143796,145 days 06:00:00,152,151,1,-0.7651052485684886,23.841059602649008,1.4748066639955608,-0.9970092125101568,0.2700672365818515,-0.31569069802433214,0 days 01:00:00,0 days 01:00:00,0.2798855764206224,-1.5505274581646948,-9.158652882418684,-2.084462506310036,0.34841575452151574,-11.994378055095433,-0.5600942052370963,-1.3123279701432746,1039.5869191049912,21.97590361445783,44,-34.07424197219763,1
Mean Max Drawdown [%],4,29,35,0,3486,145 days 07:00:00,1000.0,762.3565597290798,-23.764344027092022,75.20772197369439,100.0,248.69437778310015,23.764344027091965,145 days 06:00:00,139,139,0,0.0,25.899280575539567,1.4748066639955746,-1.8897727468254675,0.2106152612195445,-0.3361030022445481,0 days 01:00:00,0 days 01:00:00,0.22878315973956076,-1.7096650379202936,-9.117116131531423,-2.079682873617195,0.3086492154220016,-11.005860350190185,-0.6708953713225482,-1.3159827661766452,956.9707401032703,20.096385542168672,41,-34.35808775001264,0
Median Omega Ratio,7,17,23,0,3486,145 days 07:00:00,1000.0,761.7496598168951,-23.825034018310486,75.20772197369439,100.0,253.63866553057642,23.825034018310543,145 days 06:00:00,144,144,0,0.0,29.166666666666668,1.3602366737514788,-1.567200718009035,0.18452686213518224,-0.3418705836877286,0 days 01:00:00,0 days 01:00:00,0.22555700370560045,-1.6545162512715625,-9.31971657407989,-2.0786282764740522,0.3211595826869999,-11.116305651774478,-0.7311624847790996,-1.316789731068358,991.394148020654,20.819277108433734,42,-34.44583231562964,0
Median Total Return [%],10,13,20,0,3486,145 days 07:00:00,1000.0,753.2117645299643,-24.678823547003574,75.20772197369439,100.0,243.88652460203554,24.678823547003628,145 days 06:00:00,141,141,0,0.0,25.53191489361702,1.3602366737514817,-1.4349347222445674,0.2021975079212113,-0.33839343511633313,0 days 01:00:00,0 days 01:00:00,0.2023298732681741,-1.7502711735463514,-9.933440699156877,-2.0638200928135166,0.2939356186869769,-11.681558242497825,-0.6770874946020702,-1.3281421494941112,970.7401032702237,20.3855421686747,41,-35.6802268149449,0
Median Max Drawdown [%],9,16,31,0,3486,145 days 07:00:00,1000.0,752.797608682326,-24.720239131767404,75.20772197369439,100.0,211.00902143571722,24.72023913176739,145 days 06:00:00,122,122,0,0.0,18.852459016393443,1.3602366737514906,-1.5315494189524144,0.3108097118524513,-0.35800174415273994,0 days 01:00:00,0 days 01:00:00,0.20239776980843577,-2.026249109161264,-9.417163967006074,-2.0631031066110967,0.2632275200854307,-11.293785843198295,-0.5787845195070674,-1.3286928321059088,839.9311531841652,17.63855421686747,36,-35.740104768820366,0
Mean Total Fees Paid,24,30,5,0,3486,145 days 07:00:00,1000.0,747.6894327806108,-25.23105672193892,75.20772197369439,100.0,242.933119817231,25.231056721938945,145 days 06:00:00,139,138,1,-0.7476894327804757,24.637681159420293,1.3114182044613314,-1.1632140292856863,0.19616631463577955,-0.34201191600627395,0 days 01:00:00,0 days 01:00:00,0.19328457121817272,-1.8229194042507864,-10.842023357552188,-2.0542699673577762,0.2708878459107849,-12.623963091318396,-0.6804925312310798,-1.3354849217579554,950.0860585197935,20.096385542168672,41,-36.634091160124235,1
Median Total Trades,5,27,33,0,3486,145 days 07:00:00,1000.0,747.3477700990668,-25.26522299009332,75.20772197369439,100.0,229.09882854596265,25.265222990093207,145 days 06:00:00,130,130,0,0.0,24.615384615384617,1.3114182044613223,-1.8897727468254761,0.19572174737323583,-0.36013130562200074,0 days 01:00:00,0 days 01:00:00,0.1838457760221711,-1.9434786915456392,-10.07366227434709,-2.0536798280532422,0.26134487103482307,-11.49709836432443,-0.7248405376393993,-1.3359392137808723,895.0086058519794,18.795180722891565,38,-36.52803323868912,0
Median Total Fees Paid,10,32,12,0,3486,145 days 07:00:00,1000.0,744.099764104988,-25.5900235895012,75.20772197369439,100.0,223.87931102401203,25.59002358950122,145 days 06:00:00,130,130,0,0.0,22.30769230769231,1.3602366737514784,-1.5672007180090268,0.2387162793160224,-0.3602440919189579,0 days 01:00:00,0 days 01:00:00,0.1863140050516943,-1.968463353038557,-10.055185223336277,-2.0480738828066505,0.2614229049059941,-11.787408871379927,-0.6653314363417034,-1.3402579272172597,895.0086058519794,18.795180722891565,38,-36.99762446674878,0
Mean Calmar Ratio,8,32,14,0,3486,145 days 07:00:00,1000.0,743.9598529280635,-25.604014707193652,75.20772197369439,100.0,233.95712185775514,25.73541899138422,140 days 19:00:00,135,135,0,0.0,21.48148148148148,1.3602366737514684,-1.5672007180090208,0.22848978020175476,-0.3406913649635133,0 days 01:00:00,0 days 01:00:00,0.18186563719578172,-1.8965936820143463,-10.349926199484814,-2.037376399461769,0.2593182937412779,-12.16448343338672,-0.6172976069406964,-1.3404439602112832,929.4320137693632,19.518072289156624,40,-37.017852588713744,0
Median Calmar Ratio,11,15,26,0,3486,145 days 07:00:00,1000.0,738.6201277917654,-26.13798722082346,75.20772197369439,100.0,208.67912284864926,26.137987220823412,145 days 06:00:00,121,121,0,0.0,17.355371900826448,1.3602366737514713,-1.5672007180090213,0.31663456241472177,-0.36833858411152387,0 days 01:00:00,0 days 01:00:00,0.1817490646781419,-2.160164233125905,-9.634148632969847,-2.0386334579884546,0.2382618143253811,-11.271604628033772,-0.5680371762539946,-1.3475439294646607,833.0464716006885,17.49397590361446,35,-37.78986104215439,0
Median Best Trade [%],7,21,25,0,3486,145 days 07:00:00,1000.0,734.0508300678231,-26.594916993217694,75.20772197369439,100.0,222.93813262630593,26.594916993217705,145 days 06:00:00,130,130,0,0.0,19.230769230769234,1.3602366737514842,-1.2720543138378095,0.29306127712123214,-0.36325377842266027,0 days 01:00:00,0 days 01:00:00,0.19195603580274828,-2.0457628456321393,-10.21706745738834,-2.030777965682273,0.254151491708472,-12.257935923901139,-0.59608474523081,-1.3536194993716186,895.0086058519794,18.795180722891565,38,-38.45048239983298,0
Mean Total Trades,5,18,35,0,3486,145 days 07:00:00,1000.0,729.8631344471186,-27.013686555288142,75.20772197369439,100.0,242.88522964267955,27.2132040446665,140 days 06:00:00,142,142,0,0.0,21.830985915492956,0.5043996745573663,-1.2720543138378044,0.14240238712443734,-0.3229088710434686,0 days 01:00:00,0 days 01:00:00,0.12540575163384626,-1.9023722926259263,-12.942354400402289,-2.008755541892655,0.2113143236883596,-13.945698144945235,-0.6292524655506158,-1.359187671775736,977.6247848537005,20.53012048192771,42,-39.05593236909131,0
Median Expectancy,7,8,28,0,3486,145 days 07:00:00,1000.0,715.4326277653826,-28.456737223461744,75.20772197369439,100.0,281.4507098445977,29.085980716442034,145 days 06:00:00,170,170,0,0.0,24.11764705882353,2.234072499632178,-1.5879961967686422,0.26445937823140236,-0.34255053316689765,0 days 01:00:00,0 days 01:00:00,0.23479335259612308,-1.6739257190271633,-9.459248601175558,-1.955681760764895,0.3244564340098122,-11.533368092801863,-0.6116840862755231,-1.378375205054278,1170.3958691910498,24.57831325301205,50,-41.14227068452305,0
Least Avg Losing Trade [%],16,19,13,0,3486,145 days 07:00:00,1000.0,709.699932955124,-29.030006704487597,75.20772197369439,100.0,205.19103315878553,29.030006704487583,145 days 06:00:00,123,123,0,0.0,19.51219512195122,1.3602366737514722,-1.5672007180090213,0.2750436302329486,-0.4117339136407887,0 days 01:00:00,0 days 01:00:00,0.15633878408524107,-2.360163146706303,-10.193018097108908,-1.98916986250216,0.22001985579890054,-11.59705005713831,-0.6977570278510874,-1.3859976867088395,846.815834767642,17.783132530120483,36,-41.97109403058438,0
Least Expectancy,14,15,19,0,3486,145 days 07:00:00,1000.0,702.6427028537111,-29.735729714628896,75.20772197369439,100.0,205.94813667351406,29.73572971462887,145 days 06:00:00,123,123,0,0.0,17.88617886178862,1.3114182044613232,-1.5672007180090295,0.22498653456396006,-0.3972869208290409,0 days 01:00:00,0 days 01:00:00,0.1222620352391785,-2.4175390011893407,-11.16859839949264,-1.9771922026220665,0.18270185755472446,-12.223802059570227,-0.6551596209185204,-1.3953813376375053,846.815834767642,17.783132530120483,36,-42.99141645488515,0
Median Sortino Ratio,3,15,22,0,3486,145 days 07:00:00,1000.0,692.714053402666,-30.728594659733403,75.20772197369439,100.0,319.19862830115727,31.376981823355525,145 days 06:00:00,193,193,0,0.0,24.870466321243523,2.234072499632171,-2.462088357912229,0.2663339319306014,-0.3401102333979762,0 days 01:00:00,0 days 01:00:00,0.2534939033254543,-1.5921551637167515,-9.181461130063001,-1.9198925239772184,0.3386707243946536,-10.915040011240048,-0.5999642632941127,-1.4085829733079993,1328.7435456110154,27.903614457831328,56,-44.42688384539755,0
Median Profit Factor,3,17,21,0,3486,145 days 07:00:00,1000.0,679.7405444670623,-32.02594555329378,75.20772197369439,100.0,318.00959894746546,32.47286868104379,145 days 06:00:00,192,192,0,0.0,24.479166666666664,2.234072499632174,-2.46208835791222,0.26160682239697036,-0.34974812311798664,0 days 01:00:00,0 days 01:00:00,0.24107843828886705,-1.6680179975673828,-9.553670278017698,-1.9118944807886322,0.3208102741147813,-11.238227589657512,-0.6186619782644175,-1.4258332085167476,1321.8588640275389,27.759036144578314,56,-46.30257188428012,0
Mean Profit Factor,4,10,20,0,3486,145 days 07:00:00,1000.0,653.7486800186938,-34.62513199813062,75.20772197369439,100.0,331.01534919504576,34.83653950439905,142 days 15:00:00,197,197,0,0.0,23.3502538071066,2.234072499632171,-2.462088357912225,0.28983796535982037,-0.3682791571809915,0 days 01:00:00,0 days 01:00:00,0.2506006008407483,-1.7576209136106928,-9.625954849075503,-1.8837193765740383,0.3094046721984757,-11.458256865030451,-0.6218317337801252,-1.4603933092168588,1356.2822719449225,28.481927710843376,57,-50.060431804526246,0
Mean Win Rate [%],2,16,34,0,3486,145 days 07:00:00,1000.0,647.2052561249419,-35.27947438750581,75.20772197369439,100.0,348.62345667058656,35.46917127465712,145 days 06:00:00,215,215,0,0.0,24.651162790697676,2.2340724996321706,-2.462088357912216,0.2312670881740967,-0.3430721232172858,0 days 01:00:00,0 days 01:00:00,0.21902851790592842,-1.640905785465383,-10.670028872800938,-1.874308004469572,0.3019221766811029,-12.448310429645353,-0.6128823582076484,-1.4690937773629895,1480.2065404475043,31.08433734939759,63,-51.00646899398419,0
Median Win Rate [%],2,18,22,0,3486,145 days 07:00:00,1000.0,636.7714251457639,-36.322857485423604,75.20772197369439,100.0,356.8959643416062,36.504911956879596,145 days 06:00:00,221,221,0,0.0,24.8868778280543,2.234072499632176,-2.462088357912236,0.2460085253678791,-0.3521250394844412,0 days 01:00:00,0 days 01:00:00,0.23114762926733318,-1.64356821201012,-10.480588110550075,-1.8578650515408575,0.31122449513822276,-12.151454144695066,-0.6197466862783257,-1.4829671280048657,1521.514629948365,31.951807228915662,64,-52.51497467772094,0
