Metric Type,Short Window,Long Window,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio,Expectancy Adjusted,Beats BNH [%],Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Current
Median Profit Factor,2,14,25,0,3486,145 days 07:00:00,1000.0,606.2451955307506,-39.37548044692494,49.66262239725043,100.0,375.98217471267037,39.40259479136572,143 days 06:00:00,237,236,1,-0.6062451955307324,15.677966101694915,1.4375719267499527,-1.421962497239498,0.20448137581533615,-0.28848067237582653,0 days 01:00:00,0 days 01:00:00,0.13582849875926847,-1.6658837257360943,-15.816205313117752,-1.816054122962958,0.20113505457497022,-17.80663556277076,-0.39572225123417754,-1.7928594694811155,1624.7848537005164,34.265060240963855,69,-57.08160621678858,1
Mean Omega Ratio,2,13,21,0,3486,145 days 07:00:00,1000.0,605.0288346855876,-39.497116531441236,49.66262239725043,100.0,386.4869118026921,39.584841697867446,142 days 15:00:00,243,242,1,-0.6050288346855268,16.528925619834713,1.4375719267499703,-1.4219624972394993,0.20737412408186853,-0.28876273099254224,0 days 01:00:00,0 days 01:00:00,0.14712871052773957,-1.6296121342137435,-15.384735349762039,-1.811309267048428,0.21812887852285365,-17.40583387148654,-0.40811723872119804,-1.7953087176006233,1666.092943201377,35.132530120481924,71,-57.25239738996718,1
Mean Best Trade [%],4,11,7,0,3486,145 days 07:00:00,1000.0,562.7190238532625,-43.72809761467376,49.66262239725043,100.0,427.87617332953084,43.72809761467367,145 days 06:00:00,281,281,0,0.0,16.014234875444842,0.9081218797390144,-1.9159533605598935,0.23431319161388767,-0.2877161719062304,0 days 01:00:00,0 days 01:00:00,0.15305243941844932,-1.556160057461702,-15.894006910303359,-1.7474417703627574,0.2277816237934374,-17.831362347892227,-0.37758655551480963,-1.8805031934257013,1934.5955249569708,40.626506024096386,82,-63.221345948926015,0
Mean Avg Winning Trade [%],4,6,6,0,3486,145 days 07:00:00,1000.0,524.8483196779074,-47.51516803220926,49.66262239725043,100.0,471.75899853239446,47.51516803220932,145 days 06:00:00,324,324,0,0.0,18.209876543209877,1.5399602520327675,-1.6996488881457803,0.18354823070046042,-0.28358964573342993,0 days 01:00:00,0 days 01:00:00,0.14168252446017532,-1.4665175318583086,-17.536278865518256,-1.687875278704347,0.22812500671487793,-19.787243112377524,-0.4046227758120099,-1.9567591427640747,2230.6368330464716,46.8433734939759,94,-68.69662848030245,0
Most Best Trade [%],2,8,4,0,3486,145 days 07:00:00,1000.0,424.3095773893557,-57.56904226106443,49.66262239725043,100.0,601.4107243212219,57.56904226106441,145 days 06:00:00,448,447,1,-0.42430957738929465,16.778523489932887,1.9030510487308872,-2.510591865927644,0.22616107484731007,-0.27518214131700236,0 days 01:00:00,0 days 01:00:00,0.16418254847819339,-1.2869487987321118,-18.87532709502531,-1.5354494831722627,0.24525066145298272,-22.34286515042882,-0.3271681916646613,-2.159202625277632,3077.4526678141133,64.7710843373494,130,-83.3570691805281,1
Least Sharpe Ratio,2,6,2,0,3486,145 days 07:00:00,1000.0,340.65919667232197,-65.9340803327678,49.66262239725043,100.0,697.9925968269373,65.93408033276785,145 days 06:00:00,586,585,1,-0.3406591966722772,18.11965811965812,1.9030510487308745,-1.6996488881457799,0.20688310786450267,-0.269859121819353,0 days 01:00:00,0 days 01:00:00,0.15517302814977532,-1.1264959728735144,-22.105053065458794,-1.4152774847780514,0.2537619166742936,-26.30268570620764,-0.3092685136612083,-2.327639926167456,4027.5387263339067,84.72289156626506,170,-95.43999615959703,1
Least Sortino Ratio,2,6,2,0,3486,145 days 07:00:00,1000.0,340.65919667232197,-65.9340803327678,49.66262239725043,100.0,697.9925968269373,65.93408033276785,145 days 06:00:00,586,585,1,-0.3406591966722772,18.11965811965812,1.9030510487308745,-1.6996488881457799,0.20688310786450267,-0.269859121819353,0 days 01:00:00,0 days 01:00:00,0.15517302814977532,-1.1264959728735144,-22.105053065458794,-1.4152774847780514,0.2537619166742936,-26.30268570620764,-0.3092685136612083,-2.327639926167456,4027.5387263339067,84.72289156626506,170,-95.43999615959703,1
Least Total Return [%],2,5,2,0,3486,145 days 07:00:00,1000.0,330.126821228127,-66.98731787718731,49.66262239725043,100.0,713.8257287267575,66.98731787718748,145 days 06:00:00,609,608,1,-0.33012682122807746,18.585526315789476,1.9030510487308767,-1.6996488881457799,0.2143557831698108,-0.2720676261829947,0 days 01:00:00,0 days 01:00:00,0.16292267223563048,-1.1012221249188265,-21.89429063974407,-1.4005960732394052,0.265122967314774,-26.214922076574663,-0.31010292094255243,-2.348847778141012,4185.886402753873,88.04819277108433,177,-96.96061793863595,1
Most Total Fees Paid,2,5,2,0,3486,145 days 07:00:00,1000.0,330.126821228127,-66.98731787718731,49.66262239725043,100.0,713.8257287267575,66.98731787718748,145 days 06:00:00,609,608,1,-0.33012682122807746,18.585526315789476,1.9030510487308767,-1.6996488881457799,0.2143557831698108,-0.2720676261829947,0 days 01:00:00,0 days 01:00:00,0.16292267223563048,-1.1012221249188265,-21.89429063974407,-1.4005960732394052,0.265122967314774,-26.214922076574663,-0.31010292094255243,-2.348847778141012,4185.886402753873,88.04819277108433,177,-96.96061793863595,1
Most Max Drawdown [%],2,5,2,0,3486,145 days 07:00:00,1000.0,330.126821228127,-66.98731787718731,49.66262239725043,100.0,713.8257287267575,66.98731787718748,145 days 06:00:00,609,608,1,-0.33012682122807746,18.585526315789476,1.9030510487308767,-1.6996488881457799,0.2143557831698108,-0.2720676261829947,0 days 01:00:00,0 days 01:00:00,0.16292267223563048,-1.1012221249188265,-21.89429063974407,-1.4005960732394052,0.265122967314774,-26.214922076574663,-0.31010292094255243,-2.348847778141012,4185.886402753873,88.04819277108433,177,-96.96061793863595,1
Most Total Trades,2,5,2,0,3486,145 days 07:00:00,1000.0,330.126821228127,-66.98731787718731,49.66262239725043,100.0,713.8257287267575,66.98731787718748,145 days 06:00:00,609,608,1,-0.33012682122807746,18.585526315789476,1.9030510487308767,-1.6996488881457799,0.2143557831698108,-0.2720676261829947,0 days 01:00:00,0 days 01:00:00,0.16292267223563048,-1.1012221249188265,-21.89429063974407,-1.4005960732394052,0.265122967314774,-26.214922076574663,-0.31010292094255243,-2.348847778141012,4185.886402753873,88.04819277108433,177,-96.96061793863595,1
Most Calmar Ratio,2,5,2,0,3486,145 days 07:00:00,1000.0,330.126821228127,-66.98731787718731,49.66262239725043,100.0,713.8257287267575,66.98731787718748,145 days 06:00:00,609,608,1,-0.33012682122807746,18.585526315789476,1.9030510487308767,-1.6996488881457799,0.2143557831698108,-0.2720676261829947,0 days 01:00:00,0 days 01:00:00,0.16292267223563048,-1.1012221249188265,-21.89429063974407,-1.4005960732394052,0.265122967314774,-26.214922076574663,-0.31010292094255243,-2.348847778141012,4185.886402753873,88.04819277108433,177,-96.96061793863595,1
Most Max Drawdown Duration,2,5,2,0,3486,145 days 07:00:00,1000.0,330.126821228127,-66.98731787718731,49.66262239725043,100.0,713.8257287267575,66.98731787718748,145 days 06:00:00,609,608,1,-0.33012682122807746,18.585526315789476,1.9030510487308767,-1.6996488881457799,0.2143557831698108,-0.2720676261829947,0 days 01:00:00,0 days 01:00:00,0.16292267223563048,-1.1012221249188265,-21.89429063974407,-1.4005960732394052,0.265122967314774,-26.214922076574663,-0.31010292094255243,-2.348847778141012,4185.886402753873,88.04819277108433,177,-96.96061793863595,1
Most Avg Winning Trade Duration,2,5,2,0,3486,145 days 07:00:00,1000.0,330.126821228127,-66.98731787718731,49.66262239725043,100.0,713.8257287267575,66.98731787718748,145 days 06:00:00,609,608,1,-0.33012682122807746,18.585526315789476,1.9030510487308767,-1.6996488881457799,0.2143557831698108,-0.2720676261829947,0 days 01:00:00,0 days 01:00:00,0.16292267223563048,-1.1012221249188265,-21.89429063974407,-1.4005960732394052,0.265122967314774,-26.214922076574663,-0.31010292094255243,-2.348847778141012,4185.886402753873,88.04819277108433,177,-96.96061793863595,1
Least Avg Winning Trade Duration,2,5,2,0,3486,145 days 07:00:00,1000.0,330.126821228127,-66.98731787718731,49.66262239725043,100.0,713.8257287267575,66.98731787718748,145 days 06:00:00,609,608,1,-0.33012682122807746,18.585526315789476,1.9030510487308767,-1.6996488881457799,0.2143557831698108,-0.2720676261829947,0 days 01:00:00,0 days 01:00:00,0.16292267223563048,-1.1012221249188265,-21.89429063974407,-1.4005960732394052,0.265122967314774,-26.214922076574663,-0.31010292094255243,-2.348847778141012,4185.886402753873,88.04819277108433,177,-96.96061793863595,1
Most Avg Losing Trade Duration,2,5,2,0,3486,145 days 07:00:00,1000.0,330.126821228127,-66.98731787718731,49.66262239725043,100.0,713.8257287267575,66.98731787718748,145 days 06:00:00,609,608,1,-0.33012682122807746,18.585526315789476,1.9030510487308767,-1.6996488881457799,0.2143557831698108,-0.2720676261829947,0 days 01:00:00,0 days 01:00:00,0.16292267223563048,-1.1012221249188265,-21.89429063974407,-1.4005960732394052,0.265122967314774,-26.214922076574663,-0.31010292094255243,-2.348847778141012,4185.886402753873,88.04819277108433,177,-96.96061793863595,1
Least Avg Losing Trade Duration,2,5,2,0,3486,145 days 07:00:00,1000.0,330.126821228127,-66.98731787718731,49.66262239725043,100.0,713.8257287267575,66.98731787718748,145 days 06:00:00,609,608,1,-0.33012682122807746,18.585526315789476,1.9030510487308767,-1.6996488881457799,0.2143557831698108,-0.2720676261829947,0 days 01:00:00,0 days 01:00:00,0.16292267223563048,-1.1012221249188265,-21.89429063974407,-1.4005960732394052,0.265122967314774,-26.214922076574663,-0.31010292094255243,-2.348847778141012,4185.886402753873,88.04819277108433,177,-96.96061793863595,1
