Metric Type,Fast Period,Slow Period,Ticker,Strategy Type,Signal Period,Signal Entry,Signal Exit,Signal Unconfirmed,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period,Allocation [%],Stop Loss [%],Last Position Open Date,Last Position Close Date
Most Total Fees Paid,88,89,XOM,SMA,0,false,false,None,0,540,0.8601746097861261,50.0,1.144400117657903,0.45568340778216654,0.4317701125311376,-0.9299340785508451,17 days 08:48:00,0.023307196662179244,0.708927231807952,1.417854463615904,0.3230463768598255,0,15996,15997 days 00:00:00,1000.0,5848.811544847389,484.8811544847389,6920.356493657253,100.0,5428.803515668447,61.71256026468137,3579 days 00:00:00,540,0.0,44.8136440557211,-16.09704294161022,3.268414593836643,-2.35704777827231,23 days 02:45:20,11 days 14:50:40,8.97928063860629,0.30222968559792074,0.06663624146815496,1.0582742492305603,-0.3280784382550095,27.656726635156044,1.1170672630767131,0.9473684210526316,-0.016563508008108276,,,0.00016506257911880302,0.04159576993793836,4.848811544847341,0.028214160894114215,0.16563732569937054,0,540,23168.809523809523,,,,
Mean Worst Trade [%],45,86,XOM,SMA,0,true,false,None,1,101,1.0376840620104522,47.0,1.3473433219345265,2.5607750252754067,0.4304054035859903,-0.9310394681839828,92 days 19:40:48,0.004316147530033194,0.13259564891222805,0.26387846961740435,0.33954762619461976,0,15996,15997 days 00:00:00,1000.0,5772.314641590325,477.23146415903244,6920.356493657253,100.0,749.6806775677,65.93553457473216,6849 days 00:00:00,100,-5.772314641590128,60.36577181208056,-16.80470452627974,12.452533786126024,-6.211161989063819,136 days 15:49:47.234042554,53 days 22:38:29.433962264,47.78086956231914,0.30196938796515416,0.061894143187905676,1.0588700459182638,-0.3860102778904961,27.66030401112257,1.029065858012319,1.0289623717217788,-0.016304513948085932,,,0.0001629779472693345,0.041070442711872296,4.772314641590333,0.02800093868002218,0.16368641135463058,0,101,23168.809523809523,,,,
Least Avg Losing Trade [%],45,86,XOM,SMA,0,true,false,None,1,101,1.0376840620104522,47.0,1.3473433219345265,2.5607750252754067,0.4304054035859903,-0.9310394681839828,92 days 19:40:48,0.004316147530033194,0.13259564891222805,0.26387846961740435,0.33954762619461976,0,15996,15997 days 00:00:00,1000.0,5772.314641590325,477.23146415903244,6920.356493657253,100.0,749.6806775677,65.93553457473216,6849 days 00:00:00,100,-5.772314641590128,60.36577181208056,-16.80470452627974,12.452533786126024,-6.211161989063819,136 days 15:49:47.234042554,53 days 22:38:29.433962264,47.78086956231914,0.30196938796515416,0.061894143187905676,1.0588700459182638,-0.3860102778904961,27.66030401112257,1.029065858012319,1.0289623717217788,-0.016304513948085932,,,0.0001629779472693345,0.041070442711872296,4.772314641590333,0.02800093868002218,0.16368641135463058,0,101,23168.809523809523,,,,
Mean Total Fees Paid,51,80,XOM,SMA,0,false,false,None,1,120,0.9108752804618175,41.17647058823529,1.2871611561999807,2.1003015211632836,0.42855179914881986,-0.9316421734885229,78 days 14:55:27.731092436,0.0051362155607395,0.15753938484621155,0.31376594148537135,0.3308802096356261,0,15996,15997 days 00:00:00,1000.0,5730.605285909974,473.06052859099736,6920.356493657253,100.0,1007.9704457721542,64.57620345171169,4380 days 00:00:00,119,136.13732465232715,47.95000000000002,-18.288518124739582,12.187810283004088,-4.960954612125279,125 days 20:04:53.877551020,45 days 13:42:51.428571428,38.60897446434993,0.3008219495597717,0.06293034651543455,1.0585000594143341,-0.4015301172026919,27.539280009475704,1.0333696996832393,1.0243188471065077,-0.016306745987154304,,,0.0001628632686274802,0.04104154369412501,4.730605285909905,0.027883506267305513,0.16419515116503097,0,120,23168.809523809523,,,,
Median Best Trade [%],64,88,XOM,SMA,0,false,false,None,0,115,0.9590261918561138,43.47826086956522,1.3092384686419172,2.1995411753953036,0.419996757153016,-0.9346368295281224,81 days 14:11:28.695652174,0.0049635696595381725,0.15097524381095276,0.3019504876219055,0.3320762652275356,0,15996,15997 days 00:00:00,1000.0,5523.364412210844,452.3364412210844,6920.356493657253,100.0,903.7937680943301,64.95428216988898,6849 days 00:00:00,115,0.0,47.00549450549453,-14.471428571428568,11.83630637732305,-5.213355133779886,123 days 14:24:00,49 days 06:38:46.153846154,39.333603584442145,0.29504686710490086,0.061218149386379844,1.0572622123855595,-0.3426213954958851,27.18320923713351,1.0195521204257436,1.0369869192602617,-0.016585128994723274,,,0.00016223518033646058,0.04088326544478806,4.523364412210859,0.027287255888485795,0.1667633961409463,0,115,23168.809523809523,,,,
Median Total Fees Paid,38,87,XOM,SMA,0,false,false,None,1,100,0.80835206129395,38.38383838383838,1.2706201723264028,2.376862813033096,0.40451615148202047,-0.9428163048200645,93 days 19:52:43.636363636,0.004272986054732862,0.1312828207051763,0.26125281320330085,0.31204125452422493,0,15996,15997 days 00:00:00,1000.0,4957.315562697834,395.7315562697834,6920.356493657253,100.0,751.0825685223531,63.380496621527705,6849 days 00:00:00,99,130.30836879170602,56.6937219730942,-20.103583010751542,15.05194457966446,-5.519089762901196,159 days 23:22:06.315789474,52 days 14:57:02.950819672,38.656638322284124,0.2845563130134615,0.058696067909257965,1.0552971309608925,-0.41511664671184595,27.770921558402637,1.0267882182112857,1.02776513427401,-0.016295236796971518,,,0.00015322982585462788,0.03861391611536623,3.95731556269784,0.02553901470731823,0.1633133868874401,0,100,23168.809523809523,,,,
Most Avg Winning Trade [%],38,87,XOM,SMA,0,false,false,None,1,100,0.80835206129395,38.38383838383838,1.2706201723264028,2.376862813033096,0.40451615148202047,-0.9428163048200645,93 days 19:52:43.636363636,0.004272986054732862,0.1312828207051763,0.26125281320330085,0.31204125452422493,0,15996,15997 days 00:00:00,1000.0,4957.315562697834,395.7315562697834,6920.356493657253,100.0,751.0825685223531,63.380496621527705,6849 days 00:00:00,99,130.30836879170602,56.6937219730942,-20.103583010751542,15.05194457966446,-5.519089762901196,159 days 23:22:06.315789474,52 days 14:57:02.950819672,38.656638322284124,0.2845563130134615,0.058696067909257965,1.0552971309608925,-0.41511664671184595,27.770921558402637,1.0267882182112857,1.02776513427401,-0.016295236796971518,,,0.00015322982585462788,0.03861391611536623,3.95731556269784,0.02553901470731823,0.1633133868874401,0,100,23168.809523809523,,,,
Mean Total Return [%],53,71,XOM,SMA,0,false,false,None,1,149,0.9187397630496631,45.94594594594595,1.1919503331931098,1.2986830462635792,0.333743967570644,-0.9673787185238073,63 days 01:27:34.054054054,0.006387898344449126,0.19561140285071268,0.3899099774943736,0.2540372125380557,0,15996,15997 days 00:00:00,1000.0,3257.508970951917,225.7508970951917,6920.356493657253,100.0,889.689290874588,70.69898003168481,6849 days 00:00:00,148,-139.82176884639057,46.01483088688873,-22.665639376761813,8.67409485647919,-4.97041699241969,91 days 18:00:00,38 days 16:12:00,16.198180674312866,0.23562477385055586,0.038631513258492775,1.0456689280696627,-0.4555143907831241,27.84568705946739,1.0350342230749219,1.0102747375474648,-0.016270357320576807,,,0.00012760876781941441,0.03215740949049243,2.257508970951906,0.018777778083854946,0.1642503361600009,0,149,23168.809523809523,,,,
Mean Best Trade [%],53,71,XOM,SMA,0,false,false,None,1,149,0.9187397630496631,45.94594594594595,1.1919503331931098,1.2986830462635792,0.333743967570644,-0.9673787185238073,63 days 01:27:34.054054054,0.006387898344449126,0.19561140285071268,0.3899099774943736,0.2540372125380557,0,15996,15997 days 00:00:00,1000.0,3257.508970951917,225.7508970951917,6920.356493657253,100.0,889.689290874588,70.69898003168481,6849 days 00:00:00,148,-139.82176884639057,46.01483088688873,-22.665639376761813,8.67409485647919,-4.97041699241969,91 days 18:00:00,38 days 16:12:00,16.198180674312866,0.23562477385055586,0.038631513258492775,1.0456689280696627,-0.4555143907831241,27.84568705946739,1.0350342230749219,1.0102747375474648,-0.016270357320576807,,,0.00012760876781941441,0.03215740949049243,2.257508970951906,0.018777778083854946,0.1642503361600009,0,149,23168.809523809523,,,,
Mean Expectancy,53,71,XOM,SMA,0,false,false,None,1,149,0.9187397630496631,45.94594594594595,1.1919503331931098,1.2986830462635792,0.333743967570644,-0.9673787185238073,63 days 01:27:34.054054054,0.006387898344449126,0.19561140285071268,0.3899099774943736,0.2540372125380557,0,15996,15997 days 00:00:00,1000.0,3257.508970951917,225.7508970951917,6920.356493657253,100.0,889.689290874588,70.69898003168481,6849 days 00:00:00,148,-139.82176884639057,46.01483088688873,-22.665639376761813,8.67409485647919,-4.97041699241969,91 days 18:00:00,38 days 16:12:00,16.198180674312866,0.23562477385055586,0.038631513258492775,1.0456689280696627,-0.4555143907831241,27.84568705946739,1.0350342230749219,1.0102747375474648,-0.016270357320576807,,,0.00012760876781941441,0.03215740949049243,2.257508970951906,0.018777778083854946,0.1642503361600009,0,149,23168.809523809523,,,,
