Metric Type,Short Window,Long Window,Ticker,Strategy Type,Signal Window,Signal Entry,Signal Exit,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period,Allocation [%],Stop Loss [%],Last Position Open Date,Last Position Close Date
Most Total Return [%],51,78,XLE,SMA,0,true,false,1,51,0.8329397142586518,46.0,1.5801060793211672,2.6740577879934495,0.48255255733297514,-0.44021820123409694,76 days 16:48:00,0.005168520428987196,0.16035334630932774,0.31756250935768826,0.4287941145292685,0,6679,6680 days 00:00:00,1000.0,2530.5914939909117,153.05914939909118,273.4264489065667,100.0,168.13304646385964,45.3805728274148,1201 days 00:00:00,50,-2.530591493990414,58.75479592084724,-15.16111111565516,12.249282811647571,-5.482615380304506,100 days 22:57:23.478260870,56 days 00:53:20,30.662441709698037,0.3440697121577073,0.114675099608487,1.0651099114182876,-0.2809487427269707,5.171937717675343,1.0045069809095952,1.0603310197544047,-0.01938691875891437,,,0.0002021161594783801,0.05093327218855178,1.5305914939909107,0.03564609154952225,0.17815634565198518,0,51,9673.948412698412,,,,
Most Sharpe Ratio,51,78,XLE,SMA,0,true,false,1,51,0.8329397142586518,46.0,1.5801060793211672,2.6740577879934495,0.48255255733297514,-0.44021820123409694,76 days 16:48:00,0.005168520428987196,0.16035334630932774,0.31756250935768826,0.4287941145292685,0,6679,6680 days 00:00:00,1000.0,2530.5914939909117,153.05914939909118,273.4264489065667,100.0,168.13304646385964,45.3805728274148,1201 days 00:00:00,50,-2.530591493990414,58.75479592084724,-15.16111111565516,12.249282811647571,-5.482615380304506,100 days 22:57:23.478260870,56 days 00:53:20,30.662441709698037,0.3440697121577073,0.114675099608487,1.0651099114182876,-0.2809487427269707,5.171937717675343,1.0045069809095952,1.0603310197544047,-0.01938691875891437,,,0.0002021161594783801,0.05093327218855178,1.5305914939909107,0.03564609154952225,0.17815634565198518,0,51,9673.948412698412,,,,
Most Omega Ratio,51,78,XLE,SMA,0,true,false,1,51,0.8329397142586518,46.0,1.5801060793211672,2.6740577879934495,0.48255255733297514,-0.44021820123409694,76 days 16:48:00,0.005168520428987196,0.16035334630932774,0.31756250935768826,0.4287941145292685,0,6679,6680 days 00:00:00,1000.0,2530.5914939909117,153.05914939909118,273.4264489065667,100.0,168.13304646385964,45.3805728274148,1201 days 00:00:00,50,-2.530591493990414,58.75479592084724,-15.16111111565516,12.249282811647571,-5.482615380304506,100 days 22:57:23.478260870,56 days 00:53:20,30.662441709698037,0.3440697121577073,0.114675099608487,1.0651099114182876,-0.2809487427269707,5.171937717675343,1.0045069809095952,1.0603310197544047,-0.01938691875891437,,,0.0002021161594783801,0.05093327218855178,1.5305914939909107,0.03564609154952225,0.17815634565198518,0,51,9673.948412698412,,,,
Most Sortino Ratio,51,78,XLE,SMA,0,true,false,1,51,0.8329397142586518,46.0,1.5801060793211672,2.6740577879934495,0.48255255733297514,-0.44021820123409694,76 days 16:48:00,0.005168520428987196,0.16035334630932774,0.31756250935768826,0.4287941145292685,0,6679,6680 days 00:00:00,1000.0,2530.5914939909117,153.05914939909118,273.4264489065667,100.0,168.13304646385964,45.3805728274148,1201 days 00:00:00,50,-2.530591493990414,58.75479592084724,-15.16111111565516,12.249282811647571,-5.482615380304506,100 days 22:57:23.478260870,56 days 00:53:20,30.662441709698037,0.3440697121577073,0.114675099608487,1.0651099114182876,-0.2809487427269707,5.171937717675343,1.0045069809095952,1.0603310197544047,-0.01938691875891437,,,0.0002021161594783801,0.05093327218855178,1.5305914939909107,0.03564609154952225,0.17815634565198518,0,51,9673.948412698412,,,,
Least Avg Winning Trade Duration,51,78,XLE,SMA,0,true,false,1,51,0.8329397142586518,46.0,1.5801060793211672,2.6740577879934495,0.48255255733297514,-0.44021820123409694,76 days 16:48:00,0.005168520428987196,0.16035334630932774,0.31756250935768826,0.4287941145292685,0,6679,6680 days 00:00:00,1000.0,2530.5914939909117,153.05914939909118,273.4264489065667,100.0,168.13304646385964,45.3805728274148,1201 days 00:00:00,50,-2.530591493990414,58.75479592084724,-15.16111111565516,12.249282811647571,-5.482615380304506,100 days 22:57:23.478260870,56 days 00:53:20,30.662441709698037,0.3440697121577073,0.114675099608487,1.0651099114182876,-0.2809487427269707,5.171937717675343,1.0045069809095952,1.0603310197544047,-0.01938691875891437,,,0.0002021161594783801,0.05093327218855178,1.5305914939909107,0.03564609154952225,0.17815634565198518,0,51,9673.948412698412,,,,
Mean Win Rate [%],58,75,XLE,SMA,0,true,false,1,65,0.8321271180264846,45.3125,1.2497037200009125,1.7119922737307531,0.370159378246515,-0.6858346931291647,59 days 07:07:29.999999999,0.006615706149103611,0.2043719119628687,0.40559964066477017,0.3498831342480129,0,6679,6680 days 00:00:00,1000.0,1859.0110422733433,85.90110422733433,273.4264489065667,100.0,204.19778294519426,52.55987560076344,2794 days 00:00:00,64,-1.8590110422730959,56.19576612174244,-16.998261323418067,10.954584774850701,-5.9461557986257745,83 days 20:41:22.758620689,38 days 22:37:42.857142857,13.451094583056523,0.26499233480729817,0.06556358423942135,1.0500017054737412,-0.28071643231971666,5.115060695017425,0.997635208203296,1.0524906266738083,-0.019681160482980926,,,0.00015718993989569682,0.0396118648537156,0.8590110422733495,0.02366661867256381,0.179902889514204,0,65,9673.948412698412,,,,
Least Avg Losing Trade Duration,41,42,XLE,SMA,0,true,false,1,305,0.8007199966803096,49.67105263157895,0.9751050154770274,0.08097935957337543,0.10656227648963482,-1.0526554914416077,12 days 06:33:09.473684209,0.031424604208242155,0.9589758945949993,1.9148076059290313,0.07765725379060782,0,6679,6680 days 00:00:00,1000.0,856.025959596911,-14.397404040308903,273.4264489065667,100.0,702.3213248866274,53.97040290865266,2781 days 00:00:00,304,-0.8560259595967636,35.09709137833978,-19.125120733685307,3.3807609521920323,-3.175667833141771,14 days 09:32:11.125827814,10 days 04:14:07.058823529,-0.4707829422483307,0.07662857544424606,-0.01567187931432301,1.0144958531815411,-0.3100542170798269,6.751375288301194,1.1322116167363627,0.8960302457466918,-0.01996324556041689,,,0.000047724494975576516,0.012026572733845282,-0.14397404040308992,-0.005847291744648264,0.18888492239043703,0,305,9673.948412698412,,,,
Median Avg Losing Trade [%],50,79,XLE,SMA,0,true,false,1,49,0.7827686034233666,45.83333333333333,1.4932432960850566,2.5827363591306804,0.4483161939970206,-0.5222096355017259,79 days 22:29:59.999999999,0.004961779611827709,0.15406497978739334,0.30498577631381946,0.39790922496563413,0,6679,6680 days 00:00:00,1000.0,2306.405226865372,130.6405226865372,273.4264489065667,100.0,159.29793283678416,45.6852397103881,1066 days 00:00:00,48,-2.306405226865081,63.29199815229938,-15.029493169214089,12.485193271322368,-5.796265643493053,112 days 19:38:10.909090908,52 days 02:46:09.230769230,27.264825668588266,0.3207270007510608,0.10226782751926387,1.0605651134364802,-0.3033426705972708,5.203183143882383,0.9971124998120776,1.0636363636363637,-0.019438103602781844,,,0.00018790422537386795,0.04735186479421472,1.3064052268653836,0.03202824408006277,0.1776837558665648,0,49,9673.948412698412,,,,
Least Max Drawdown Duration,50,79,XLE,SMA,0,true,false,1,49,0.7827686034233666,45.83333333333333,1.4932432960850566,2.5827363591306804,0.4483161939970206,-0.5222096355017259,79 days 22:29:59.999999999,0.004961779611827709,0.15406497978739334,0.30498577631381946,0.39790922496563413,0,6679,6680 days 00:00:00,1000.0,2306.405226865372,130.6405226865372,273.4264489065667,100.0,159.29793283678416,45.6852397103881,1066 days 00:00:00,48,-2.306405226865081,63.29199815229938,-15.029493169214089,12.485193271322368,-5.796265643493053,112 days 19:38:10.909090908,52 days 02:46:09.230769230,27.264825668588266,0.3207270007510608,0.10226782751926387,1.0605651134364802,-0.3033426705972708,5.203183143882383,0.9971124998120776,1.0636363636363637,-0.019438103602781844,,,0.00018790422537386795,0.04735186479421472,1.3064052268653836,0.03202824408006277,0.1776837558665648,0,49,9673.948412698412,,,,
Most Expectancy,48,81,XLE,SMA,0,true,false,1,48,0.7545200181657653,44.680851063829785,1.5783950151204948,2.8283342978083295,0.4795723187199189,-0.44721510221577193,81 days 16:20:25.531914893,0.004858409203247965,0.15092079652642612,0.298697409791885,0.4268544650682432,0,6679,6680 days 00:00:00,1000.0,2511.460116103209,151.14601161032093,273.4264489065667,100.0,157.82361758210408,42.643296224153254,1263 days 00:00:00,47,-2.5114601161030805,64.55602777708532,-14.395532577966893,13.570562838283026,-5.848081061805847,123 days 13:42:51.428571428,47 days 20:18:27.692307692,32.21216119615558,0.3422131821810795,0.12101333108778642,1.0647903094597853,-0.2824143127864956,5.236371374761202,1.0011169190951077,1.0636023516835917,-0.019371148566756247,,,0.00020090543501999144,0.05062816962503784,1.5114601161032026,0.035349646414161606,0.17804986700739686,0,48,9673.948412698412,,,,
