Position_UUID,Ticker,Strategy_Type,Short_Window,Long_Window,Signal_Window,Entry_Timestamp,Exit_Timestamp,Avg_Entry_Price,Avg_Exit_Price,Position_Size,Direction,PnL,Return,Duration_Days,Trade_Type,Status,Max_Favourable_Excursion,Max_Adverse_Excursion,MFE_MAE_Ratio,Exit_Efficiency,Days_Since_Entry,Current_Unrealized_PnL,Current_Excursion_Status
AAPL_SMA_13_37_0_1986-11-06,AAPL,SMA,13,37,0,1986-11-06 00:00:00,1987-10-20 00:00:00,0.16127200424671173,0.3080359995365143,18066.10169938114,Long,2642.974698588386,0.9071300872668494,348.0,Big Winner,Closed,2.3079641914587388,0.04497993630287833,51.31097064961937,0.39304339756393786,,,
AAPL_SMA_13_37_0_1987-12-22,AAPL,SMA,13,37,0,1987-12-22 00:00:00,1988-02-03 00:00:00,0.3705359995365143,0.3526790142059326,14988.802170788747,Long,-278.4949472546938,-0.05014411654350753,43.0,Big Loser,Closed,0.11445577841451766,0.07831353742522511,1.4615069396373734,-0.43810908665444204,,,
AAPL_SMA_13_37_0_1988-02-26,AAPL,SMA,13,37,0,1988-02-26 00:00:00,1988-03-31 00:00:00,0.37276801466941833,0.35714301466941833,14152.700489506151,Long,-231.46615733075296,-0.043874233801531576,34.0,Loser,Closed,0.14371132630994565,0.07185710223177642,1.9999599461498194,-0.3052941958583485,,,
AAPL_SMA_13_37_0_1988-05-10,AAPL,SMA,13,37,0,1988-05-10 00:00:00,1988-05-20 00:00:00,0.36495500802993774,0.34598198533058167,13822.084997562128,Long,-272.0733639613152,-0.05393530506396519,10.0,Big Loser,Closed,0.027523918699694214,0.0581030745252803,0.4737084728230469,-1.9595794353427007,,,
AAPL_SMA_13_37_0_1988-06-07,AAPL,SMA,13,37,0,1988-06-07 00:00:00,1988-07-22 00:00:00,0.39285698533058167,0.3794640004634857,12148.536890239506,Long,-172.0877407153591,-0.03605715662907231,45.0,Loser,Closed,0.07954548644134116,0.034091247876949435,2.3333110811448265,-0.45328978729247904,,,
AAPL_SMA_13_37_0_1988-09-26,AAPL,SMA,13,37,0,1988-09-26 00:00:00,1988-10-14 00:00:00,0.3816959857940674,0.34598198533058167,12053.366881538452,Long,-439.2449199514061,-0.09547304606517748,18.0,Big Loser,Closed,0.03508817270256579,0.12280716000322309,0.2857176462809245,-2.72094665272199,,,
AAPL_SMA_13_37_0_1988-12-13,AAPL,SMA,13,37,0,1988-12-13 00:00:00,1989-01-31 00:00:00,0.34598198533058167,0.3370540142059326,12029.284230426487,Long,-115.61353643748198,-0.027778923561590518,49.0,Loser,Closed,0.13548393265392544,0.0645148786366433,2.100041657320471,-0.20503481864929218,,,
AAPL_SMA_13_37_0_1989-04-12,AAPL,SMA,13,37,0,1989-04-12 00:00:00,1989-06-26 00:00:00,0.34375,0.38839301466941833,11771.396659635582,Long,516.8922879183987,0.1277407175410879,75.0,Big Winner,Closed,0.30519563501531427,0.016232750632546325,18.801227341187847,0.418553553476209,,,
AAPL_SMA_13_37_0_1989-08-11,AAPL,SMA,13,37,0,1989-08-11 00:00:00,1989-11-06 00:00:00,0.373883992433548,0.3861609995365143,12203.76802991128,Long,140.55033401187632,0.030803571011517088,87.0,Winner,Closed,0.20298546128023154,0.04477586123750709,4.533368106612723,0.15175259753697937,,,
AAPL_SMA_13_37_0_1990-03-06,AAPL,SMA,13,37,0,1990-03-06 00:00:00,1990-05-02 00:00:00,0.31473198533058167,0.3549109995365143,14943.519111678015,Long,590.4090439323741,0.12553338415721074,57.0,Big Winner,Closed,0.25531887090694105,0.021275199554421493,12.000774434751646,0.4916729566886002,,,
